,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Podania celne_home,Podania celne_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Rzuty wolne_home,Rzuty wolne_away,Wrzuty z autu_home,Wrzuty z autu_away,Podania_home,Podania_away,goals_home,goals_away
256,2019-2020, 6,23.08.2019 20:30,Jagiellonia Białystok,Wisła Kraków,37%,63%,12,14,4,7,8,7,0,5,1,3,5,1,8,14,283,518,85,116,47,80,3,4,,,,,,,,,3,2
257,2019-2020, 5,19.08.2019 18:00,Korona Kielce,Pogoń Szczecin,58%,42%,11,8,4,3,7,5,5,0,3,1,2,4,26,15,423,282,104,94,102,70,3,0,,,,,,,,,0,1
258,2019-2020, 5,18.08.2019 17:30,Legia Warszawa,Zagłębie Lubin,49%,51%,19,10,7,5,12,5,3,2,0,2,5,6,15,23,354,430,88,73,72,53,0,2,,,,,,,,,1,0
259,2019-2020, 5,18.08.2019 17:30,Raków Częstochowa,Lechia Gdańsk,50%,50%,20,20,6,5,14,15,5,8,0,1,4,4,16,18,308,323,118,99,89,80,3,6,,,,,,,,,2,1
260,2019-2020, 5,18.08.2019 15:00,Piast Gliwice,Wisła Płock,42%,58%,19,11,8,3,11,8,5,3,1,3,3,7,13,5,335,519,106,107,74,56,1,2,,,,,,,,,1,0
261,2019-2020, 5,17.08.2019 20:00,Jagiellonia Białystok,Górnik Zabrze,43%,57%,16,17,10,6,6,11,4,6,1,4,5,7,14,20,338,406,77,96,52,60,3,2,,,,,,,,,3,1
262,2019-2020, 5,17.08.2019 17:30,Arka Gdynia,Lech Poznań,40%,60%,18,23,4,10,14,13,4,11,0,1,10,4,18,15,308,431,71,104,47,99,5,1,,,,,,,,,0,0
263,2019-2020, 5,17.08.2019 15:00,Śląsk Wrocław,Cracovia,48%,52%,16,17,7,9,9,8,12,3,2,1,8,5,20,12,270,349,107,115,97,63,2,3,,,,,,,,,2,1
264,2019-2020, 5,16.08.2019 20:30,Wisła Kraków,ŁKS Łódź,49%,51%,18,20,8,7,10,13,6,4,1,3,7,4,12,17,338,394,62,110,65,93,2,0,,,,,,,,,4,0
265,2019-2020, 4,12.08.2019 18:00,Lechia Gdańsk,Jagiellonia Białystok,49%,51%,6,17,2,6,4,11,2,11,1,1,5,1,14,12,463,431,95,86,85,82,,,,,,,,,,,1,1
266,2019-2020, 4,11.08.2019 17:30,Cracovia,Korona Kielce,49%,51%,14,9,5,3,9,6,8,3,4,3,3,4,15,22,280,296,101,101,70,68,1,0,,,,,,,,,1,0
267,2019-2020, 4,11.08.2019 15:00,ŁKS Łódź,Piast Gliwice,62%,38%,22,14,5,3,17,11,13,2,3,0,2,5,10,20,529,301,123,92,108,70,3,1,,,,,,,,,0,1
268,2019-2020, 4,10.08.2019 20:00,Górnik Zabrze,Raków Częstochowa,41%,59%,11,19,2,2,9,17,7,8,2,3,2,2,16,14,275,455,87,124,71,94,1,1,,,,,,,,,1,0
269,2019-2020, 4,10.08.2019 17:30,Zagłębie Lubin,Arka Gdynia,41%,59%,17,10,5,5,12,5,1,3,0,0,5,3,14,18,397,499,110,135,59,90,1,0,,,,,,,,,2,0
270,2019-2020, 4,10.08.2019 15:00,Pogoń Szczecin,Wisła Kraków,43%,57%,22,10,7,4,15,6,5,3,2,1,4,6,14,13,316,396,86,78,78,60,2,1,,,,,,,,,1,0
271,2019-2020, 4,09.08.2019 20:30,Lech Poznań,Śląsk Wrocław,62%,38%,19,15,9,7,10,8,6,2,0,1,4,8,15,14,532,232,102,81,89,44,4,3,0,1,,,,,,,1,3
272,2019-2020, 3,05.08.2019 18:00,Wisła Kraków,Górnik Zabrze,65%,35%,12,12,4,4,8,8,4,7,2,4,4,3,11,20,456,224,116,88,76,70,2,4,,,,,,,,,1,0
273,2019-2020, 3,04.08.2019 17:30,Legia Warszawa,Śląsk Wrocław,60%,40%,16,9,8,1,8,8,8,3,1,0,1,8,18,30,453,245,131,95,70,47,1,1,,,,,,,,,0,0
274,2019-2020, 3,04.08.2019 17:30,Piast Gliwice,Pogoń Szczecin,52%,48%,11,13,5,6,6,7,6,3,3,1,6,5,12,16,408,372,110,107,87,68,1,1,,,,,,,,,0,0
275,2019-2020, 3,04.08.2019 15:00,Wisła Płock,Lechia Gdańsk,53%,47%,15,12,3,3,12,9,9,2,1,1,1,3,7,20,379,391,126,117,94,53,3,5,0,1,,,,,,,1,2
276,2019-2020, 3,03.08.2019 20:00,ŁKS Łódź,Lech Poznań,52%,48%,22,13,5,7,17,6,4,6,1,2,5,4,15,16,516,359,101,84,74,55,3,4,,,,,,,,,1,2
277,2019-2020, 3,03.08.2019 17:30,Raków Częstochowa,Cracovia,60%,40%,10,6,2,3,8,3,8,2,1,1,1,1,19,24,458,269,78,74,78,42,2,3,,,,,,,,,1,3
278,2019-2020, 3,02.08.2019 20:30,Zagłębie Lubin,Jagiellonia Białystok,45%,55%,19,14,7,7,12,7,8,7,1,4,5,5,14,11,358,421,78,98,78,79,1,1,,,,,,,,,2,2
279,2019-2020, 3,02.08.2019 18:00,Arka Gdynia,Korona Kielce,50%,50%,17,10,2,3,15,7,6,1,2,4,2,1,17,19,288,336,98,77,77,66,1,6,,,,,,,,,1,1
280,2019-2020, 2,29.07.2019 18:00,Pogoń Szczecin,Arka Gdynia,62%,38%,12,8,5,5,7,3,4,6,2,5,5,3,13,20,444,268,103,82,87,66,0,3,,,,,,,,,2,0
281,2019-2020, 2,28.07.2019 17:30,Lechia Gdańsk,Wisła Kraków,39%,61%,11,15,4,4,7,11,6,5,2,1,4,4,24,10,217,399,79,135,65,88,1,3,,,,,,,,,0,0
282,2019-2020, 2,28.07.2019 17:30,Śląsk Wrocław,Piast Gliwice,54%,46%,15,9,7,5,8,4,6,1,4,2,4,5,18,12,390,364,108,111,90,61,3,2,,,,,,,,,2,1
283,2019-2020, 2,28.07.2019 15:00,Korona Kielce,Legia Warszawa,55%,45%,11,7,5,4,6,3,8,3,1,0,2,4,24,15,,,120,101,67,44,2,3,,,,,,,,,1,2
284,2019-2020, 2,27.07.2019 20:00,Jagiellonia Białystok,Raków Częstochowa,43%,57%,17,12,5,8,12,4,5,3,1,2,7,5,14,21,390,454,104,117,63,48,3,4,,,,,,,,,0,1
285,2019-2020, 2,27.07.2019 17:30,Cracovia,ŁKS Łódź,51%,49%,23,15,6,7,17,8,8,5,2,0,5,5,18,19,364,370,88,101,74,57,2,2,,,,,,,,,1,2
286,2019-2020, 2,26.07.2019 20:30,Lech Poznań,Wisła Płock,58%,42%,14,11,6,3,8,8,2,2,0,1,3,2,19,12,430,311,81,93,52,63,3,2,1,0,,,,,,,4,0
287,2019-2020, 2,26.07.2019 18:00,Górnik Zabrze,Zagłębie Lubin,47%,53%,16,13,3,2,13,11,6,5,2,2,2,2,15,12,333,453,114,93,95,78,2,0,,,,,,,0,0,1,0
288,2019-2020, 1,22.07.2019 18:00,Wisła Płock,Górnik Zabrze,59%,41%,15,11,2,7,13,4,9,5,1,0,6,1,15,19,392,257,96,95,65,46,3,4,,,,,,,,,1,1
289,2019-2020, 1,21.07.2019 17:30,Legia Warszawa,Pogoń Szczecin,54%,46%,18,15,5,7,13,8,8,3,2,2,5,4,16,18,341,299,98,91,82,42,2,2,,,,,,,,,1,2
290,2019-2020, 1,21.07.2019 15:00,Zagłębie Lubin,Cracovia,43%,57%,8,15,2,7,6,8,2,5,1,1,6,1,18,22,299,406,116,110,85,83,0,2,,,,,,,,,1,1
291,2019-2020, 1,20.07.2019 20:00,Piast Gliwice,Lech Poznań,37%,63%,7,20,3,7,4,13,3,9,3,0,6,2,20,11,277,471,64,107,51,99,2,1,1,0,,,,,,,1,1
292,2019-2020, 1,20.07.2019 17:30,Wisła Kraków,Śląsk Wrocław,57%,43%,10,12,4,4,6,8,6,12,3,2,3,4,12,11,452,349,105,89,73,93,1,2,,,,,,,,,0,1
293,2019-2020, 1,20.07.2019 15:00,Raków Częstochowa,Korona Kielce,52%,48%,4,15,1,10,3,5,4,4,0,4,9,1,14,26,394,319,122,113,76,71,1,1,,,,,,,,,0,1
294,2019-2020, 1,19.07.2019 20:30,ŁKS Łódź,Lechia Gdańsk,67%,33%,20,7,7,6,13,1,6,4,1,1,6,7,14,16,584,228,139,88,119,60,2,0,0,1,,,,,,,0,0
295,2019-2020, 1,19.07.2019 18:00,Arka Gdynia,Jagiellonia Białystok,47%,53%,14,10,2,4,12,6,9,6,1,2,1,2,15,10,374,478,97,99,84,55,1,1,,,10,10,20,18,,,0,3
