,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
103,2022-2023,17,13.11.2022 12:30,Radomiak Radom,Pogoń Szczecin,33%,67%,11,16,4,5,4,6,3,5,11,13,5,7,5,1,15,21,3,3,9,13,2,0,6,2,237,501,160,427,9,8,80,108,53,82,1,2
104,2022-2023,17,12.11.2022 20:00,Zagłębie Lubin,Raków Częstochowa,51%,49%,16,17,7,4,6,8,3,5,11,11,5,5,0,2,15,23,2,6,12,10,,,3,1,426,408,320,301,8,13,108,103,67,82,1,2
105,2022-2023,17,12.11.2022 17:30,Jagiellonia Białystok,Lech Poznań,32%,68%,10,19,4,8,6,4,0,7,20,16,2,7,2,0,18,20,6,3,13,19,,,2,2,251,522,182,451,22,10,84,137,42,106,1,2
106,2022-2023,17,12.11.2022 15:00,Górnik Zabrze,Miedź Legnica,70%,30%,11,9,6,4,3,4,2,1,6,7,2,8,2,1,35,24,1,6,6,5,,,1,2,658,277,552,186,13,16,128,78,85,56,0,3
107,2022-2023,17,12.11.2022 12:30,Korona Kielce,Widzew Łódź,44%,56%,12,23,3,5,7,9,2,9,16,10,3,7,1,2,19,23,4,3,11,15,,,2,1,359,445,262,360,15,3,90,105,31,68,0,1
108,2022-2023,17,11.11.2022 20:30,Wisła Płock,Cracovia,67%,33%,8,15,2,4,4,10,2,1,13,8,7,1,3,1,15,18,4,1,5,12,0,1,2,3,562,268,452,172,17,13,130,107,87,39,1,0
109,2022-2023,17,11.11.2022 18:00,Warta Poznań,Stal Mielec,61%,39%,18,6,4,2,7,1,7,3,12,16,8,1,1,1,13,14,1,3,15,9,,,2,0,600,392,494,281,11,12,139,89,87,34,1,1
110,2022-2023,16,06.11.2022 17:30,Lech Poznań,Korona Kielce,71%,29%,34,12,15,6,11,4,8,2,11,13,11,2,1,1,18,8,4,12,14,10,,,1,4,540,223,476,163,5,10,107,60,104,40,3,2
111,2022-2023,16,06.11.2022 15:00,Widzew Łódź,Radomiak Radom,73%,27%,26,10,9,4,11,3,6,3,8,17,15,1,2,0,21,12,1,8,16,10,,,1,5,483,190,401,110,8,18,137,116,97,56,1,3
112,2022-2023,16,06.11.2022 12:30,Miedź Legnica,Śląsk Wrocław,34%,66%,11,9,6,1,3,6,2,2,10,17,3,4,3,2,14,37,1,5,16,9,,,4,1,271,522,173,406,15,14,60,97,25,39,1,0
113,2022-2023,16,05.11.2022 20:00,Raków Częstochowa,Wisła Płock,48%,52%,17,7,10,3,6,2,1,2,13,17,5,4,1,4,14,16,2,3,13,14,,,4,3,366,403,285,331,17,10,96,54,74,42,7,1
114,2022-2023,16,05.11.2022 17:30,Pogoń Szczecin,Górnik Zabrze,61%,39%,14,13,3,6,9,6,2,1,13,10,7,3,1,2,39,11,2,2,10,12,,,2,1,598,390,475,304,9,20,103,77,95,55,1,4
115,2022-2023,16,05.11.2022 15:00,Cracovia,Jagiellonia Białystok,44%,56%,11,7,3,3,7,1,1,3,14,13,3,6,0,2,34,31,3,2,13,12,0,1,4,0,278,360,197,277,16,17,84,88,43,52,1,0
116,2022-2023,16,05.11.2022 12:30,Piast Gliwice,Warta Poznań,55%,45%,8,9,0,4,4,4,4,1,14,14,5,3,4,0,34,18,2,0,11,13,,,2,1,522,433,386,319,13,8,120,111,92,62,0,2
117,2022-2023,16,04.11.2022 20:30,Legia Warszawa,Lechia Gdańsk,64%,36%,23,12,6,5,11,4,6,3,14,16,13,3,5,2,22,14,4,4,13,12,,,1,4,483,285,416,215,13,17,111,65,87,43,2,1
118,2022-2023,16,04.11.2022 18:00,Stal Mielec,Zagłębie Lubin,64%,36%,14,14,7,3,4,6,3,5,23,9,4,9,2,3,20,25,3,4,8,21,,,3,2,461,242,366,154,8,11,94,78,54,79,3,0
119,2022-2023,15,31.10.2022 19:00,Radomiak Radom,Warta Poznań,64%,36%,7,7,3,3,4,1,0,3,19,10,3,3,1,1,19,16,0,1,10,17,,,0,1,513,294,419,196,11,14,151,97,52,27,2,3
120,2022-2023,15,30.10.2022 17:30,Lech Poznań,Raków Częstochowa,54%,46%,5,10,4,3,0,4,1,3,22,18,1,3,2,3,11,15,1,3,19,18,,,6,4,468,389,374,306,14,13,93,87,34,51,1,2
121,2022-2023,15,30.10.2022 15:00,Lechia Gdańsk,Stal Mielec,50%,50%,10,17,3,2,5,11,2,4,10,15,6,3,4,1,18,15,2,2,11,9,,,2,2,429,434,345,341,13,21,88,82,58,46,1,0
122,2022-2023,15,30.10.2022 12:30,Zagłębie Lubin,Cracovia,48%,52%,14,17,2,5,8,7,4,5,6,12,5,8,2,3,25,21,3,2,10,3,,,2,1,370,393,275,301,18,19,66,75,53,59,0,2
123,2022-2023,15,29.10.2022 20:00,Wisła Płock,Śląsk Wrocław,67%,33%,8,15,3,7,2,4,3,4,10,17,1,7,3,0,23,27,5,2,14,12,,,2,2,596,279,506,193,16,15,109,102,52,76,1,2
124,2022-2023,15,29.10.2022 17:30,Jagiellonia Białystok,Legia Warszawa,46%,54%,15,24,5,11,7,9,3,4,11,24,5,5,5,1,21,15,6,3,20,9,,,7,1,334,412,257,347,12,11,99,84,69,68,2,5
125,2022-2023,15,29.10.2022 15:00,Korona Kielce,Piast Gliwice,32%,68%,11,17,2,3,4,9,5,5,16,16,3,6,3,1,24,23,2,1,13,17,,,2,1,232,495,138,398,16,9,76,115,67,88,1,1
126,2022-2023,15,28.10.2022 20:30,Górnik Zabrze,Widzew Łódź,46%,54%,11,19,6,5,3,10,2,4,12,17,4,4,0,0,20,26,5,3,18,12,,,4,3,436,502,341,409,26,14,97,76,58,61,3,0
127,2022-2023,15,28.10.2022 18:00,Miedź Legnica,Pogoń Szczecin,36%,64%,12,16,2,7,6,5,4,4,5,16,3,2,5,1,19,20,3,0,13,6,,,4,2,328,585,249,513,12,20,84,124,56,66,2,4
128,2022-2023,14,24.10.2022 20:30,Zagłębie Lubin,Lechia Gdańsk,50%,50%,18,11,1,5,11,2,6,4,8,25,7,6,3,2,27,15,2,1,22,6,,,3,2,404,410,326,325,15,20,111,98,96,66,0,3
129,2022-2023,14,24.10.2022 18:00,Piast Gliwice,Radomiak Radom,60%,40%,13,6,4,3,6,1,3,2,13,14,6,7,2,0,23,19,1,3,12,15,,,2,0,537,358,460,278,16,13,101,73,72,55,1,2
130,2022-2023,14,23.10.2022 17:30,Cracovia,Lech Poznań,40%,60%,19,14,5,2,9,7,5,5,14,10,4,3,1,0,21,13,2,5,10,13,,,2,4,328,516,248,428,14,14,97,111,71,82,0,0
131,2022-2023,14,23.10.2022 15:00,Śląsk Wrocław,Jagiellonia Białystok,58%,42%,15,7,10,2,5,5,0,0,15,14,8,3,2,5,20,14,0,8,11,13,0,1,1,4,449,328,364,236,19,20,119,89,98,54,2,2
132,2022-2023,14,23.10.2022 12:30,Warta Poznań,Górnik Zabrze,44%,56%,10,5,0,0,2,4,8,1,22,17,6,2,2,3,19,36,0,0,14,19,,,2,2,371,469,261,361,9,11,90,102,41,51,0,0
133,2022-2023,14,22.10.2022 20:00,Raków Częstochowa,Korona Kielce,74%,26%,18,7,3,1,8,5,7,1,14,14,7,4,1,0,23,14,1,2,13,17,,,1,4,520,188,444,101,12,10,99,73,112,53,1,0
134,2022-2023,14,22.10.2022 17:30,Legia Warszawa,Pogoń Szczecin,54%,46%,18,13,6,5,7,4,5,4,12,20,8,7,5,1,20,10,4,5,15,14,,,2,4,397,344,319,272,21,9,110,79,81,51,1,1
135,2022-2023,14,22.10.2022 15:00,Stal Mielec,Wisła Płock,35%,65%,11,14,6,6,3,5,2,3,17,11,5,5,0,3,27,25,5,5,10,15,,,2,3,320,607,235,523,12,13,82,105,51,73,1,1
136,2022-2023,14,21.10.2022 20:30,Widzew Łódź,Miedź Legnica,52%,48%,12,15,4,4,6,8,2,3,12,7,5,4,1,1,25,27,4,3,7,12,,,1,5,477,435,376,340,9,15,99,115,60,55,1,0
137,2022-2023,13,16.10.2022 18:30,Górnik Zabrze,Lech Poznań,42%,58%,18,23,8,7,5,8,5,8,8,14,4,7,0,0,22,19,5,7,17,10,,,3,4,344,476,254,393,18,7,87,100,80,71,1,2
138,2022-2023,13,16.10.2022 15:00,Widzew Łódź,Zagłębie Lubin,46%,54%,19,12,7,4,8,4,4,4,8,11,1,7,4,1,27,31,4,4,8,12,,,1,2,378,444,286,351,15,17,82,84,57,72,3,0
139,2022-2023,13,16.10.2022 12:30,Miedź Legnica,Cracovia,44%,56%,11,9,1,2,8,3,2,4,12,15,4,1,2,2,25,19,1,0,12,11,,,3,4,348,436,229,314,18,8,120,113,77,49,1,1
140,2022-2023,13,15.10.2022 20:00,Pogoń Szczecin,Piast Gliwice,63%,37%,21,7,7,1,9,3,5,3,8,10,10,2,0,2,30,14,0,6,11,8,,,4,5,616,369,548,291,8,20,99,53,105,30,1,1
141,2022-2023,13,15.10.2022 17:30,Warta Poznań,Jagiellonia Białystok,50%,50%,17,4,5,1,7,3,5,0,10,12,4,3,0,2,21,25,1,3,11,9,,,3,2,400,406,303,294,10,11,100,80,57,43,2,0
142,2022-2023,13,15.10.2022 15:00,Lechia Gdańsk,Raków Częstochowa,52%,48%,8,22,2,11,2,7,4,4,16,13,3,10,1,0,13,20,8,2,15,16,,,1,2,477,420,392,341,14,17,112,133,43,90,0,3
143,2022-2023,13,15.10.2022 12:30,Radomiak Radom,Śląsk Wrocław,48%,52%,10,5,3,1,5,4,2,0,15,16,8,2,3,0,27,23,1,1,13,16,0,3,3,5,323,364,222,252,11,9,123,101,73,35,2,0
144,2022-2023,13,14.10.2022 20:30,Wisła Płock,Legia Warszawa,40%,60%,9,18,3,8,4,7,2,3,20,13,4,12,1,1,23,31,7,1,13,21,,,2,4,287,411,205,331,12,16,76,85,52,75,2,1
145,2022-2023,13,14.10.2022 18:00,Korona Kielce,Stal Mielec,52%,48%,21,14,7,5,5,8,9,1,12,30,11,2,3,1,32,12,3,7,29,13,0,1,6,3,311,312,231,240,10,10,95,70,101,59,0,2
146,2022-2023,12,10.10.2022 20:30,Piast Gliwice,Widzew Łódź,67%,33%,23,7,6,2,5,4,12,1,11,9,3,1,1,4,28,10,0,5,9,8,,,0,1,669,337,582,248,13,16,130,75,117,46,1,2
147,2022-2023,12,10.10.2022 18:00,Raków Częstochowa,Miedź Legnica,64%,36%,16,8,5,1,9,5,2,2,17,16,5,2,2,0,20,19,1,4,16,16,0,1,4,3,531,310,444,198,14,26,137,89,76,31,1,0
148,2022-2023,12,09.10.2022 17:30,Lech Poznań,Radomiak Radom,53%,47%,18,13,9,2,7,7,2,4,9,20,6,3,1,1,20,22,2,8,19,9,,,5,2,398,342,306,257,13,19,93,92,55,51,1,0
149,2022-2023,12,09.10.2022 15:00,Zagłębie Lubin,Korona Kielce,52%,48%,15,14,2,2,8,9,5,3,14,12,6,10,0,3,25,37,1,1,12,13,,,2,0,346,308,238,206,14,16,82,100,71,94,1,1
150,2022-2023,12,08.10.2022 20:00,Cracovia,Lechia Gdańsk,50%,50%,19,8,5,5,9,3,5,0,11,12,6,2,2,1,17,18,4,5,12,13,,,5,4,415,419,341,345,13,9,89,76,76,49,0,1
151,2022-2023,12,08.10.2022 17:30,Legia Warszawa,Warta Poznań,54%,46%,14,10,2,1,9,6,3,3,10,12,9,4,1,1,12,16,1,1,12,11,,,2,2,443,385,368,309,17,13,91,64,80,62,1,0
152,2022-2023,12,08.10.2022 15:00,Śląsk Wrocław,Górnik Zabrze,35%,65%,12,11,6,5,5,3,1,3,14,13,3,7,1,4,24,22,4,2,11,11,,,2,2,329,609,230,505,13,24,107,95,75,61,4,1
153,2022-2023,12,07.10.2022 20:30,Jagiellonia Białystok,Wisła Płock,35%,65%,16,11,3,3,8,7,5,1,13,17,7,6,0,2,21,26,2,2,18,12,,,2,2,280,556,188,455,15,10,85,99,62,78,1,1
154,2022-2023,12,07.10.2022 18:00,Stal Mielec,Pogoń Szczecin,40%,60%,18,28,8,7,6,12,4,9,13,14,5,11,1,0,18,18,5,4,14,17,1,0,1,2,267,389,186,308,12,16,109,115,78,89,4,2
155,2022-2023, 2,06.10.2022 20:45,Piast Gliwice,Raków Częstochowa,47%,53%,12,14,3,4,6,5,3,5,23,21,3,5,0,0,22,21,3,3,21,23,0,1,2,3,424,469,323,374,19,14,100,114,34,62,0,1
156,2022-2023,11,03.10.2022 19:00,Śląsk Wrocław,Warta Poznań,65%,35%,14,4,4,3,5,0,5,1,9,13,9,0,4,0,18,12,1,4,9,10,,,0,2,602,339,528,247,11,29,149,84,126,36,0,2
157,2022-2023,11,02.10.2022 17:30,Widzew Łódź,Raków Częstochowa,45%,55%,11,20,3,2,4,11,4,7,7,9,1,5,1,3,18,29,2,3,9,5,,,0,2,409,494,291,391,19,18,101,168,49,115,0,0
158,2022-2023,11,02.10.2022 15:00,Jagiellonia Białystok,Korona Kielce,55%,45%,20,19,9,7,7,3,4,9,6,13,3,10,3,0,19,21,6,5,11,8,,,2,2,374,293,286,211,18,13,64,80,48,81,4,1
159,2022-2023,11,02.10.2022 12:30,Miedź Legnica,Stal Mielec,53%,47%,9,10,1,4,3,6,5,0,23,27,3,1,1,3,25,22,2,1,27,18,,,3,2,434,389,329,289,14,19,132,94,84,59,0,2
160,2022-2023,11,01.10.2022 20:30,Pogoń Szczecin,Lechia Gdańsk,60%,40%,21,7,9,3,7,3,5,1,8,15,9,4,1,3,25,20,2,7,16,9,,,2,4,515,351,443,266,12,13,79,54,90,56,2,1
161,2022-2023,11,01.10.2022 17:30,Lech Poznań,Legia Warszawa,57%,43%,11,6,5,0,5,3,1,3,16,16,8,3,2,1,30,16,0,5,16,16,0,1,1,6,428,319,327,226,17,17,109,76,81,39,0,0
162,2022-2023,11,01.10.2022 15:00,Górnik Zabrze,Zagłębie Lubin,65%,35%,21,13,4,7,8,3,9,3,15,12,1,7,2,1,26,20,4,2,8,14,,,3,2,512,282,426,180,12,16,112,68,86,58,2,3
163,2022-2023,11,30.09.2022 20:30,Wisła Płock,Piast Gliwice,59%,41%,18,8,6,2,7,3,5,3,16,10,5,3,2,2,30,26,2,5,8,15,,,0,3,526,365,441,285,17,11,100,94,67,40,1,0
164,2022-2023,11,30.09.2022 18:00,Radomiak Radom,Cracovia,67%,33%,16,13,4,5,9,7,3,1,19,10,7,2,1,1,23,19,3,4,11,22,1,0,2,6,471,235,382,136,9,9,170,87,87,51,0,2
165,2022-2023,10,18.09.2022 17:30,Warta Poznań,Lech Poznań,38%,62%,9,14,1,3,7,7,1,4,13,13,1,5,1,0,12,19,2,1,11,14,,,3,2,373,602,278,497,17,14,73,108,20,34,0,1
166,2022-2023,10,18.09.2022 15:00,Zagłębie Lubin,Wisła Płock,35%,65%,21,22,3,5,14,11,4,6,15,10,3,8,1,3,24,24,4,1,9,12,0,1,,,272,515,195,429,8,16,77,100,81,90,2,1
167,2022-2023,10,18.09.2022 12:30,Korona Kielce,Górnik Zabrze,35%,65%,11,11,4,5,5,4,2,2,15,14,5,4,0,1,19,13,3,3,15,14,,,3,2,283,540,193,443,21,15,70,122,66,69,1,2
168,2022-2023,10,17.09.2022 20:00,Cracovia,Pogoń Szczecin,36%,64%,13,13,3,3,8,4,2,6,6,9,3,3,2,0,23,32,2,2,8,6,,,,,294,537,202,433,13,12,77,124,56,75,1,1
169,2022-2023,10,17.09.2022 17:30,Raków Częstochowa,Radomiak Radom,55%,45%,11,5,8,1,3,2,0,2,16,21,3,3,1,2,25,16,1,5,22,18,,,1,6,358,382,248,282,5,15,105,82,91,56,3,0
170,2022-2023,10,17.09.2022 15:00,Lechia Gdańsk,Jagiellonia Białystok,61%,39%,19,15,5,4,9,6,5,5,17,10,2,3,3,2,28,18,2,3,6,17,,,2,6,461,287,363,196,9,14,72,66,64,49,2,2
171,2022-2023,10,17.09.2022 12:30,Stal Mielec,Widzew Łódź,57%,43%,18,10,5,4,6,2,7,4,12,9,10,3,0,2,24,15,1,5,10,11,,,1,1,405,328,318,229,11,12,111,66,107,44,0,3
172,2022-2023,10,16.09.2022 20:30,Legia Warszawa,Miedź Legnica,65%,35%,22,9,9,5,9,3,4,1,8,13,5,0,2,2,21,12,3,6,10,9,0,1,2,4,600,333,518,259,14,9,122,74,77,32,3,2
173,2022-2023,10,16.09.2022 18:00,Piast Gliwice,Śląsk Wrocław,44%,56%,7,12,3,5,1,3,3,4,19,12,0,5,3,1,22,19,4,2,11,18,,,2,0,418,551,330,464,17,12,115,101,54,58,1,1
174,2022-2023, 9,12.09.2022 19:00,Jagiellonia Białystok,Stal Mielec,46%,54%,23,16,9,3,8,8,6,5,12,22,2,3,3,0,25,14,3,5,19,12,,,2,1,411,478,308,373,16,16,124,113,66,59,4,0
175,2022-2023, 9,11.09.2022 17:30,Raków Częstochowa,Legia Warszawa,40%,60%,11,10,7,2,3,3,1,5,10,18,4,6,2,3,13,17,2,3,15,10,,,2,2,366,532,295,441,12,24,88,100,68,70,4,0
176,2022-2023, 9,11.09.2022 15:00,Pogoń Szczecin,Lech Poznań,44%,56%,13,17,6,5,5,5,2,7,6,7,5,5,1,0,23,27,3,4,8,12,0,1,2,5,331,437,268,362,11,17,67,74,65,59,2,2
177,2022-2023, 9,11.09.2022 12:30,Miedź Legnica,Korona Kielce,53%,47%,15,12,5,6,6,5,4,1,20,15,1,4,1,0,19,17,4,3,14,22,,,2,5,427,374,335,276,11,13,109,90,68,62,2,2
178,2022-2023, 9,10.09.2022 20:00,Górnik Zabrze,Piast Gliwice,75%,25%,23,6,7,2,7,3,9,1,9,12,5,0,0,1,28,21,0,4,12,13,0,1,2,3,562,187,491,108,8,12,94,65,69,31,3,3
179,2022-2023, 9,10.09.2022 17:30,Radomiak Radom,Wisła Płock,41%,59%,15,7,5,2,8,3,2,2,14,13,2,1,1,0,25,28,2,3,10,14,,,4,3,332,489,248,388,12,18,86,89,56,59,2,0
180,2022-2023, 9,10.09.2022 15:00,Śląsk Wrocław,Lechia Gdańsk,49%,51%,11,6,6,2,3,1,2,3,19,8,6,8,1,6,20,28,1,4,8,15,0,1,3,4,363,376,278,298,11,16,99,94,54,65,2,1
181,2022-2023, 9,09.09.2022 20:30,Widzew Łódź,Cracovia,38%,62%,10,9,7,2,3,4,0,3,8,15,7,7,0,1,14,23,2,5,16,9,,,1,2,289,479,207,392,11,11,66,97,49,79,2,0
182,2022-2023, 9,09.09.2022 18:00,Warta Poznań,Zagłębie Lubin,50%,50%,16,9,5,4,5,2,6,3,12,13,5,6,1,0,17,23,2,3,12,13,,,2,0,429,422,344,325,12,11,94,99,54,61,2,2
183,2022-2023, 8,05.09.2022 20:30,Wisła Płock,Górnik Zabrze,52%,48%,10,16,2,3,2,8,6,5,18,12,3,7,2,3,25,21,2,1,9,16,1,0,1,1,414,367,303,285,21,21,88,112,50,65,1,1
184,2022-2023, 8,05.09.2022 18:00,Piast Gliwice,Miedź Legnica,49%,51%,17,14,5,5,8,7,4,2,15,9,8,5,1,2,19,18,4,3,9,14,,,1,0,422,437,317,346,13,4,121,114,90,88,2,1
185,2022-2023, 8,04.09.2022 17:30,Lech Poznań,Widzew Łódź,56%,44%,18,15,7,0,6,8,5,7,7,11,3,4,1,1,22,23,0,5,11,9,,,1,2,482,368,420,286,10,8,99,73,75,45,2,0
186,2022-2023, 8,04.09.2022 15:00,Korona Kielce,Pogoń Szczecin,40%,60%,13,9,2,2,9,4,2,3,12,13,8,6,1,1,26,26,0,1,13,12,,,1,3,281,443,192,343,11,19,65,89,65,58,1,2
187,2022-2023, 8,04.09.2022 12:30,Zagłębie Lubin,Jagiellonia Białystok,54%,46%,29,12,9,1,14,4,6,7,14,10,7,4,1,3,24,17,0,8,8,12,,,,,423,371,330,272,16,17,97,77,79,54,1,1
188,2022-2023, 8,03.09.2022 20:00,Cracovia,Raków Częstochowa,36%,64%,16,19,5,4,6,10,5,5,18,9,3,9,0,1,18,20,4,2,9,15,,,1,3,288,502,185,400,18,13,80,113,48,75,3,0
189,2022-2023, 8,03.09.2022 17:30,Lechia Gdańsk,Warta Poznań,53%,47%,13,7,2,4,5,2,6,1,14,21,4,2,1,2,30,20,4,2,20,12,,,2,1,450,422,325,286,14,18,92,95,63,55,0,0
190,2022-2023, 8,03.09.2022 15:00,Stal Mielec,Śląsk Wrocław,42%,58%,5,12,3,3,0,6,2,3,9,17,3,6,3,3,23,25,3,2,15,7,,,2,1,372,513,281,418,20,15,91,98,41,61,2,0
191,2022-2023, 8,02.09.2022 20:30,Legia Warszawa,Radomiak Radom,58%,42%,13,9,4,3,4,5,5,1,13,18,2,5,1,1,18,16,3,3,14,12,,,3,2,544,381,462,308,19,20,88,71,76,59,1,0
192,2022-2023, 6,31.08.2022 20:30,Lechia Gdańsk,Lech Poznań,48%,52%,14,22,3,8,6,8,5,6,10,12,2,4,2,0,19,18,5,3,10,10,,,4,1,450,498,361,412,21,16,84,98,53,55,0,3
193,2022-2023, 6,31.08.2022 18:00,Raków Częstochowa,Pogoń Szczecin,50%,50%,15,10,7,2,6,4,2,4,9,17,6,2,2,1,20,25,2,6,16,9,,,5,5,413,412,313,306,22,18,100,97,94,68,1,0
194,2022-2023, 7,28.08.2022 17:30,Lech Poznań,Piast Gliwice,56%,44%,9,5,5,0,2,5,2,0,9,20,3,3,3,1,23,19,0,4,18,8,,,4,4,459,360,398,275,9,19,100,73,65,43,1,0
195,2022-2023, 7,28.08.2022 15:00,Śląsk Wrocław,Raków Częstochowa,44%,56%,5,18,2,7,2,7,1,4,23,9,0,8,0,4,16,15,3,1,14,20,,,3,3,341,421,256,341,18,20,84,112,31,87,1,4
196,2022-2023, 7,28.08.2022 12:30,Cracovia,Warta Poznań,55%,45%,12,17,2,6,7,6,3,5,11,11,6,2,1,0,28,18,4,2,10,15,,,2,2,397,333,306,252,9,11,96,79,80,57,0,2
197,2022-2023, 7,27.08.2022 20:00,Widzew Łódź,Wisła Płock,37%,63%,13,12,3,5,4,4,6,3,13,13,6,9,0,4,16,32,4,1,15,9,,,2,2,294,511,207,413,14,9,58,105,50,82,2,1
198,2022-2023, 7,27.08.2022 17:30,Pogoń Szczecin,Zagłębie Lubin,58%,42%,15,15,10,5,2,7,3,3,11,6,3,3,0,1,24,20,5,7,8,11,,,0,2,499,338,413,268,18,21,72,61,70,60,3,0
199,2022-2023, 7,27.08.2022 15:00,Miedź Legnica,Lechia Gdańsk,29%,71%,6,17,3,6,2,8,1,3,13,10,4,16,1,3,23,14,5,1,9,11,1,0,2,3,218,500,138,433,20,8,82,113,44,119,2,1
200,2022-2023, 7,27.08.2022 12:30,Radomiak Radom,Korona Kielce,63%,37%,13,8,1,3,8,3,4,2,16,15,9,6,2,2,25,17,1,1,13,18,,,1,4,368,222,295,139,12,16,112,71,79,46,0,2
201,2022-2023, 7,26.08.2022 20:30,Stal Mielec,Legia Warszawa,51%,49%,5,16,1,3,2,6,2,7,19,9,5,7,1,6,29,16,2,1,8,14,,,1,3,425,404,325,321,19,17,98,98,76,69,0,1
202,2022-2023, 7,26.08.2022 18:00,Górnik Zabrze,Jagiellonia Białystok,63%,37%,19,21,4,7,9,7,6,7,15,11,8,1,3,2,22,26,6,3,9,13,,,4,3,451,271,354,179,13,26,108,90,85,58,1,1
203,2022-2023, 6,21.08.2022 17:30,Piast Gliwice,Stal Mielec,37%,63%,18,4,9,1,6,3,3,0,15,21,5,2,2,0,11,22,1,5,18,15,,,2,2,287,498,208,409,9,9,72,116,61,73,4,0
204,2022-2023, 6,21.08.2022 15:00,Zagłębie Lubin,Radomiak Radom,58%,42%,21,16,3,5,11,6,7,5,9,13,8,6,1,0,21,18,4,3,13,8,,,0,3,459,337,385,248,8,13,121,81,95,60,0,1
205,2022-2023, 6,20.08.2022 20:00,Warta Poznań,Widzew Łódź,44%,56%,17,8,6,6,8,0,3,2,13,13,7,9,1,2,18,29,5,6,15,11,,,4,1,361,462,272,353,11,12,94,91,63,53,0,1
206,2022-2023, 6,20.08.2022 17:30,Śląsk Wrocław,Cracovia,55%,45%,15,17,2,7,8,6,5,4,14,11,5,6,3,1,21,23,6,1,9,13,,,2,2,397,322,292,221,10,18,97,88,64,69,1,1
207,2022-2023, 6,20.08.2022 15:00,Wisła Płock,Korona Kielce,63%,37%,14,18,3,7,7,10,4,1,13,13,6,4,2,2,14,20,6,1,14,12,,,1,1,433,249,351,176,15,9,82,86,52,42,2,1
208,2022-2023, 6,19.08.2022 20:30,Legia Warszawa,Górnik Zabrze,62%,38%,13,13,5,4,6,5,2,4,19,8,3,8,1,3,19,21,2,3,8,19,0,1,3,5,429,250,325,171,17,9,99,89,53,66,2,2
209,2022-2023, 6,19.08.2022 18:00,Jagiellonia Białystok,Miedź Legnica,64%,36%,21,11,7,3,10,5,4,3,20,10,5,1,1,0,24,15,2,5,10,21,0,1,2,3,500,282,404,187,11,12,138,93,104,36,2,1
210,2022-2023, 5,15.08.2022 19:00,Korona Kielce,Warta Poznań,43%,57%,14,9,3,3,7,3,4,3,23,14,7,4,0,4,18,16,2,3,15,19,1,0,3,2,318,448,230,355,10,12,89,111,74,71,0,1
211,2022-2023, 5,14.08.2022 20:00,Lech Poznań,Śląsk Wrocław,63%,37%,19,7,6,3,11,4,2,0,14,10,6,2,2,0,23,20,2,6,8,14,,,0,4,534,318,454,223,15,13,122,79,88,29,0,1
212,2022-2023, 5,14.08.2022 17:30,Raków Częstochowa,Jagiellonia Białystok,47%,53%,15,12,3,4,7,5,5,3,9,15,4,2,6,2,28,14,2,1,11,8,,,2,6,387,443,302,344,17,20,90,75,74,51,2,2
213,2022-2023, 5,14.08.2022 15:00,Radomiak Radom,Lechia Gdańsk,35%,65%,16,12,8,5,5,5,3,2,14,18,2,5,3,2,16,17,4,4,17,15,,,2,3,246,465,182,386,11,11,77,114,42,78,4,1
214,2022-2023, 5,13.08.2022 20:00,Pogoń Szczecin,Wisła Płock,48%,52%,23,13,8,4,7,2,8,7,8,13,14,7,1,2,18,21,2,6,12,6,,,2,1,368,412,291,335,9,8,66,58,89,67,2,2
215,2022-2023, 5,13.08.2022 17:30,Górnik Zabrze,Stal Mielec,62%,38%,17,14,5,7,5,7,7,0,7,13,9,1,4,0,26,19,4,4,9,7,1,0,2,1,587,356,494,264,14,13,134,88,99,65,1,3
216,2022-2023, 5,13.08.2022 15:00,Cracovia,Piast Gliwice,57%,43%,12,9,3,4,6,3,3,2,10,10,13,2,1,2,22,15,3,3,12,7,,,3,2,445,351,348,261,18,15,81,79,84,61,0,1
217,2022-2023, 5,12.08.2022 20:30,Widzew Łódź,Legia Warszawa,44%,56%,16,9,2,3,9,2,5,4,18,9,9,2,1,3,19,22,1,1,7,16,,,3,2,369,511,296,425,15,15,97,122,70,52,1,2
218,2022-2023, 5,12.08.2022 18:00,Miedź Legnica,Zagłębie Lubin,41%,59%,12,21,3,8,8,8,1,5,9,17,1,4,3,0,26,29,7,3,16,10,,,5,1,325,452,226,350,17,24,103,113,64,91,0,1
