,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
24,2022-2023,26,01.04.2023 15:00,Korona Kielce,Miedź Legnica,40%,60%,11,12,6,2,4,5,1,5,18,11,4,5,0,1,30,40,2,5,9,17,,,4,5,316,466,230,350,11,24,112,140,44,85,1,0
25,2022-2023,26,31.03.2023 20:30,Piast Gliwice,Górnik Zabrze,35%,65%,17,7,6,1,7,2,4,4,15,14,7,6,1,1,24,25,1,5,13,14,,,1,3,311,580,218,481,16,14,90,88,69,63,1,0
26,2022-2023,26,31.03.2023 18:00,Zagłębie Lubin,Warta Poznań,64%,36%,13,11,4,1,6,6,3,4,12,8,6,3,0,1,26,19,1,4,9,11,,,2,1,582,322,457,226,13,7,107,98,76,68,0,0
27,2022-2023,25,19.03.2023 17:30,Widzew Łódź,Lech Poznań,41%,59%,9,7,1,2,3,1,5,4,17,15,0,4,1,2,21,24,0,0,14,15,,,2,2,394,572,314,480,14,13,95,155,59,89,1,2
28,2022-2023,25,19.03.2023 15:00,Miedź Legnica,Piast Gliwice,57%,43%,12,8,3,3,6,3,3,2,13,16,8,6,3,0,40,20,2,3,12,12,0,1,1,0,450,349,351,235,15,18,122,89,100,63,0,1
29,2022-2023,25,19.03.2023 12:30,Warta Poznań,Lechia Gdańsk,44%,56%,16,17,4,4,4,8,8,5,8,9,6,5,0,4,28,32,4,2,10,6,,,2,2,328,415,236,325,22,19,89,102,69,66,2,0
30,2022-2023,25,18.03.2023 20:00,Raków Częstochowa,Cracovia,63%,37%,21,9,6,3,4,3,11,3,16,9,11,1,1,1,20,13,2,2,8,19,0,1,0,6,476,293,384,197,8,12,99,70,92,40,4,1
31,2022-2023,25,18.03.2023 17:30,Pogoń Szczecin,Korona Kielce,69%,31%,21,9,3,4,8,3,10,2,9,16,11,4,4,2,31,23,4,3,12,9,,,1,1,584,256,483,158,21,18,75,64,96,42,0,0
32,2022-2023,25,18.03.2023 15:00,Jagiellonia Białystok,Zagłębie Lubin,57%,43%,12,10,4,4,5,6,3,0,13,20,4,2,4,3,18,20,2,2,16,11,,,1,1,506,386,414,283,12,10,131,108,88,71,2,2
33,2022-2023,25,18.03.2023 12:30,Śląsk Wrocław,Stal Mielec,54%,46%,16,7,3,2,11,2,2,3,18,18,6,2,3,3,17,20,1,2,15,15,,,5,3,462,391,366,283,11,19,117,82,72,57,1,1
