,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
127,2014-2015,22,27.02.2015 18:00,Ruch Chorzów,Lechia Gdańsk,44%,56%,13,12,3,2,7,9,3,1,14,13,9,4,1,2,9,18,1,2,13,14,1,3,,,1,1
128,2014-2015,21,23.02.2015 18:00,Piast Gliwice,GKS Bełchatów,60%,40%,24,12,10,4,9,5,5,3,20,12,9,7,0,2,26,21,3,7,11,15,1,2,0,1,3,1
129,2014-2015,21,22.02.2015 18:00,Korona Kielce,Legia Warszawa,46%,54%,6,8,3,3,3,1,0,4,13,17,3,7,0,2,29,37,3,3,17,10,3,0,,,0,0
130,2014-2015,21,22.02.2015 15:30,Lech Poznań,Ruch Chorzów,56%,44%,11,11,4,8,4,3,3,0,13,14,3,5,2,1,21,22,7,2,12,12,0,1,,,2,1
131,2014-2015,21,21.02.2015 18:00,Śląsk Wrocław,Jagiellonia Białystok,64%,36%,20,8,7,2,8,5,5,1,17,14,13,3,0,0,29,14,1,7,14,17,2,3,,,0,1
132,2014-2015,21,21.02.2015 15:30,Górnik Łęczna,Górnik Zabrze,54%,46%,14,9,5,3,8,6,1,0,11,10,9,8,1,3,30,27,2,5,8,9,,,,,0,1
133,2014-2015,21,21.02.2015 15:30,Lechia Gdańsk,Zawisza Bydgoszcz,64%,36%,13,3,2,1,3,1,8,1,24,19,11,4,0,2,38,27,1,2,17,18,1,2,,,0,0
134,2014-2015,21,20.02.2015 20:30,Wisła Kraków,Pogoń Szczecin,52%,48%,13,15,4,4,6,8,3,3,14,26,5,5,2,0,31,23,3,3,23,15,4,1,1,0,1,1
135,2014-2015,21,20.02.2015 18:00,Podbeskidzie B-B,Cracovia,50%,50%,12,10,5,3,3,4,4,3,14,7,7,3,0,3,21,29,2,4,7,13,0,1,,,1,1
136,2014-2015,20,16.02.2015 18:00,Górnik Zabrze,Korona Kielce,64%,36%,15,9,3,1,10,4,2,4,22,13,8,5,1,0,16,31,0,2,12,22,2,6,0,1,1,1
137,2014-2015,20,15.02.2015 18:00,Legia Warszawa,Jagiellonia Białystok,60%,40%,15,10,2,6,8,3,5,1,9,4,7,0,1,0,32,24,3,1,4,9,3,1,1,0,1,3
138,2014-2015,20,15.02.2015 15:30,Cracovia,Śląsk Wrocław,43%,57%,19,16,5,2,10,10,4,4,10,17,9,3,1,1,16,23,1,4,15,9,3,2,,,1,1
139,2014-2015,20,14.02.2015 18:00,Pogoń Szczecin,Lech Poznań,39%,61%,8,14,2,7,2,5,4,2,12,19,3,8,4,1,26,34,6,1,12,10,2,4,,,1,1
140,2014-2015,20,14.02.2015 15:30,GKS Bełchatów,Podbeskidzie B-B,65%,35%,9,7,4,3,2,4,3,0,23,24,8,2,4,3,29,21,1,3,20,20,3,5,0,1,1,2
141,2014-2015,20,14.02.2015 15:30,Ruch Chorzów,Piast Gliwice,48%,52%,14,10,5,3,6,5,3,2,16,9,3,5,0,1,8,15,3,3,9,17,2,4,0,1,2,0
142,2014-2015,20,13.02.2015 20:30,Lechia Gdańsk,Wisła Kraków,56%,44%,18,6,3,0,7,2,8,4,27,16,7,4,2,5,35,26,0,2,13,21,2,2,,,1,0
143,2014-2015,20,13.02.2015 18:00,Zawisza Bydgoszcz,Górnik Łęczna,52%,48%,13,9,3,2,7,6,3,1,16,16,6,1,0,1,29,25,2,3,15,15,3,2,,,0,0
144,2014-2015,19,15.12.2014 18:00,Piast Gliwice,Pogoń Szczecin,45%,55%,13,19,3,5,7,11,3,3,11,17,6,7,0,0,19,18,5,2,16,12,0,4,,,1,0
145,2014-2015,19,14.12.2014 18:00,Górnik Łęczna,Legia Warszawa,30%,70%,16,20,9,7,4,6,3,7,10,18,9,9,2,0,21,31,6,6,16,10,2,4,,,3,1
146,2014-2015,19,14.12.2014 15:30,Podbeskidzie B-B,Zawisza Bydgoszcz,51%,49%,17,12,3,4,4,4,10,4,15,13,3,1,1,0,29,29,3,1,11,15,1,2,,,2,1
147,2014-2015,19,13.12.2014 18:00,Lech Poznań,Lechia Gdańsk,55%,45%,23,8,10,0,8,5,5,3,9,16,3,5,1,0,30,23,0,9,14,10,1,2,,,1,0
148,2014-2015,19,13.12.2014 15:30,Jagiellonia Białystok,Górnik Zabrze,49%,51%,11,10,6,3,4,4,1,3,15,13,3,4,2,3,29,32,3,5,11,12,1,2,0,1,1,0
149,2014-2015,19,13.12.2014 15:30,Ruch Chorzów,Wisła Kraków,48%,52%,11,12,4,4,4,6,3,2,21,18,3,3,5,6,18,18,2,3,12,15,1,2,,,1,2
150,2014-2015,19,12.12.2014 20:30,Śląsk Wrocław,GKS Bełchatów,56%,44%,15,6,5,2,2,1,8,3,27,19,6,4,3,1,32,25,1,3,16,26,2,2,,,2,1
151,2014-2015,19,12.12.2014 18:00,Korona Kielce,Cracovia,64%,36%,11,11,4,4,6,5,1,2,16,10,2,4,0,1,25,34,2,3,10,15,2,0,,,1,2
152,2014-2015,18,08.12.2014 18:00,Ruch Chorzów,Podbeskidzie B-B,56%,44%,9,15,5,1,3,8,1,6,20,13,7,7,2,2,13,18,1,3,12,18,3,3,,,2,0
153,2014-2015,18,07.12.2014 18:00,Wisła Kraków,Lech Poznań,39%,61%,7,10,3,6,2,3,2,1,24,12,6,6,1,3,21,24,4,2,12,21,3,3,1,0,1,2
154,2014-2015,18,07.12.2014 15:30,Lechia Gdańsk,Piast Gliwice,37%,63%,16,17,5,2,8,11,3,4,21,14,4,1,0,3,17,24,1,2,14,17,1,3,1,0,3,1
155,2014-2015,18,06.12.2014 18:00,Cracovia,Jagiellonia Białystok,55%,45%,12,12,6,2,3,8,3,2,17,14,8,2,3,2,26,14,1,5,15,21,3,2,,,1,1
156,2014-2015,18,06.12.2014 15:30,GKS Bełchatów,Górnik Łęczna,49%,51%,14,13,8,3,3,5,3,5,18,14,10,3,1,6,24,25,2,7,12,12,3,3,,,1,1
157,2014-2015,18,06.12.2014 15:30,Pogoń Szczecin,Korona Kielce,42%,58%,8,11,4,3,4,5,0,3,16,14,6,7,1,1,24,37,3,2,13,15,1,2,,,2,0
158,2014-2015,18,05.12.2014 20:30,Górnik Zabrze,Legia Warszawa,45%,55%,13,9,0,8,9,1,4,0,22,19,3,4,1,12,18,13,4,0,18,10,2,2,,,0,4
159,2014-2015,18,05.12.2014 18:00,Zawisza Bydgoszcz,Śląsk Wrocław,49%,51%,7,12,1,7,4,3,2,2,13,23,2,8,1,0,33,23,6,1,22,13,7,4,1,0,0,1
160,2014-2015,17,01.12.2014 18:00,Legia Warszawa,Cracovia,64%,36%,11,13,5,6,4,5,2,2,17,23,7,6,2,2,13,19,6,3,20,13,0,2,,,2,0
161,2014-2015,17,30.11.2014 18:00,Śląsk Wrocław,Pogoń Szczecin,54%,46%,22,12,6,4,13,7,3,1,24,14,5,2,1,0,34,27,3,5,12,22,2,4,,,1,1
162,2014-2015,17,30.11.2014 15:30,Lech Poznań,Górnik Zabrze,56%,44%,18,5,8,3,8,2,2,0,18,13,5,2,3,3,28,23,3,5,9,15,1,2,,,3,0
163,2014-2015,17,29.11.2014 18:00,Korona Kielce,GKS Bełchatów,41%,59%,12,6,8,1,1,4,3,1,9,18,4,10,2,1,26,30,1,6,16,8,1,0,,,2,0
164,2014-2015,17,29.11.2014 15:30,Jagiellonia Białystok,Zawisza Bydgoszcz,44%,56%,7,14,4,6,2,5,1,3,18,17,6,3,1,3,26,14,6,4,15,16,0,1,,,0,0
165,2014-2015,17,29.11.2014 15:30,Podbeskidzie B-B,Lechia Gdańsk,34%,66%,6,21,2,6,3,11,1,4,17,18,4,5,2,3,27,20,6,1,16,16,4,2,1,0,1,0
166,2014-2015,17,28.11.2014 20:30,Piast Gliwice,Wisła Kraków,50%,50%,13,15,3,4,6,4,4,7,17,14,5,8,1,2,,,4,3,13,14,3,5,,,0,0
167,2014-2015,17,28.11.2014 18:00,Górnik Łęczna,Ruch Chorzów,55%,45%,15,5,3,2,8,2,4,1,10,17,2,3,3,1,28,26,2,0,14,10,2,3,,,3,0
168,2014-2015,16,24.11.2014 18:00,Cracovia,Górnik Zabrze,55%,45%,18,8,5,3,7,3,6,2,11,16,14,2,1,1,37,18,1,4,15,9,1,2,,,1,2
169,2014-2015,16,23.11.2014 18:00,Piast Gliwice,Lech Poznań,46%,54%,7,18,3,5,4,8,0,5,14,17,3,5,5,0,20,14,3,0,11,15,1,1,,,3,2
170,2014-2015,16,23.11.2014 15:30,Lechia Gdańsk,Jagiellonia Białystok,58%,42%,16,18,3,7,9,5,4,6,19,20,1,6,1,4,35,31,6,2,19,15,2,1,,,1,1
171,2014-2015,16,22.11.2014 18:00,Korona Kielce,Zawisza Bydgoszcz,46%,54%,17,11,6,5,9,4,2,2,16,18,7,5,3,1,19,18,4,4,12,15,3,3,1,1,2,2
172,2014-2015,16,22.11.2014 15:30,Pogoń Szczecin,Podbeskidzie B-B,58%,42%,13,12,5,4,6,5,2,3,16,17,3,1,1,0,19,29,2,4,17,16,2,1,,,1,2
173,2014-2015,16,22.11.2014 15:30,Wisła Kraków,Górnik Łęczna,54%,46%,11,8,3,1,4,4,4,3,14,14,6,2,2,1,25,33,1,1,10,11,1,3,0,1,2,0
174,2014-2015,16,21.11.2014 20:30,GKS Bełchatów,Legia Warszawa,41%,59%,13,12,3,7,7,4,3,1,21,17,1,6,1,3,23,28,4,3,16,18,0,2,,,0,3
175,2014-2015,16,21.11.2014 18:00,Ruch Chorzów,Śląsk Wrocław,42%,58%,9,14,3,5,3,7,3,2,11,15,7,5,1,0,14,18,5,2,15,12,0,1,,,1,0
176,2014-2015,15,09.11.2014 18:00,Pogoń Szczecin,Legia Warszawa,36%,64%,7,22,3,6,3,9,1,7,19,16,3,12,0,3,11,39,5,1,15,16,5,5,0,1,2,1
177,2014-2015,15,09.11.2014 15:30,Ruch Chorzów,Jagiellonia Białystok,42%,58%,16,15,6,7,6,6,4,2,12,16,4,5,3,0,18,18,5,1,13,13,0,2,,,5,2
178,2014-2015,15,09.11.2014 15:30,Zawisza Bydgoszcz,Górnik Zabrze,56%,44%,17,5,3,4,6,0,8,1,13,22,11,0,0,0,32,36,2,2,19,11,2,4,,,1,2
179,2014-2015,15,08.11.2014 20:30,Wisła Kraków,Śląsk Wrocław,54%,46%,11,8,7,2,1,2,3,4,19,19,1,4,2,2,18,25,1,6,18,18,1,2,,,1,1
180,2014-2015,15,08.11.2014 18:00,GKS Bełchatów,Cracovia,51%,49%,9,18,1,9,6,5,2,4,14,7,2,10,2,1,14,22,8,0,5,14,0,6,0,1,1,1
181,2014-2015,15,08.11.2014 15:30,Lechia Gdańsk,Korona Kielce,57%,43%,22,9,7,5,9,3,6,1,21,14,13,3,1,2,22,26,3,6,13,17,1,2,,,1,2
182,2014-2015,15,07.11.2014 20:30,Lech Poznań,Podbeskidzie B-B,55%,45%,16,10,6,5,7,3,3,2,20,18,6,5,5,1,26,27,4,5,13,19,3,2,,,1,1
183,2014-2015,15,07.11.2014 18:00,Piast Gliwice,Górnik Łęczna,50%,50%,14,15,1,5,11,9,2,1,13,9,7,4,0,0,33,31,5,1,9,13,2,0,,,0,0
184,2014-2015,14,03.11.2014 20:30,Jagiellonia Białystok,GKS Bełchatów,52%,48%,15,17,6,6,4,9,5,2,15,16,6,5,2,1,32,24,5,6,14,14,2,3,,,0,1
185,2014-2015,14,03.11.2014 18:00,Podbeskidzie B-B,Piast Gliwice,50%,50%,14,14,6,5,5,5,3,4,17,13,7,5,1,5,22,21,1,4,12,13,0,2,,,2,4
186,2014-2015,14,02.11.2014 18:00,Legia Warszawa,Ruch Chorzów,55%,45%,10,8,4,2,6,3,0,3,24,15,1,0,4,3,25,31,1,2,11,20,1,1,,,2,1
187,2014-2015,14,02.11.2014 15:30,Cracovia,Zawisza Bydgoszcz,45%,55%,13,18,5,6,4,5,4,7,19,20,5,10,3,1,26,17,6,4,19,20,3,2,,,1,0
188,2014-2015,14,02.11.2014 15:30,Śląsk Wrocław,Lech Poznań,54%,46%,10,19,4,8,6,7,0,4,25,12,2,3,2,0,26,18,7,3,9,25,2,3,,,1,1
189,2014-2015,14,02.11.2014 13:00,Górnik Zabrze,Pogoń Szczecin,45%,55%,13,11,3,5,7,4,3,2,18,20,5,5,1,2,17,26,4,2,18,15,1,1,1,0,1,1
190,2014-2015,14,31.10.2014 20:30,Korona Kielce,Wisła Kraków,40%,60%,13,11,5,4,4,4,4,3,11,13,5,8,1,0,24,28,2,2,12,11,1,3,0,1,3,2
191,2014-2015,14,31.10.2014 18:00,Górnik Łęczna,Lechia Gdańsk,52%,48%,14,19,2,3,6,7,6,9,16,17,3,2,3,3,35,24,2,1,14,13,0,2,1,0,1,1
192,2014-2015,13,27.10.2014 18:00,Ruch Chorzów,Korona Kielce,56%,44%,13,10,2,2,8,7,3,1,13,9,6,6,1,0,14,15,1,2,7,15,1,2,,,0,1
193,2014-2015,13,26.10.2014 18:00,Zawisza Bydgoszcz,Legia Warszawa,44%,56%,9,11,4,4,4,5,1,2,14,23,8,11,1,5,20,30,2,3,22,9,4,1,,,1,2
194,2014-2015,13,26.10.2014 15:30,Lech Poznań,Górnik Łęczna,62%,38%,11,10,5,4,5,4,1,2,17,12,7,5,0,4,34,28,4,4,11,13,1,2,,,1,0
195,2014-2015,13,25.10.2014 18:00,Pogoń Szczecin,Cracovia,50%,50%,14,16,3,9,7,4,4,3,12,21,7,9,4,0,25,29,8,1,17,12,2,1,,,2,1
196,2014-2015,13,25.10.2014 15:30,Lechia Gdańsk,Śląsk Wrocław,45%,55%,7,15,3,8,2,4,2,3,20,13,7,3,1,3,31,20,4,2,13,18,4,1,1,0,1,4
197,2014-2015,13,25.10.2014 15:30,Piast Gliwice,Jagiellonia Białystok,54%,46%,20,11,3,4,10,4,7,3,16,12,8,7,0,4,31,27,2,3,12,11,1,4,,,0,2
198,2014-2015,13,24.10.2014 20:30,Wisła Kraków,Podbeskidzie B-B,56%,44%,20,16,9,2,8,5,3,9,17,13,7,3,2,0,15,26,0,6,11,18,1,6,0,2,3,2
199,2014-2015,13,24.10.2014 18:00,GKS Bełchatów,Górnik Zabrze,44%,56%,7,9,3,2,3,5,1,2,24,12,2,6,0,1,29,33,2,2,13,23,1,2,,,1,0
200,2014-2015,12,20.10.2014 18:00,Zawisza Bydgoszcz,GKS Bełchatów,56%,44%,13,10,7,3,6,7,0,0,26,21,4,4,1,2,19,22,2,5,22,24,3,3,,,2,1
201,2014-2015,12,19.10.2014 18:00,Górnik Zabrze,Wisła Kraków,54%,46%,7,17,3,6,4,7,0,4,18,11,3,8,1,2,29,18,1,3,11,18,0,1,,,0,5
202,2014-2015,12,19.10.2014 15:30,Korona Kielce,Lech Poznań,47%,53%,9,12,5,6,3,4,1,2,22,17,10,3,3,4,34,35,4,3,14,18,1,2,,,2,2
203,2014-2015,12,18.10.2014 18:00,Jagiellonia Białystok,Pogoń Szczecin,44%,56%,16,11,8,2,6,4,2,5,17,18,3,2,2,2,23,23,2,3,18,15,2,2,,,5,0
204,2014-2015,12,18.10.2014 15:30,Podbeskidzie B-B,Górnik Łęczna,41%,59%,11,23,3,10,5,7,3,6,18,11,7,5,2,1,17,22,10,2,9,17,2,1,,,1,0
205,2014-2015,12,18.10.2014 15:30,Śląsk Wrocław,Piast Gliwice,62%,38%,23,12,8,4,9,7,6,1,12,16,8,7,2,2,23,13,4,5,15,11,2,2,,,3,0
206,2014-2015,12,17.10.2014 20:30,Legia Warszawa,Lechia Gdańsk,56%,44%,16,21,7,7,4,9,5,5,18,14,8,4,0,3,18,23,7,6,13,17,,,,,1,0
207,2014-2015,12,17.10.2014 18:00,Cracovia,Ruch Chorzów,49%,51%,15,14,5,3,7,10,3,1,8,11,9,3,2,0,20,25,3,4,9,8,0,1,,,1,0
208,2014-2015,11,05.10.2014 18:00,Lech Poznań,GKS Bełchatów,59%,41%,19,5,10,3,6,1,3,1,10,22,7,6,3,1,25,29,3,5,18,10,1,2,,,5,0
209,2014-2015,11,05.10.2014 15:30,Piast Gliwice,Legia Warszawa,41%,59%,14,13,8,6,4,6,2,1,14,22,8,4,1,0,22,28,5,5,21,13,0,2,,,3,1
210,2014-2015,11,05.10.2014 15:30,Pogoń Szczecin,Zawisza Bydgoszcz,53%,47%,19,9,12,5,5,2,2,2,12,22,1,3,4,0,27,19,5,9,20,23,3,2,,,3,0
211,2014-2015,11,04.10.2014 20:30,Ruch Chorzów,Górnik Zabrze,50%,50%,17,12,6,5,7,4,4,3,16,17,9,4,5,1,23,23,3,5,11,15,2,1,,,1,2
212,2014-2015,11,04.10.2014 18:00,Lechia Gdańsk,Cracovia,48%,52%,17,13,8,5,6,4,3,4,17,11,4,6,1,2,28,33,5,7,10,15,0,3,,,1,0
213,2014-2015,11,04.10.2014 15:30,Górnik Łęczna,Korona Kielce,55%,45%,22,9,7,0,7,8,8,1,21,14,8,1,1,1,19,23,0,6,12,20,2,5,0,1,1,0
214,2014-2015,11,03.10.2014 20:30,Wisła Kraków,Jagiellonia Białystok,65%,35%,24,16,6,5,11,5,7,6,21,19,6,8,1,1,24,17,3,6,18,18,1,1,,,0,2
215,2014-2015,11,03.10.2014 18:00,Podbeskidzie B-B,Śląsk Wrocław,43%,57%,13,19,4,5,6,5,3,9,21,18,2,10,1,4,29,30,3,2,15,18,4,3,,,2,2
216,2014-2015,10,29.09.2014 18:00,Jagiellonia Białystok,Podbeskidzie B-B,40%,60%,12,16,8,8,3,5,1,3,22,21,4,5,1,3,17,30,6,4,19,19,2,2,,,4,2
217,2014-2015,10,28.09.2014 18:00,Cracovia,Wisła Kraków,44%,56%,7,11,3,2,2,5,2,4,15,12,4,1,2,0,40,20,2,2,11,13,0,2,,,1,0
218,2014-2015,10,28.09.2014 15:30,Górnik Zabrze,Lechia Gdańsk,49%,51%,16,17,6,10,5,6,5,1,15,19,9,10,3,1,29,23,8,4,16,14,3,3,,,2,2
219,2014-2015,10,27.09.2014 20:30,Legia Warszawa,Lech Poznań,61%,39%,15,8,4,4,9,3,2,1,18,11,7,4,2,1,26,22,2,2,7,17,2,4,,,2,2
220,2014-2015,10,27.09.2014 18:00,GKS Bełchatów,Pogoń Szczecin,41%,59%,5,11,2,2,3,5,0,4,28,21,1,6,1,4,29,26,2,1,18,23,7,2,1,0,1,0
221,2014-2015,10,27.09.2014 15:30,Zawisza Bydgoszcz,Ruch Chorzów,64%,36%,17,7,6,2,9,5,2,0,19,20,2,1,2,0,30,35,1,5,17,17,1,4,,,1,1
222,2014-2015,10,26.09.2014 20:30,Śląsk Wrocław,Górnik Łęczna,54%,46%,25,15,8,7,7,7,10,1,17,8,10,4,0,4,23,20,6,6,8,14,0,2,,,2,1
223,2014-2015,10,26.09.2014 18:00,Korona Kielce,Piast Gliwice,53%,47%,14,5,5,2,8,3,1,0,18,16,5,7,0,2,34,33,2,4,14,14,1,2,,,1,0
224,2014-2015, 9,22.09.2014 18:00,Górnik Łęczna,Jagiellonia Białystok,51%,49%,24,11,8,1,10,9,6,1,17,16,6,2,3,2,22,30,1,8,13,13,6,2,,,0,0
225,2014-2015, 9,21.09.2014 18:00,Wisła Kraków,Legia Warszawa,43%,57%,11,16,2,6,6,7,3,3,14,16,2,7,0,2,29,30,3,2,18,14,2,4,,,0,3
226,2014-2015, 9,21.09.2014 15:30,Ruch Chorzów,GKS Bełchatów,50%,50%,9,11,4,4,4,5,1,2,19,9,6,6,0,3,20,18,3,4,10,17,1,2,,,0,1
227,2014-2015, 9,20.09.2014 20:30,Lech Poznań,Zawisza Bydgoszcz,56%,44%,21,8,11,3,6,3,4,2,9,21,4,3,2,0,19,29,1,5,17,11,1,3,0,2,6,2
228,2014-2015, 9,20.09.2014 18:00,Podbeskidzie B-B,Górnik Zabrze,53%,47%,14,17,4,12,9,4,1,1,17,14,5,4,3,5,38,30,9,4,11,12,1,1,,,0,3
229,2014-2015, 9,20.09.2014 15:30,Piast Gliwice,Cracovia,42%,58%,14,25,4,9,6,10,4,6,19,17,2,10,1,4,14,31,7,0,16,13,1,3,,,4,2
230,2014-2015, 9,19.09.2014 20:30,Lechia Gdańsk,Pogoń Szczecin,63%,37%,14,13,5,2,6,8,3,3,18,14,3,4,0,4,44,35,1,5,14,17,2,2,,,0,1
231,2014-2015, 9,19.09.2014 18:00,Śląsk Wrocław,Korona Kielce,57%,43%,10,10,4,3,4,5,2,2,14,16,6,9,2,2,22,29,3,3,14,12,2,3,,,1,0
232,2014-2015, 8,15.09.2014 18:00,Korona Kielce,Podbeskidzie B-B,44%,56%,13,14,5,5,6,5,2,4,17,24,4,5,2,0,35,34,4,3,21,18,4,3,0,1,2,1
233,2014-2015, 8,14.09.2014 18:00,GKS Bełchatów,Lechia Gdańsk,38%,62%,7,10,2,4,4,1,1,5,15,26,4,3,2,1,26,33,3,1,22,14,1,1,,,1,1
234,2014-2015, 8,14.09.2014 15:30,Górnik Zabrze,Piast Gliwice,63%,37%,13,14,7,7,6,5,0,2,15,18,9,4,4,2,20,24,5,6,17,12,4,2,,,1,2
235,2014-2015, 8,13.09.2014 20:30,Legia Warszawa,Śląsk Wrocław,50%,50%,13,22,8,9,2,9,3,4,12,20,8,3,7,1,16,27,6,4,16,11,2,2,,,4,3
236,2014-2015, 8,13.09.2014 18:00,Jagiellonia Białystok,Lech Poznań,42%,58%,6,8,4,1,2,5,0,2,22,15,7,2,3,4,34,26,1,3,10,18,2,1,,,1,0
237,2014-2015, 8,13.09.2014 15:30,Cracovia,Górnik Łęczna,54%,46%,15,11,5,5,5,6,5,0,16,12,5,6,1,2,34,24,4,3,12,14,3,1,,,2,1
238,2014-2015, 8,12.09.2014 20:30,Pogoń Szczecin,Ruch Chorzów,62%,38%,18,9,6,6,9,2,3,1,16,16,3,5,0,0,27,29,5,5,14,16,3,5,,,1,1
239,2014-2015, 8,12.09.2014 18:00,Zawisza Bydgoszcz,Wisła Kraków,55%,45%,21,12,9,4,9,5,3,3,17,13,4,4,2,1,22,18,1,7,12,15,3,2,,,2,4
240,2014-2015, 7,31.08.2014 18:00,Lech Poznań,Cracovia,49%,51%,19,6,7,3,9,2,3,1,12,20,2,3,0,2,23,29,2,6,20,10,2,1,,,1,1
241,2014-2015, 7,31.08.2014 15:30,Lechia Gdańsk,Ruch Chorzów,53%,47%,21,8,11,5,7,2,3,1,15,16,3,2,0,2,28,24,2,8,13,11,1,2,,,3,3
242,2014-2015, 7,31.08.2014 15:30,Podbeskidzie B-B,Legia Warszawa,38%,62%,10,13,4,3,3,7,3,3,20,20,2,9,2,5,16,2,2,2,22,13,3,4,,,2,1
243,2014-2015, 7,30.08.2014 20:30,Korona Kielce,Jagiellonia Białystok,55%,45%,13,14,6,5,4,5,3,4,14,21,9,7,1,2,36,23,2,6,20,12,6,3,,,0,3
244,2014-2015, 7,30.08.2014 18:00,Śląsk Wrocław,Górnik Zabrze,46%,54%,17,14,6,3,7,6,4,5,9,14,3,1,3,0,30,29,3,4,9,9,1,3,,,2,0
245,2014-2015, 7,30.08.2014 15:30,Górnik Łęczna,Pogoń Szczecin,45%,55%,15,17,9,7,3,9,3,1,14,20,6,2,2,4,26,31,5,5,17,11,1,0,,,4,2
246,2014-2015, 7,29.08.2014 20:30,Wisła Kraków,GKS Bełchatów,51%,49%,16,11,5,0,6,8,5,3,18,18,5,5,3,0,26,19,0,4,15,17,3,1,1,0,1,0
247,2014-2015, 7,29.08.2014 18:00,Piast Gliwice,Zawisza Bydgoszcz,49%,51%,11,20,6,7,2,11,3,2,8,24,2,5,3,2,28,28,7,3,21,5,2,1,,,3,0
248,2014-2015, 6,25.08.2014 18:00,GKS Bełchatów,Piast Gliwice,58%,42%,15,11,4,1,5,5,6,5,24,18,6,1,0,3,36,19,1,4,18,17,2,1,,,0,0
249,2014-2015, 6,24.08.2014 18:00,Ruch Chorzów,Lech Poznań,39%,61%,13,10,5,4,4,5,4,1,17,11,6,9,4,3,26,20,4,5,8,13,3,3,,,0,0
250,2014-2015, 6,24.08.2014 15:30,Legia Warszawa,Korona Kielce,58%,42%,10,16,2,7,5,7,3,2,17,16,7,8,4,1,27,17,7,0,12,16,0,2,,,2,0
251,2014-2015, 6,23.08.2014 20:30,Jagiellonia Białystok,Śląsk Wrocław,41%,59%,15,19,7,9,7,5,1,5,11,16,5,9,1,3,19,25,6,6,15,8,0,1,1,0,1,3
252,2014-2015, 6,23.08.2014 18:00,Górnik Zabrze,Górnik Łęczna,54%,46%,11,11,5,3,4,5,2,3,13,10,2,9,3,4,18,21,3,3,7,9,1,3,,,2,0
253,2014-2015, 6,23.08.2014 15:30,Cracovia,Podbeskidzie B-B,57%,43%,23,7,7,3,11,3,5,1,11,14,4,3,3,0,37,27,0,6,10,8,2,1,,,1,3
254,2014-2015, 6,22.08.2014 20:30,Pogoń Szczecin,Wisła Kraków,51%,49%,16,12,6,4,6,7,4,1,13,18,11,7,2,0,33,22,1,6,15,13,2,2,,,0,3
255,2014-2015, 6,22.08.2014 18:00,Zawisza Bydgoszcz,Lechia Gdańsk,48%,52%,13,11,2,7,7,2,4,2,23,17,6,9,3,2,34,33,5,2,12,21,2,1,,,0,2
256,2014-2015, 5,18.08.2014 18:00,Podbeskidzie B-B,GKS Bełchatów,48%,52%,15,13,9,2,4,8,2,3,18,19,5,4,1,1,27,39,1,8,19,17,1,4,,,1,1
257,2014-2015, 5,17.08.2014 18:00,Wisła Kraków,Lechia Gdańsk,47%,53%,16,13,8,4,3,7,5,2,22,18,4,6,2,2,28,17,3,5,15,19,1,2,,,3,1
258,2014-2015, 5,17.08.2014 15:30,Śląsk Wrocław,Cracovia,55%,45%,16,16,4,3,10,11,2,2,18,9,3,3,1,5,25,23,3,4,8,13,4,2,,,0,0
259,2014-2015, 5,16.08.2014 20:30,Lech Poznań,Pogoń Szczecin,54%,46%,20,11,7,2,10,3,3,6,18,15,7,11,0,2,31,27,1,6,15,15,2,3,,,1,1
260,2014-2015, 5,16.08.2014 18:00,Piast Gliwice,Ruch Chorzów,57%,43%,17,11,8,3,5,6,4,2,11,18,8,4,3,1,11,14,2,8,14,9,2,2,,,0,1
261,2014-2015, 5,16.08.2014 15:30,Górnik Łęczna,Zawisza Bydgoszcz,55%,45%,14,16,5,4,7,8,2,4,8,13,9,9,1,0,21,24,2,0,11,9,1,2,,,5,2
262,2014-2015, 5,15.08.2014 20:30,Jagiellonia Białystok,Legia Warszawa,37%,63%,11,17,2,8,8,6,1,3,26,21,5,9,1,4,20,24,5,2,20,22,5,4,1,0,0,3
263,2014-2015, 5,15.08.2014 18:00,Korona Kielce,Górnik Zabrze,49%,51%,8,13,2,6,5,3,1,4,14,17,4,6,4,3,27,33,3,2,12,11,2,2,,,0,3
264,2014-2015, 4,11.08.2014 18:00,Pogoń Szczecin,Piast Gliwice,61%,39%,18,5,5,0,6,4,7,1,25,10,9,3,2,1,28,27,0,5,8,22,3,2,,,0,0
265,2014-2015, 4,10.08.2014 18:00,Wisła Kraków,Ruch Chorzów,59%,41%,21,11,9,8,10,2,2,1,16,14,4,5,2,2,26,19,6,7,10,13,1,2,,,2,2
266,2014-2015, 4,10.08.2014 15:30,Lechia Gdańsk,Lech Poznań,42%,58%,11,10,2,3,5,7,4,0,22,8,2,3,0,2,28,28,1,1,7,19,3,4,1,0,1,2
