,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Podania celne_home,Podania celne_away,Czerwone kartki_home,Czerwone kartki_away,Strzały zablokowane_home,Strzały zablokowane_away,goals_home,goals_away
125,2020-2021,15,30.01.2021 15:00,Warta Poznań,Cracovia,36%,64%,7,5,2,2,5,3,2,7,2,1,2,2,10,20,2,4,79,89,58,69,201,470,,,,,1,0
126,2020-2021,15,29.01.2021 20:30,Raków Częstochowa,Pogoń Szczecin,52%,48%,8,8,1,3,7,5,8,0,2,1,2,1,11,17,5,2,98,70,79,43,374,379,,,,,0,1
127,2020-2021,15,29.01.2021 18:00,Zagłębie Lubin,Wisła Płock,41%,59%,6,13,2,5,4,8,4,0,3,5,3,2,15,12,4,2,108,119,60,87,335,464,1,0,,,0,2
128,2020-2021,14,20.12.2020 17:30,Jagiellonia Białystok,Górnik Zabrze,42%,58%,11,14,7,4,4,10,6,5,7,3,4,6,17,17,3,1,64,95,46,68,322,400,,,,,1,0
129,2020-2021,14,20.12.2020 15:00,Piast Gliwice,Raków Częstochowa,56%,44%,11,13,2,3,9,10,2,3,1,3,3,2,14,18,1,2,119,96,58,75,452,342,,,,,0,0
130,2020-2021,14,19.12.2020 20:00,Lech Poznań,Wisła Kraków,55%,45%,26,8,12,4,14,4,14,4,0,3,3,12,9,14,1,1,105,71,90,58,398,241,,,,,0,1
131,2020-2021,14,19.12.2020 17:30,Cracovia,Lechia Gdańsk,61%,39%,12,11,2,7,10,4,6,3,1,4,4,2,16,21,3,5,101,86,54,43,422,226,1,0,,,0,3
132,2020-2021,14,19.12.2020 15:00,Pogoń Szczecin,Zagłębie Lubin,70%,30%,19,5,11,3,8,2,7,1,5,5,3,10,16,8,4,3,106,70,115,39,603,252,0,1,,,1,0
133,2020-2021,14,18.12.2020 20:30,Legia Warszawa,Stal Mielec,70%,30%,15,7,6,6,9,1,8,0,0,2,3,4,18,19,3,3,110,63,87,26,591,200,,,,,2,3
134,2020-2021,14,18.12.2020 18:00,Wisła Płock,Podbeskidzie B-B,67%,33%,13,1,7,1,6,0,5,0,1,1,0,3,11,20,2,5,114,84,72,27,557,198,0,2,,,4,1
135,2020-2021,14,17.12.2020 18:00,Śląsk Wrocław,Warta Poznań,56%,44%,19,20,9,8,10,12,5,4,1,2,7,7,21,16,2,1,94,90,70,71,355,283,,,,,2,1
136,2020-2021, 5,16.12.2020 20:30,Lech Poznań,Pogoń Szczecin,59%,41%,16,15,6,10,10,5,4,7,1,3,6,6,13,20,3,0,130,81,60,42,544,338,,,,,0,4
137,2020-2021,13,14.12.2020 18:00,Lechia Gdańsk,Wisła Płock,49%,51%,11,12,3,5,8,7,3,4,0,1,4,3,21,15,3,1,96,125,71,81,352,380,,,,,0,1
138,2020-2021,13,13.12.2020 17:30,Raków Częstochowa,Jagiellonia Białystok,46%,54%,16,12,4,5,12,7,4,8,3,0,3,1,20,25,4,3,92,75,79,55,270,388,,,,,3,2
139,2020-2021,13,13.12.2020 15:00,Stal Mielec,Lech Poznań,38%,62%,14,14,4,5,10,9,9,9,2,2,4,3,16,19,2,3,64,96,72,91,238,475,,,,,1,1
140,2020-2021,13,12.12.2020 20:00,Wisła Kraków,Legia Warszawa,36%,64%,7,13,4,5,3,8,2,6,1,3,3,3,13,13,4,1,94,84,63,72,237,465,,,,,1,2
141,2020-2021,13,12.12.2020 17:30,Górnik Zabrze,Cracovia,50%,50%,13,11,4,2,9,9,3,4,2,3,0,4,16,15,3,4,108,117,63,78,359,349,,,,,0,2
142,2020-2021,13,12.12.2020 15:00,Warta Poznań,Pogoń Szczecin,36%,64%,8,12,2,5,6,7,3,5,1,4,3,1,11,22,3,4,64,89,31,49,257,549,,,,,1,2
143,2020-2021,13,11.12.2020 20:30,Zagłębie Lubin,Śląsk Wrocław,58%,42%,18,7,7,5,11,2,9,2,2,1,4,5,10,15,2,3,128,105,104,68,460,321,,,,,2,1
144,2020-2021,13,11.12.2020 18:00,Podbeskidzie B-B,Piast Gliwice,50%,50%,7,15,1,7,6,8,6,10,3,2,2,1,21,11,3,1,83,80,60,60,297,368,,,,,0,5
145,2020-2021,12,07.12.2020 20:30,Wisła Płock,Górnik Zabrze,53%,47%,7,6,4,2,3,4,12,3,3,0,1,4,21,16,3,1,112,115,76,73,375,328,,,,,0,1
146,2020-2021,12,07.12.2020 18:00,Pogoń Szczecin,Stal Mielec,66%,34%,18,4,5,1,13,3,8,1,1,1,1,3,18,11,0,3,99,81,89,47,485,270,,,,,2,0
147,2020-2021,12,06.12.2020 17:30,Lech Poznań,Podbeskidzie B-B,55%,45%,17,9,9,3,8,6,9,3,2,1,3,5,11,12,0,2,94,72,56,49,410,298,,,,,4,0
148,2020-2021,12,06.12.2020 15:00,Piast Gliwice,Zagłębie Lubin,52%,48%,10,7,4,1,6,6,2,1,0,2,0,3,7,8,2,0,114,103,62,69,504,487,,,,,1,1
149,2020-2021,12,05.12.2020 20:00,Legia Warszawa,Lechia Gdańsk,52%,48%,16,8,7,1,9,7,3,3,2,0,1,5,19,20,3,3,94,79,79,52,312,309,0,1,,,2,0
150,2020-2021,12,05.12.2020 17:30,Śląsk Wrocław,Raków Częstochowa,51%,49%,15,15,7,6,8,9,3,7,0,2,6,6,17,10,0,1,98,99,63,110,,,,,,,1,0
151,2020-2021,12,05.12.2020 15:00,Jagiellonia Białystok,Warta Poznań,63%,37%,15,15,7,6,8,9,5,4,1,6,3,3,15,14,1,1,124,85,84,53,475,233,,,,,4,3
152,2020-2021,12,04.12.2020 20:30,Cracovia,Wisła Kraków,48%,52%,12,8,3,2,9,6,4,4,2,2,1,2,25,17,3,7,75,83,59,74,265,268,0,1,,,1,1
153,2020-2021, 9,02.12.2020 18:00,Wisła Płock,Pogoń Szczecin,49%,51%,13,6,4,2,9,4,8,3,4,3,2,4,19,19,2,1,89,116,71,57,364,397,,,,,0,0
154,2020-2021,11,30.11.2020 18:00,Lechia Gdańsk,Lech Poznań,51%,49%,18,17,5,5,13,12,7,8,3,1,4,5,16,17,2,1,102,88,81,63,352,329,1,0,,,0,1
155,2020-2021,11,29.11.2020 17:30,Legia Warszawa,Piast Gliwice,62%,38%,20,5,10,3,10,2,11,1,1,0,1,8,14,15,2,2,85,61,50,22,526,312,,,,,2,2
156,2020-2021,11,29.11.2020 15:00,Raków Częstochowa,Warta Poznań,62%,38%,13,8,5,0,8,8,7,6,5,0,0,4,18,22,2,3,76,66,37,23,381,247,,,,,1,0
157,2020-2021,11,28.11.2020 20:00,Wisła Kraków,Zagłębie Lubin,59%,41%,8,11,3,6,5,5,13,3,2,0,4,2,18,14,2,4,115,92,106,71,414,347,,,,,1,2
158,2020-2021,11,28.11.2020 17:30,Podbeskidzie B-B,Śląsk Wrocław,62%,38%,14,6,6,3,8,3,9,2,1,3,1,6,12,19,2,3,97,73,53,40,424,260,,,,,0,2
159,2020-2021,11,28.11.2020 15:00,Stal Mielec,Jagiellonia Białystok,43%,57%,15,11,8,2,7,9,12,4,1,0,1,5,13,10,,,71,89,76,61,226,490,,,,,3,1
160,2020-2021,11,27.11.2020 20:30,Górnik Zabrze,Pogoń Szczecin,51%,49%,27,6,13,3,7,1,3,6,3,1,2,11,8,14,1,2,129,85,104,57,435,383,0,1,7,2,2,1
161,2020-2021,11,27.11.2020 18:00,Wisła Płock,Cracovia,54%,46%,9,19,3,4,4,8,7,1,0,4,3,3,11,14,3,2,122,106,74,38,399,320,0,1,2,7,0,1
162,2020-2021, 9,24.11.2020 18:00,Podbeskidzie B-B,Zagłębie Lubin,41%,59%,12,9,4,4,8,5,5,6,2,1,3,2,20,16,2,3,98,106,69,98,269,431,,,,,2,1
163,2020-2021,10,23.11.2020 20:30,Jagiellonia Białystok,Wisła Płock,37%,63%,14,17,9,8,5,9,6,6,0,0,6,4,14,13,1,1,92,103,61,91,280,367,,,,,5,2
164,2020-2021,10,23.11.2020 18:00,Piast Gliwice,Lechia Gdańsk,34%,66%,6,15,3,5,3,10,0,9,2,3,5,1,19,20,2,3,75,132,48,111,267,510,,,,,2,0
165,2020-2021,10,22.11.2020 17:30,Cracovia,Legia Warszawa,50%,50%,12,13,3,4,9,9,5,5,0,4,3,3,15,15,2,1,95,101,86,68,294,303,,,,,0,1
166,2020-2021,10,22.11.2020 12:30,Lech Poznań,Raków Częstochowa,63%,37%,14,19,6,12,8,7,6,8,0,2,9,3,13,17,2,4,106,81,56,62,482,297,,,,,3,3
167,2020-2021,10,21.11.2020 20:00,Warta Poznań,Wisła Kraków,35%,65%,8,15,3,3,5,12,5,9,1,2,2,1,17,19,2,2,77,112,47,75,209,479,,,,,2,1
168,2020-2021,10,21.11.2020 17:30,Zagłębie Lubin,Stal Mielec,61%,39%,16,12,6,4,10,8,8,2,0,2,2,4,18,10,1,3,111,88,97,67,469,280,,,,,2,2
169,2020-2021, 9,20.11.2020 20:30,Górnik Zabrze,Piast Gliwice,56%,44%,15,7,6,4,9,3,9,2,0,5,2,5,13,11,1,1,91,57,50,25,447,343,,,,,1,2
170,2020-2021, 9,20.11.2020 18:00,Lechia Gdańsk,Śląsk Wrocław,63%,37%,15,15,5,4,10,11,4,7,2,1,2,2,12,20,3,1,,,,,467,251,,,,,3,2
171,2020-2021,10,09.11.2020 18:00,Pogoń Szczecin,Podbeskidzie B-B,60%,40%,16,12,5,1,11,11,13,3,1,3,0,4,14,17,2,3,99,83,105,57,372,237,,,,,1,1
172,2020-2021, 9,08.11.2020 17:30,Raków Częstochowa,Wisła Kraków,49%,51%,14,13,5,3,9,10,10,4,1,0,3,5,14,13,0,2,92,86,69,49,318,361,,,,,0,0
173,2020-2021, 9,08.11.2020 15:00,Legia Warszawa,Lech Poznań,53%,47%,16,12,7,7,9,5,8,6,2,1,6,5,9,8,1,0,89,80,68,62,462,403,,,,,2,1
174,2020-2021,10,07.11.2020 20:00,Śląsk Wrocław,Górnik Zabrze,57%,43%,13,16,5,3,8,13,5,5,1,0,3,5,12,13,3,2,135,116,70,101,394,257,,,,,0,0
175,2020-2021, 9,07.11.2020 17:30,Cracovia,Jagiellonia Białystok,53%,47%,10,10,5,6,5,4,3,7,1,4,5,3,23,18,1,4,84,76,37,47,299,283,,,,,3,1
176,2020-2021, 9,07.11.2020 15:00,Stal Mielec,Warta Poznań,63%,37%,10,14,5,4,5,10,5,10,1,0,3,5,12,11,2,1,80,66,49,56,505,204,0,1,,,0,1
177,2020-2021, 6,02.11.2020 18:00,Warta Poznań,Legia Warszawa,48%,52%,5,9,2,6,3,3,7,2,1,1,3,2,12,10,2,1,83,97,54,50,394,458,,,,,0,3
178,2020-2021, 6,30.10.2020 18:00,Pogoń Szczecin,Jagiellonia Białystok,58%,42%,17,3,7,2,10,1,10,3,1,1,2,4,17,20,1,1,84,73,82,50,381,360,,,,,3,0
179,2020-2021, 6,28.10.2020 18:00,Wisła Kraków,Lechia Gdańsk,52%,48%,16,18,5,7,11,11,7,6,2,2,4,4,14,18,3,1,90,85,66,67,386,341,,,,,1,3
180,2020-2021, 8,26.10.2020 18:00,Warta Poznań,Górnik Zabrze,56%,44%,6,14,2,6,4,8,4,6,1,2,5,2,9,20,1,1,102,101,47,62,400,263,,,,,0,1
181,2020-2021, 8,25.10.2020 17:30,Lech Poznań,Cracovia,66%,34%,22,11,10,2,12,9,9,6,0,2,1,9,17,20,6,4,91,78,79,43,460,218,,,,,1,1
182,2020-2021, 8,25.10.2020 15:00,Raków Częstochowa,Stal Mielec,41%,59%,20,6,8,4,12,2,11,1,1,1,3,6,19,15,2,2,88,119,81,57,325,507,,,,,2,1
183,2020-2021, 8,24.10.2020 20:00,Pogoń Szczecin,Legia Warszawa,40%,60%,7,15,1,4,6,11,4,7,2,0,4,1,8,10,0,3,74,95,59,82,,,,,,,0,0
184,2020-2021, 8,24.10.2020 17:30,Śląsk Wrocław,Jagiellonia Białystok,51%,49%,14,12,3,3,11,9,7,4,3,1,3,2,15,17,1,1,116,117,52,61,208,123,,,,,1,0
185,2020-2021, 8,24.10.2020 15:00,Wisła Kraków,Podbeskidzie B-B,50%,50%,13,16,7,6,6,10,6,8,1,2,6,4,14,16,3,2,77,84,64,85,356,298,0,1,,,3,0
186,2020-2021, 8,23.10.2020 20:30,Zagłębie Lubin,Lechia Gdańsk,43%,57%,10,22,4,6,6,16,3,9,0,0,5,3,18,11,2,1,94,118,58,116,332,450,,,,,1,1
187,2020-2021, 8,23.10.2020 18:00,Piast Gliwice,Wisła Płock,60%,40%,14,8,5,5,9,3,3,2,3,1,3,3,6,22,,,142,89,113,56,524,312,,,,,2,2
188,2020-2021, 5,21.10.2020 18:00,Legia Warszawa,Śląsk Wrocław,63%,37%,20,6,3,2,17,4,12,2,1,2,1,1,13,17,1,1,89,74,69,33,422,266,,,,,2,1
189,2020-2021, 7,19.10.2020 20:30,Lechia Gdańsk,Pogoń Szczecin,60%,40%,11,12,2,5,9,7,6,7,2,1,4,2,20,13,3,3,100,90,88,60,464,286,,,,,0,1
190,2020-2021, 7,19.10.2020 18:00,Podbeskidzie B-B,Warta Poznań,55%,45%,13,8,4,3,9,5,4,2,3,2,1,3,19,15,2,3,104,103,78,75,366,337,,,,,1,2
191,2020-2021, 7,18.10.2020 17:30,Legia Warszawa,Zagłębie Lubin,58%,42%,21,10,3,3,18,7,7,3,1,3,2,1,15,9,1,1,102,81,87,50,487,346,,,,,2,1
192,2020-2021, 7,18.10.2020 15:00,Stal Mielec,Wisła Kraków,46%,54%,12,20,6,14,6,6,2,5,2,1,8,6,12,15,2,1,75,96,57,51,316,463,,,,,0,6
193,2020-2021, 7,18.10.2020 12:30,Wisła Płock,Śląsk Wrocław,56%,44%,12,15,2,4,10,11,5,5,0,1,4,1,26,12,,,105,112,72,74,379,320,,,,,1,0
194,2020-2021, 7,17.10.2020 20:00,Jagiellonia Białystok,Lech Poznań,34%,66%,7,19,4,4,3,15,7,4,3,5,3,2,18,7,2,2,95,129,59,95,246,525,,,,,2,1
195,2020-2021, 7,17.10.2020 17:30,Górnik Zabrze,Raków Częstochowa,60%,40%,9,16,3,8,6,8,4,10,1,1,5,2,21,12,3,0,106,100,55,86,385,246,,,,,1,3
196,2020-2021, 7,17.10.2020 15:00,Cracovia,Piast Gliwice,44%,56%,7,19,3,8,4,11,1,8,0,1,8,2,19,11,5,4,70,77,37,68,311,384,,,,,1,0
197,2020-2021, 6,04.10.2020 17:30,Piast Gliwice,Lech Poznań,45%,55%,11,18,4,9,7,9,3,5,3,0,5,3,11,10,4,2,98,102,67,81,436,480,,,,,1,4
198,2020-2021, 6,03.10.2020 20:00,Zagłębie Lubin,Górnik Zabrze,38%,62%,6,13,2,7,4,6,2,2,9,0,7,1,16,12,1,1,93,180,53,124,312,519,,,,,2,0
199,2020-2021, 6,03.10.2020 15:00,Podbeskidzie B-B,Stal Mielec,47%,53%,11,9,4,2,7,7,5,3,2,0,2,3,11,14,1,1,74,76,48,52,373,490,,,,,1,0
200,2020-2021, 6,02.10.2020 20:30,Śląsk Wrocław,Cracovia,47%,53%,20,16,9,6,11,10,8,8,1,2,5,6,15,12,2,3,84,79,88,69,227,298,1,0,,,3,1
201,2020-2021, 6,02.10.2020 18:00,Raków Częstochowa,Wisła Płock,52%,48%,10,5,7,0,3,5,3,3,1,1,0,4,19,16,1,3,140,128,95,57,387,396,,,,,3,0
202,2020-2021, 5,28.09.2020 18:00,Stal Mielec,Piast Gliwice,44%,56%,8,22,4,5,4,17,3,12,1,0,3,1,8,17,0,3,76,94,62,100,287,432,,,,,3,2
203,2020-2021, 5,26.09.2020 20:00,Jagiellonia Białystok,Zagłębie Lubin,59%,41%,16,11,1,5,15,6,2,5,1,5,4,1,9,13,1,3,104,72,69,48,510,309,,,,,0,1
204,2020-2021, 5,26.09.2020 17:30,Lechia Gdańsk,Podbeskidzie B-B,63%,37%,19,6,8,0,11,6,9,5,2,2,0,4,10,17,2,3,106,75,99,52,468,232,,,,,4,0
205,2020-2021, 5,26.09.2020 15:00,Cracovia,Raków Częstochowa,59%,41%,19,17,8,6,11,11,7,4,0,1,4,6,19,12,3,1,81,79,76,52,394,229,,,,,2,2
206,2020-2021, 5,25.09.2020 20:30,Górnik Zabrze,Wisła Kraków,54%,46%,17,13,3,2,14,11,9,5,2,8,2,3,18,15,2,3,97,99,92,84,348,248,,,,,0,0
207,2020-2021, 5,25.09.2020 18:00,Wisła Płock,Warta Poznań,53%,47%,14,18,5,6,9,12,5,3,1,1,3,4,15,14,1,2,104,105,67,50,318,289,,,,,1,3
208,2020-2021, 4,21.09.2020 18:00,Piast Gliwice,Jagiellonia Białystok,55%,45%,16,9,4,5,12,4,8,5,1,2,4,4,10,11,2,1,132,90,108,62,415,344,,,,,0,1
209,2020-2021, 4,20.09.2020 17:30,Lech Poznań,Warta Poznań,59%,41%,14,8,4,2,10,6,5,4,6,2,2,3,11,24,1,3,141,96,102,45,446,266,,,,,1,0
210,2020-2021, 4,20.09.2020 15:00,Zagłębie Lubin,Cracovia,65%,35%,16,9,6,5,10,4,5,6,2,0,4,5,18,13,2,1,128,90,106,61,478,242,,,,,1,1
211,2020-2021, 4,19.09.2020 20:00,Legia Warszawa,Górnik Zabrze,68%,32%,13,10,4,5,9,5,5,3,5,1,2,3,8,16,2,1,144,109,58,32,539,246,,,,,1,3
212,2020-2021, 4,19.09.2020 17:30,Pogoń Szczecin,Śląsk Wrocław,56%,44%,14,12,5,4,9,8,3,5,3,2,4,4,15,16,3,4,97,87,78,65,446,302,,,,,1,0
213,2020-2021, 4,19.09.2020 15:00,Lechia Gdańsk,Stal Mielec,57%,43%,28,9,10,3,18,6,11,6,0,1,1,6,16,14,3,2,101,87,95,52,402,280,,,,,4,2
214,2020-2021, 4,18.09.2020 20:30,Wisła Kraków,Wisła Płock,55%,45%,10,13,3,4,7,9,6,6,1,4,1,3,9,18,2,1,129,115,93,80,420,314,,,,,0,3
215,2020-2021, 4,18.09.2020 18:00,Podbeskidzie B-B,Raków Częstochowa,57%,43%,9,21,4,8,5,13,3,8,0,0,4,3,19,13,1,2,84,87,46,62,407,288,,,,,1,4
216,2020-2021, 3,14.09.2020 18:00,Raków Częstochowa,Zagłębie Lubin,40%,60%,13,12,4,3,9,9,5,5,1,0,2,2,17,10,3,3,94,107,81,85,265,472,,,,,2,1
217,2020-2021, 3,13.09.2020 17:30,Górnik Zabrze,Lechia Gdańsk,50%,50%,19,7,5,4,14,3,7,8,2,6,4,2,12,14,2,1,123,87,100,55,,,,,,,3,0
218,2020-2021, 3,13.09.2020 15:00,Pogoń Szczecin,Wisła Kraków,55%,45%,12,9,4,3,8,6,8,3,4,1,1,2,18,14,2,1,98,74,94,57,356,275,,,,,2,2
219,2020-2021, 3,12.09.2020 20:00,Śląsk Wrocław,Lech Poznań,37%,63%,17,19,7,6,10,13,4,8,3,1,3,4,11,10,2,0,93,89,73,82,247,453,,,,,3,3
220,2020-2021, 3,12.09.2020 17:30,Warta Poznań,Piast Gliwice,44%,56%,7,8,2,2,5,6,5,3,2,3,2,2,12,10,1,1,87,111,52,57,325,485,,,,,0,0
221,2020-2021, 3,12.09.2020 15:00,Cracovia,Stal Mielec,52%,48%,14,10,3,4,11,6,4,2,0,4,3,2,20,17,1,4,101,101,84,60,379,346,,,,,1,1
222,2020-2021, 3,11.09.2020 20:30,Wisła Płock,Legia Warszawa,45%,55%,12,6,4,2,8,4,3,3,0,0,1,4,19,22,3,4,90,119,48,54,342,406,,,,,0,1
223,2020-2021, 3,11.09.2020 18:00,Jagiellonia Białystok,Podbeskidzie B-B,52%,48%,16,12,3,5,13,7,7,6,2,2,3,1,7,18,0,2,139,92,83,55,448,370,,,,,2,2
224,2020-2021, 2,30.08.2020 17:30,Lech Poznań,Wisła Płock,65%,35%,19,15,4,5,15,10,6,7,1,2,3,2,10,13,0,3,110,71,98,51,499,216,,,,,2,2
225,2020-2021, 2,30.08.2020 15:00,Podbeskidzie B-B,Cracovia,47%,53%,6,16,2,7,4,9,4,9,2,3,5,0,17,8,3,0,99,96,61,95,295,365,,,,,2,2
226,2020-2021, 2,30.08.2020 12:30,Piast Gliwice,Pogoń Szczecin,50%,50%,13,8,4,1,9,7,8,3,4,0,0,4,17,13,3,3,86,90,67,55,379,377,,,,,0,1
227,2020-2021, 2,29.08.2020 20:00,Legia Warszawa,Jagiellonia Białystok,66%,34%,26,6,9,2,17,4,13,3,1,2,0,8,9,17,0,2,127,82,106,27,526,234,,,,,1,2
228,2020-2021, 2,29.08.2020 17:30,Wisła Kraków,Śląsk Wrocław,56%,44%,9,14,3,5,6,9,13,2,1,0,2,2,9,17,1,2,93,90,73,63,390,276,,,,,1,3
229,2020-2021, 2,29.08.2020 15:00,Lechia Gdańsk,Raków Częstochowa,43%,57%,6,17,2,7,4,10,2,5,1,0,4,1,17,8,5,1,79,82,55,82,325,466,1,0,,,1,3
230,2020-2021, 2,28.08.2020 20:30,Stal Mielec,Górnik Zabrze,38%,62%,7,16,2,8,5,8,4,5,1,2,6,2,10,12,2,2,78,146,59,111,315,531,,,,,0,2
231,2020-2021, 2,28.08.2020 18:00,Zagłębie Lubin,Warta Poznań,57%,43%,19,3,5,0,14,3,8,1,1,2,0,4,14,10,3,1,112,102,89,61,400,269,,,,,1,0
232,2020-2021, 1,24.08.2020 18:00,Jagiellonia Białystok,Wisła Kraków,56%,44%,20,12,2,5,18,7,4,2,2,2,4,1,11,17,3,3,120,91,78,55,438,305,,,,,1,1
233,2020-2021, 1,23.08.2020 17:30,Górnik Zabrze,Podbeskidzie B-B,55%,45%,14,9,6,5,8,4,4,3,2,3,3,2,9,10,1,3,124,82,90,57,373,316,,,,,4,2
234,2020-2021, 1,23.08.2020 15:00,Warta Poznań,Lechia Gdańsk,50%,50%,10,4,4,1,6,3,4,5,1,4,0,4,16,21,5,3,95,87,68,49,352,353,1,0,,,0,1
235,2020-2021, 1,23.08.2020 12:30,Wisła Płock,Stal Mielec,65%,35%,8,14,1,7,7,7,7,3,0,1,6,0,15,8,2,1,119,90,78,42,572,294,,,,,1,1
236,2020-2021, 1,22.08.2020 20:00,Raków Częstochowa,Legia Warszawa,45%,55%,10,14,2,4,8,10,5,3,0,1,2,1,10,23,4,4,84,124,49,61,290,434,1,0,,,1,2
237,2020-2021, 1,22.08.2020 17:30,Śląsk Wrocław,Piast Gliwice,38%,62%,12,11,6,2,6,9,5,7,2,0,2,4,19,16,0,2,85,90,60,65,253,546,,,,,2,0
238,2020-2021, 1,22.08.2020 15:00,Cracovia,Pogoń Szczecin,50%,50%,16,10,4,4,12,6,8,4,0,2,3,2,8,11,3,3,77,79,60,67,285,328,,,,,2,1
239,2020-2021, 1,21.08.2020 18:00,Zagłębie Lubin,Lech Poznań,46%,54%,9,24,4,8,5,16,7,11,0,1,7,2,15,10,1,2,94,105,72,99,363,378,,,,,2,1
