,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Auty bramkowe_home,Auty bramkowe_away,goals_home,goals_away
221,2013-2014,10,28.09.2013 18:00,Ruch Chorzów,Wisła Kraków,49%,51%,14,4,5,2,7,2,2,0,16,16,7,3,0,5,22,12,1,4,15,11,1,2,,,,,1,1
222,2013-2014,10,28.09.2013 15:30,Cracovia,Pogoń Szczecin,62%,38%,18,14,10,4,5,7,3,3,11,10,6,2,0,1,22,27,3,10,11,14,2,3,,,,,0,1
223,2013-2014,10,27.09.2013 20:30,Podbeskidzie B-B,Piast Gliwice,43%,57%,12,17,5,5,3,7,4,5,19,19,9,7,1,2,36,22,4,5,19,17,3,4,,,,,0,1
224,2013-2014, 9,26.09.2013 20:30,Korona Kielce,Górnik Zabrze,37%,63%,13,10,5,5,4,2,4,3,14,18,7,3,1,1,29,34,3,3,16,12,2,1,,,,,2,2
225,2013-2014, 9,25.09.2013 20:30,Jagiellonia Białystok,Legia Warszawa,39%,61%,9,12,4,6,3,5,2,1,14,18,4,2,0,1,28,26,3,2,17,15,1,2,,,,,2,3
226,2013-2014, 9,25.09.2013 18:00,Śląsk Wrocław,Cracovia,42%,58%,13,19,8,12,4,5,1,2,22,8,5,5,1,2,19,21,9,8,8,20,0,2,1,0,,,0,3
227,2013-2014, 9,25.09.2013 18:00,Widzew Łódź,Ruch Chorzów,45%,55%,15,14,5,4,8,6,2,4,11,12,3,10,4,1,35,37,3,5,11,10,2,0,1,0,,,0,1
228,2013-2014, 9,24.09.2013 20:30,Wisła Kraków,Lechia Gdańsk,54%,46%,13,12,7,4,4,6,2,2,10,17,4,2,4,2,22,34,4,4,13,9,1,2,0,1,,,3,0
229,2013-2014, 9,24.09.2013 18:00,Zawisza Bydgoszcz,Zagłębie Lubin,55%,45%,19,9,4,2,10,5,5,2,19,13,3,4,3,1,30,31,2,2,10,17,2,2,0,1,,,2,0
230,2013-2014, 9,23.09.2013 20:30,Piast Gliwice,Lech Poznań,51%,49%,10,20,1,10,5,5,4,5,22,18,6,8,2,4,35,31,8,1,16,16,1,0,,,,,0,2
231,2013-2014, 9,23.09.2013 18:00,Pogoń Szczecin,Podbeskidzie B-B,69%,31%,11,9,5,2,4,5,2,2,15,26,5,5,10,0,27,32,1,3,15,15,3,1,,,,,2,1
232,2013-2014, 8,22.09.2013 18:00,Legia Warszawa,Górnik Zabrze,61%,39%,18,6,7,1,9,4,2,1,17,15,8,2,2,2,31,27,0,5,13,16,2,4,,,,,2,1
233,2013-2014, 8,22.09.2013 15:30,Ruch Chorzów,Śląsk Wrocław,45%,55%,10,20,4,6,5,12,1,2,9,16,3,10,1,2,15,16,5,3,15,8,1,2,,,,,1,1
234,2013-2014, 8,21.09.2013 20:30,Zagłębie Lubin,Korona Kielce,54%,46%,14,14,5,4,8,5,1,5,19,18,3,4,1,0,28,32,4,3,16,20,2,4,0,1,,,2,0
235,2013-2014, 8,21.09.2013 18:00,Cracovia,Wisła Kraków,55%,45%,19,7,6,2,11,4,2,1,,,8,5,1,3,,,1,5,16,18,1,3,,,,,1,1
236,2013-2014, 8,21.09.2013 15:30,Lechia Gdańsk,Zawisza Bydgoszcz,52%,48%,9,7,4,2,5,4,0,1,19,25,11,1,5,1,30,12,1,3,20,18,1,0,,,,,1,1
237,2013-2014, 8,20.09.2013 20:30,Lech Poznań,Pogoń Szczecin,54%,46%,17,5,6,2,7,3,4,0,27,23,10,2,0,1,53,21,0,5,22,26,3,4,,,,,1,2
238,2013-2014, 8,20.09.2013 18:00,Piast Gliwice,Widzew Łódź,60%,40%,12,12,9,3,2,7,1,2,14,29,8,3,3,4,19,25,3,6,26,10,1,2,0,1,,,3,0
239,2013-2014, 8,19.09.2013 17:00,Podbeskidzie B-B,Jagiellonia Białystok,47%,53%,9,20,4,7,3,9,2,4,21,16,7,5,1,8,29,24,6,4,15,12,4,3,0,1,,,0,1
240,2013-2014, 7,16.09.2013 18:00,Górnik Zabrze,Zagłębie Lubin,60%,40%,14,8,7,3,5,2,2,3,17,17,8,3,4,3,26,13,2,5,12,15,1,3,,,,,2,1
241,2013-2014, 7,15.09.2013 18:00,Pogoń Szczecin,Lechia Gdańsk,61%,39%,17,13,7,4,7,5,3,4,,,11,2,2,3,,,3,6,16,22,5,5,,,,,1,1
242,2013-2014, 7,15.09.2013 15:30,Jagiellonia Białystok,Ruch Chorzów,46%,54%,18,12,13,0,3,5,2,7,16,7,5,4,3,0,23,29,0,7,5,11,0,2,,,,,6,0
243,2013-2014, 7,14.09.2013 20:30,Korona Kielce,Legia Warszawa,36%,64%,13,21,6,9,6,6,1,6,15,16,1,8,1,3,28,31,4,3,12,12,1,2,,,,,3,5
244,2013-2014, 7,14.09.2013 18:00,Śląsk Wrocław,Lech Poznań,49%,51%,18,17,7,5,8,10,3,2,16,10,6,6,1,5,30,30,5,5,8,12,4,3,,,,,2,0
245,2013-2014, 7,14.09.2013 15:30,Zawisza Bydgoszcz,Cracovia,44%,56%,18,11,9,4,8,4,1,3,23,9,5,5,0,4,27,16,4,7,8,19,5,1,,,,,2,0
246,2013-2014, 7,13.09.2013 20:30,Wisła Kraków,Piast Gliwice,56%,44%,11,13,6,4,3,7,2,2,20,24,6,9,4,3,30,22,4,3,22,20,2,1,,,,,3,0
247,2013-2014, 7,13.09.2013 18:00,Widzew Łódź,Podbeskidzie B-B,46%,54%,12,8,4,2,7,4,1,2,20,16,3,4,1,5,26,43,1,3,14,15,1,4,0,1,,,1,1
248,2013-2014, 6,02.09.2013 18:00,Podbeskidzie B-B,Korona Kielce,51%,49%,19,9,8,3,6,4,5,2,24,10,7,7,0,1,44,31,3,7,11,22,2,2,0,1,,,1,0
249,2013-2014, 6,01.09.2013 18:00,Lech Poznań,Zawisza Bydgoszcz,49%,51%,9,16,3,4,2,9,4,3,15,25,2,2,6,0,21,21,2,0,19,16,6,2,1,0,,,3,2
250,2013-2014, 6,01.09.2013 15:30,Piast Gliwice,Śląsk Wrocław,45%,55%,12,17,5,6,4,9,3,2,11,20,5,4,6,0,34,34,5,4,17,10,2,3,,,,,1,1
251,2013-2014, 6,31.08.2013 20:30,Cracovia,Legia Warszawa,44%,56%,12,17,4,5,6,11,2,1,16,27,6,9,3,2,15,22,4,4,24,14,4,2,,,,,0,1
252,2013-2014, 6,31.08.2013 18:00,Pogoń Szczecin,Wisła Kraków,49%,51%,11,10,3,3,5,5,3,2,18,25,4,4,2,2,24,29,3,3,22,16,1,2,,,,,0,0
253,2013-2014, 6,31.08.2013 15:30,Widzew Łódź,Jagiellonia Białystok,42%,58%,9,12,3,3,6,4,0,5,13,17,2,4,2,1,26,35,2,2,15,12,1,4,0,1,,,1,1
254,2013-2014, 6,30.08.2013 18:00,Lechia Gdańsk,Górnik Zabrze,47%,53%,12,11,4,5,8,5,0,1,12,21,8,6,5,1,36,32,4,3,15,12,2,4,,,,,1,1
255,2013-2014, 6,30.08.2013 18:00,Ruch Chorzów,Zagłębie Lubin,54%,46%,14,9,4,4,5,3,5,2,16,8,10,7,0,3,20,18,2,4,9,13,4,2,,,,,0,2
256,2013-2014, 5,26.08.2013 18:00,Korona Kielce,Piast Gliwice,54%,46%,10,15,4,2,4,8,2,5,20,23,6,9,3,3,32,34,2,2,20,17,2,3,,,,,2,0
257,2013-2014, 5,25.08.2013 18:00,Wisła Kraków,Lech Poznań,50%,50%,13,20,5,8,6,7,2,5,16,17,7,5,2,2,31,16,8,3,15,13,2,3,,,,,2,0
258,2013-2014, 5,25.08.2013 15:30,Śląsk Wrocław,Widzew Łódź,61%,39%,15,11,7,3,5,8,3,0,7,16,6,2,3,0,26,27,2,4,13,7,1,0,,,,,3,1
259,2013-2014, 5,24.08.2013 20:30,Legia Warszawa,Lechia Gdańsk,62%,38%,22,8,7,3,13,4,2,1,32,14,9,0,2,2,32,19,2,7,11,29,2,4,,,,,0,1
260,2013-2014, 5,24.08.2013 18:00,Jagiellonia Białystok,Pogoń Szczecin,54%,46%,18,11,4,4,11,7,3,0,16,19,4,4,2,3,21,12,1,2,16,14,1,3,,,,,2,3
261,2013-2014, 5,24.08.2013 15:30,Zawisza Bydgoszcz,Podbeskidzie B-B,48%,52%,15,14,7,5,6,6,2,3,20,13,3,4,0,2,19,20,3,5,16,19,3,1,,,,,2,2
262,2013-2014, 5,23.08.2013 20:30,Górnik Zabrze,Ruch Chorzów,54%,46%,10,10,3,4,4,3,3,3,13,17,4,7,5,0,31,28,2,1,12,13,0,1,,,,,2,2
263,2013-2014, 5,23.08.2013 18:00,Zagłębie Lubin,Cracovia,34%,66%,13,14,4,3,5,7,4,4,13,4,6,6,0,2,25,26,2,4,4,11,3,3,,,,,0,1
264,2013-2014, 4,12.08.2013 18:00,Piast Gliwice,Zawisza Bydgoszcz,53%,47%,10,20,3,7,5,7,2,6,15,17,7,5,3,1,20,25,6,2,15,14,2,3,,,0,0,1,1
265,2013-2014, 4,11.08.2013 18:00,Lech Poznań,Korona Kielce,54%,46%,15,10,5,1,6,4,4,5,10,15,11,3,3,4,29,26,1,3,11,6,0,1,,,,,2,0
266,2013-2014, 4,11.08.2013 15:30,Pogoń Szczecin,Śląsk Wrocław,51%,49%,12,21,3,7,8,11,1,3,13,21,8,5,5,0,32,23,5,1,16,12,2,3,,,,,2,2
267,2013-2014, 4,10.08.2013 20:30,Ruch Chorzów,Legia Warszawa,49%,51%,9,11,3,9,5,2,1,0,21,12,6,9,1,1,23,25,8,1,1,2,4,4,,,,,2,1
268,2013-2014, 4,10.08.2013 18:00,Lechia Gdańsk,Cracovia,42%,58%,18,9,8,1,8,4,2,4,18,16,3,2,2,1,24,27,0,5,13,15,1,1,,,,,3,1
269,2013-2014, 4,10.08.2013 15:30,Widzew Łódź,Górnik Zabrze,50%,50%,12,7,3,2,9,5,,,28,15,3,4,,,43,27,0,3,,,2,2,,,,,0,3
270,2013-2014, 4,09.08.2013 20:30,Wisła Kraków,Jagiellonia Białystok,52%,48%,13,11,7,2,4,7,2,2,20,22,4,5,4,1,30,33,1,6,19,19,4,5,,,,,1,1
271,2013-2014, 4,09.08.2013 18:00,Podbeskidzie B-B,Zagłębie Lubin,56%,44%,19,8,6,2,8,4,5,2,17,14,8,6,0,1,25,20,2,6,14,16,1,0,,,,,0,0
272,2013-2014, 3,05.08.2013 18:00,Lechia Gdańsk,Jagiellonia Białystok,43%,57%,14,8,5,0,7,3,2,5,16,17,4,4,1,3,29,34,0,3,18,13,2,3,,,,,2,0
273,2013-2014, 3,04.08.2013 20:30,Zagłębie Lubin,Lech Poznań,38%,62%,5,13,0,3,3,7,2,3,10,17,6,8,5,5,21,31,3,0,11,6,2,0,,,,,0,0
274,2013-2014, 3,04.08.2013 18:00,Śląsk Wrocław,Wisła Kraków,58%,42%,20,4,8,2,7,1,5,1,17,15,12,10,3,0,23,24,2,8,12,15,3,4,,,,,0,0
275,2013-2014, 3,04.08.2013 15:30,Górnik Zabrze,Piast Gliwice,58%,42%,17,10,7,1,8,7,2,2,23,16,7,7,2,1,30,31,0,5,14,21,2,4,,,,,2,1
276,2013-2014, 3,03.08.2013 20:30,Legia Warszawa,Podbeskidzie B-B,68%,32%,23,8,9,1,9,6,5,1,10,24,11,6,9,4,18,15,1,5,15,9,0,1,,,,,4,0
277,2013-2014, 3,03.08.2013 18:00,Widzew Łódź,Korona Kielce,58%,42%,14,6,2,2,10,3,2,1,19,23,3,2,1,1,26,27,1,0,22,19,6,3,0,1,,,2,1
278,2013-2014, 3,02.08.2013 20:30,Zawisza Bydgoszcz,Pogoń Szczecin,45%,55%,10,10,5,4,4,2,1,4,15,9,5,5,0,2,27,21,3,4,10,12,1,2,,,,,1,1
279,2013-2014, 3,02.08.2013 18:00,Cracovia,Ruch Chorzów,69%,31%,20,6,10,2,7,4,3,0,14,17,7,2,2,0,19,25,1,8,12,13,1,3,,,,,2,1
280,2013-2014, 2,29.07.2013 18:00,Korona Kielce,Wisła Kraków,51%,49%,19,14,6,3,12,8,1,3,13,12,7,3,,,37,17,0,4,11,13,0,2,,,,,2,3
281,2013-2014, 2,28.07.2013 20:30,Lech Poznań,Cracovia,50%,50%,12,6,3,2,3,3,6,1,15,15,6,1,,,28,21,1,2,12,12,2,4,0,1,,,1,1
282,2013-2014, 2,28.07.2013 18:00,Śląsk Wrocław,Jagiellonia Białystok,50%,50%,16,12,9,6,7,4,0,2,12,14,6,3,,,19,25,3,7,7,8,4,3,,,,,2,3
283,2013-2014, 2,28.07.2013 15:30,Piast Gliwice,Zagłębie Lubin,57%,43%,17,12,4,4,11,8,2,0,9,14,4,2,,,29,34,3,2,11,10,4,1,,,,,2,1
284,2013-2014, 2,27.07.2013 20:30,Pogoń Szczecin,Legia Warszawa,44%,56%,17,21,4,9,11,8,2,4,16,21,6,6,,,29,24,6,4,17,16,2,5,1,0,,,0,3
285,2013-2014, 2,27.07.2013 18:00,Podbeskidzie B-B,Górnik Zabrze,47%,53%,7,17,4,9,3,2,0,6,14,21,0,5,,,32,30,7,3,19,8,1,1,,,,,1,2
286,2013-2014, 2,26.07.2013 20:30,Widzew Łódź,Zawisza Bydgoszcz,43%,57%,12,17,2,4,7,9,3,4,14,13,7,8,,,30,20,3,0,8,7,3,1,,,,,2,1
287,2013-2014, 2,26.07.2013 18:00,Ruch Chorzów,Lechia Gdańsk,46%,54%,9,8,3,3,3,3,3,2,17,15,2,9,,,23,19,2,2,14,12,2,3,,,,,1,1
288,2013-2014, 1,22.07.2013 18:00,Lechia Gdańsk,Podbeskidzie B-B,59%,41%,16,7,7,4,7,3,2,0,10,25,3,1,6,1,28,31,2,5,17,9,1,1,,,,,2,2
289,2013-2014, 1,21.07.2013 20:30,Ruch Chorzów,Lech Poznań,44%,56%,7,6,2,2,5,4,,,10,10,7,8,,,27,31,1,2,,,1,2,0,1,,,1,1
290,2013-2014, 1,21.07.2013 18:00,Cracovia,Piast Gliwice,59%,41%,15,13,8,6,7,7,,,16,15,8,5,,,28,19,3,6,,,4,0,,,,,2,3
291,2013-2014, 1,21.07.2013 15:30,Korona Kielce,Śląsk Wrocław,43%,57%,11,14,4,3,3,5,4,6,9,16,4,2,1,0,31,29,3,4,15,9,1,2,,,,,0,0
292,2013-2014, 1,20.07.2013 18:00,Legia Warszawa,Widzew Łódź,59%,41%,15,8,7,5,8,3,,,10,24,8,5,6,1,28,28,4,2,18,11,1,3,,,,,5,1
293,2013-2014, 1,20.07.2013 15:30,Zawisza Bydgoszcz,Jagiellonia Białystok,,,11,16,3,4,6,6,2,6,13,24,0,4,,,23,19,3,3,,,4,2,1,0,,,0,1
294,2013-2014, 1,19.07.2013 20:30,Wisła Kraków,Górnik Zabrze,,,13,8,2,2,8,4,3,2,,,6,7,0,3,,,2,2,9,12,1,0,,,,,0,0
295,2013-2014, 1,19.07.2013 18:00,Zagłębie Lubin,Pogoń Szczecin,57%,43%,10,10,1,5,9,5,,,26,20,1,4,1,3,29,23,3,1,17,21,1,0,,,,,0,2
