,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
33,2012-2013,21,2013-05-04 20:45:00,Lech Poznań,Lechia Gdańsk,56,44,25,12,10,5,15,7,6,2,3,2,3,6,17,12,4,2,0,0,4,2,W
34,2012-2013,21,2013-06-04 13:30:00,Jagiellonia Białystok,Pogoń Szczecin,41,59,7,9,4,5,3,4,4,4,4,5,5,3,11,16,4,4,1,1,1,0,W
35,2012-2013,21,2013-06-04 15:45:00,Śląsk Wrocław,Górnik Zabrze,52,48,17,13,9,5,8,8,3,4,3,2,4,7,7,10,0,1,0,0,2,1,W
36,2012-2013,21,2013-06-04 18:00:00,Legia Warszawa,Zagłębie Lubin,59,41,16,6,9,3,7,3,7,6,4,2,3,7,11,10,4,4,0,0,2,0,W
37,2012-2013,21,2013-07-04 14:30:00,Korona Kielce,GKS Bełchatów,54,47,11,4,4,1,7,3,0,0,2,0,1,3,10,17,2,2,0,1,1,0,W
38,2012-2013,21,2013-07-04 17:15:00,Wisła Kraków,Piast Gliwice,49,51,11,8,6,5,5,3,11,3,3,2,3,5,10,10,3,1,0,0,1,2,L
39,2012-2013,21,2013-08-04 18:30:00,Widzew Łódź,Polonia Warszawa,53,47,10,9,4,5,6,4,3,11,4,3,3,1,8,15,0,4,0,0,3,2,W
40,2012-2013,22,2013-04-13 13:30:00,GKS Bełchatów,Ruch Chorzów,59,41,11,11,7,8,4,3,8,4,3,0,5,7,6,7,0,1,0,0,0,3,L
41,2012-2013,22,2013-04-13 15:45:00,Polonia Warszawa,Śląsk Wrocław,51,49,5,16,2,8,3,8,3,7,3,0,6,0,15,6,2,1,0,0,2,2,D
42,2012-2013,22,2013-04-13 18:00:00,Wisła Kraków,Legia Warszawa,54,46,16,7,7,4,9,3,14,2,3,2,2,6,13,16,3,4,0,0,1,2,L
43,2012-2013,22,2013-04-14 14:30:00,Górnik Zabrze,Podbeskidzie B-B,54,42,10,5,2,2,8,3,6,6,1,4,1,2,3,8,1,3,0,0,0,1,L
44,2012-2013,22,2013-04-14 17:00:00,Lechia Gdańsk,Jagiellonia Białystok,51,50,12,6,5,5,7,1,1,1,2,0,2,3,7,3,0,1,0,0,2,3,L
45,2012-2013,22,2013-04-15 18:30:00,Piast Gliwice,Lech Poznań,43,57,6,13,1,4,5,9,3,4,3,3,1,1,11,13,0,2,0,0,0,3,L
46,2012-2013,22,2013-12-04 18:00:00,Pogoń Szczecin,Widzew Łódź,53,44,14,8,6,3,8,5,12,1,4,3,2,5,7,21,2,5,0,0,1,1,D
47,2012-2013,22,2013-12-04 20:45:00,Zagłębie Lubin,Korona Kielce,54,49,7,13,4,9,3,4,3,3,0,0,8,2,6,14,2,3,0,0,2,1,W
48,2012-2013,23,2013-04-19 18:00:00,Widzew Łódź,Piast Gliwice,46,54,5,10,4,5,1,5,6,6,2,2,4,3,9,13,1,3,0,0,1,1,D
49,2012-2013,23,2013-04-19 20:45:00,Korona Kielce,Górnik Zabrze,47,53,10,5,3,2,7,3,6,5,4,2,2,2,7,8,2,2,0,1,1,0,W
50,2012-2013,23,2013-04-20 13:30:00,Podbeskidzie B-B,GKS Bełchatów,46,47,9,12,5,7,4,5,1,3,1,6,6,4,13,25,1,5,0,0,1,1,D
51,2012-2013,23,2013-04-20 15:45:00,Jagiellonia Białystok,Wisła Kraków,43,46,5,5,4,5,1,0,7,3,5,3,3,2,15,17,2,2,0,0,2,2,D
52,2012-2013,23,2013-04-20 18:15:00,Legia Warszawa,Pogoń Szczecin,73,27,14,8,6,4,8,4,6,4,2,3,3,3,10,13,0,1,0,0,3,1,W
53,2012-2013,23,2013-04-21 14:30:00,Śląsk Wrocław,Lechia Gdańsk,52,48,14,10,4,5,10,5,3,5,2,1,4,3,12,12,2,0,0,0,1,1,D
54,2012-2013,23,2013-04-21 17:00:00,Lech Poznań,Zagłębie Lubin,52,48,13,6,6,3,7,3,4,5,1,0,2,3,11,9,3,2,0,0,3,1,W
55,2012-2013,23,2013-04-22 18:30:00,Ruch Chorzów,Polonia Warszawa,53,43,14,8,7,5,7,3,18,4,4,1,4,5,6,13,0,0,0,0,2,1,W
56,2012-2013,24,2013-04-26 18:00:00,Pogoń Szczecin,Korona Kielce,53,47,11,5,5,3,6,2,6,3,2,4,2,3,14,12,5,6,0,1,2,1,W
57,2012-2013,24,2013-04-26 20:45:00,Wisła Kraków,Widzew Łódź,54,46,3,7,2,3,1,4,3,1,5,4,3,1,13,8,5,2,1,0,1,0,W
58,2012-2013,24,2013-04-27 13:30:00,Polonia Warszawa,GKS Bełchatów,49,51,12,7,6,4,6,3,7,3,1,1,3,6,15,7,5,1,1,0,0,1,L
59,2012-2013,24,2013-04-27 15:45:00,Lechia Gdańsk,Podbeskidzie B-B,49,51,16,8,9,4,7,4,6,4,1,1,3,8,14,11,1,1,0,0,1,2,L
60,2012-2013,24,2013-04-27 18:00:00,Piast Gliwice,Legia Warszawa,43,57,6,10,2,7,4,3,3,4,2,3,7,2,21,9,2,2,0,0,0,0,D
61,2012-2013,24,2013-04-28 14:30:00,Zagłębie Lubin,Śląsk Wrocław,54,54,14,14,9,5,5,9,6,6,0,1,5,5,12,9,2,2,0,0,4,0,W
62,2012-2013,24,2013-04-28 17:00:00,Górnik Zabrze,Ruch Chorzów,49,51,14,9,5,4,9,5,12,4,2,6,4,3,8,13,0,2,0,0,2,0,W
63,2012-2013,24,2013-04-29 18:30:00,Jagiellonia Białystok,Lech Poznań,43,49,10,11,3,5,7,6,10,5,0,2,4,3,7,13,3,3,0,0,0,1,L
64,2012-2013,25,2013-03-05 18:00:00,Podbeskidzie B-B,Zagłębie Lubin,36,65,7,14,4,6,3,8,7,5,1,5,5,3,12,13,0,4,1,0,1,1,D
