,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
470,2014-2015,8,2014-12-09 18:00:00,Zawisza Bydgoszcz,Wisła Kraków,55,45,21,12,9,4,9,5,4,4,2,1,1,7,12,15,3,2,0,0,2,4,L
471,2014-2015,8,2014-12-09 20:30:00,Pogoń Szczecin,Ruch Chorzów,62,38,18,9,6,6,9,2,3,5,0,0,5,5,14,16,3,5,0,0,1,1,D
472,2014-2015,9,2014-09-19 18:00:00,Śląsk Wrocław,Korona Kielce,57,43,10,10,4,3,4,5,6,9,2,2,3,3,14,12,2,3,0,0,1,0,W
473,2014-2015,9,2014-09-19 20:30:00,Lechia Gdańsk,Pogoń Szczecin,63,37,14,13,5,2,6,8,3,4,0,4,1,5,14,17,2,2,0,0,0,1,L
474,2014-2015,9,2014-09-20 15:30:00,Piast Gliwice,Cracovia,42,58,14,25,4,9,6,10,2,10,1,4,7,0,16,13,1,3,0,0,4,2,W
475,2014-2015,9,2014-09-20 18:00:00,Podbeskidzie B-B,Górnik Zabrze,53,47,14,17,4,12,9,4,5,4,3,5,9,4,11,12,1,1,0,0,0,3,L
476,2014-2015,9,2014-09-20 20:30:00,Lech Poznań,Zawisza Bydgoszcz,56,44,21,8,11,3,6,3,4,3,2,0,1,5,17,11,1,3,0,2,6,2,W
477,2014-2015,9,2014-09-21 15:30:00,Ruch Chorzów,GKS Bełchatów,50,50,9,11,4,4,4,5,6,6,0,3,3,4,10,17,1,2,0,0,0,1,L
478,2014-2015,9,2014-09-21 18:00:00,Wisła Kraków,Legia Warszawa,43,57,11,16,2,6,6,7,2,7,0,2,3,2,18,14,2,4,0,0,0,3,L
479,2014-2015,9,2014-09-22 18:00:00,Górnik Łęczna,Jagiellonia Białystok,51,49,24,11,8,1,10,9,6,2,3,2,1,8,13,13,6,2,0,0,0,0,D
480,2014-2015,10,2014-09-26 18:00:00,Korona Kielce,Piast Gliwice,53,47,14,5,5,2,8,3,5,7,0,2,2,4,14,14,1,2,0,0,1,0,W
481,2014-2015,10,2014-09-26 20:30:00,Śląsk Wrocław,Górnik Łęczna,54,46,25,15,8,7,7,7,10,4,0,4,6,6,8,14,0,2,0,0,2,1,W
482,2014-2015,10,2014-09-27 15:30:00,Zawisza Bydgoszcz,Ruch Chorzów,64,36,17,7,6,2,9,5,2,1,2,0,1,5,17,17,1,4,0,0,1,1,D
483,2014-2015,10,2014-09-27 18:00:00,GKS Bełchatów,Pogoń Szczecin,41,59,5,11,2,2,3,5,1,6,1,4,2,1,18,23,7,2,1,0,1,0,W
484,2014-2015,10,2014-09-27 20:30:00,Legia Warszawa,Lech Poznań,61,39,15,8,4,4,9,3,7,4,2,1,2,2,7,17,2,4,0,0,2,2,D
485,2014-2015,10,2014-09-28 15:30:00,Górnik Zabrze,Lechia Gdańsk,49,51,16,17,6,10,5,6,9,10,3,1,8,4,16,14,3,3,0,0,2,2,D
486,2014-2015,10,2014-09-28 18:00:00,Cracovia,Wisła Kraków,44,56,7,11,3,2,2,5,4,1,2,0,2,2,11,13,0,2,0,0,1,0,W
487,2014-2015,10,2014-09-29 18:00:00,Jagiellonia Białystok,Podbeskidzie B-B,40,60,12,16,8,8,3,5,4,5,1,3,6,4,19,19,2,2,0,0,4,2,W
488,2014-2015,11,2014-03-10 18:00:00,Podbeskidzie B-B,Śląsk Wrocław,43,57,13,19,4,5,6,5,2,10,1,4,3,2,15,18,4,3,0,0,2,2,D
489,2014-2015,11,2014-03-10 20:30:00,Wisła Kraków,Jagiellonia Białystok,65,35,24,16,6,5,11,5,6,8,1,1,3,6,18,18,1,1,0,0,0,2,L
490,2014-2015,11,2014-04-10 15:30:00,Górnik Łęczna,Korona Kielce,55,45,22,9,7,0,7,8,8,1,1,1,0,6,12,20,2,5,0,1,1,0,W
491,2014-2015,11,2014-04-10 18:00:00,Lechia Gdańsk,Cracovia,48,52,17,13,8,5,6,4,4,6,1,2,5,7,10,15,0,3,0,0,1,0,W
492,2014-2015,11,2014-04-10 20:30:00,Ruch Chorzów,Górnik Zabrze,50,50,17,12,6,5,7,4,9,4,5,1,3,5,11,15,2,1,0,0,1,2,L
493,2014-2015,11,2014-05-10 15:30:00,Piast Gliwice,Legia Warszawa,41,59,14,13,8,6,4,6,8,4,1,0,5,5,21,13,0,2,0,0,3,1,W
494,2014-2015,11,2014-05-10 15:30:00,Pogoń Szczecin,Zawisza Bydgoszcz,53,47,19,9,12,5,5,2,1,3,4,0,5,9,20,23,3,2,0,0,3,0,W
495,2014-2015,11,2014-05-10 18:00:00,Lech Poznań,GKS Bełchatów,59,41,19,5,10,3,6,1,7,6,3,1,3,5,18,10,1,2,0,0,5,0,W
496,2014-2015,12,2014-10-17 18:00:00,Cracovia,Ruch Chorzów,49,51,15,14,5,3,7,10,9,3,2,0,3,4,9,8,0,1,0,0,1,0,W
497,2014-2015,12,2014-10-17 20:30:00,Legia Warszawa,Lechia Gdańsk,56,44,16,21,7,7,4,9,8,4,0,3,7,6,13,17,0,0,0,0,1,0,W
498,2014-2015,12,2014-10-18 15:30:00,Podbeskidzie B-B,Górnik Łęczna,41,59,11,23,3,10,5,7,7,5,2,1,10,2,9,17,2,1,0,0,1,0,W
499,2014-2015,12,2014-10-18 15:30:00,Śląsk Wrocław,Piast Gliwice,62,38,23,12,8,4,9,7,8,7,2,2,4,5,15,11,2,2,0,0,3,0,W
500,2014-2015,12,2014-10-18 18:00:00,Jagiellonia Białystok,Pogoń Szczecin,44,56,16,11,8,2,6,4,3,2,2,2,2,3,18,15,2,2,0,0,5,0,W
501,2014-2015,12,2014-10-19 15:30:00,Korona Kielce,Lech Poznań,47,53,9,12,5,6,3,4,10,3,3,4,4,3,14,18,1,2,0,0,2,2,D
502,2014-2015,12,2014-10-19 18:00:00,Górnik Zabrze,Wisła Kraków,54,46,7,17,3,6,4,7,3,8,1,2,1,3,11,18,0,1,0,0,0,5,L
503,2014-2015,12,2014-10-20 18:00:00,Zawisza Bydgoszcz,GKS Bełchatów,56,44,13,10,7,3,6,7,4,4,1,2,2,5,22,24,3,3,0,0,2,1,W
504,2014-2015,13,2014-10-24 18:00:00,GKS Bełchatów,Górnik Zabrze,44,56,7,9,3,2,3,5,2,6,0,1,2,2,13,23,1,2,0,0,1,0,W
505,2014-2015,13,2014-10-24 20:30:00,Wisła Kraków,Podbeskidzie B-B,56,44,20,16,9,2,8,5,7,3,2,0,0,6,11,18,1,6,0,2,3,2,W
506,2014-2015,13,2014-10-25 15:30:00,Lechia Gdańsk,Śląsk Wrocław,45,55,7,15,3,8,2,4,7,3,1,3,4,2,13,18,4,1,1,0,1,4,L
507,2014-2015,13,2014-10-25 15:30:00,Piast Gliwice,Jagiellonia Białystok,54,46,20,11,3,4,10,4,8,7,0,4,2,3,12,11,1,4,0,0,0,2,L
508,2014-2015,13,2014-10-25 18:00:00,Pogoń Szczecin,Cracovia,50,50,14,16,3,9,7,4,7,9,4,0,8,1,17,12,2,1,0,0,2,1,W
509,2014-2015,13,2014-10-26 15:30:00,Lech Poznań,Górnik Łęczna,62,38,11,10,5,4,5,4,7,5,0,4,4,4,11,13,1,2,0,0,1,0,W
510,2014-2015,13,2014-10-26 18:00:00,Zawisza Bydgoszcz,Legia Warszawa,44,56,9,11,4,4,4,5,8,11,1,5,2,3,22,9,4,1,0,0,1,2,L
511,2014-2015,13,2014-10-27 18:00:00,Ruch Chorzów,Korona Kielce,56,44,13,10,2,2,8,7,6,6,1,0,1,2,7,15,1,2,0,0,0,1,L
512,2014-2015,14,2014-02-11 13:00:00,Górnik Zabrze,Pogoń Szczecin,45,55,13,11,3,5,7,4,5,5,1,2,4,2,18,15,1,1,1,0,1,1,D
513,2014-2015,14,2014-02-11 15:30:00,Cracovia,Zawisza Bydgoszcz,45,55,13,18,5,6,4,5,5,10,3,1,6,4,19,20,3,2,0,0,1,0,W
514,2014-2015,14,2014-02-11 15:30:00,Śląsk Wrocław,Lech Poznań,54,46,10,19,4,8,6,7,2,3,2,0,7,3,9,25,2,3,0,0,1,1,D
515,2014-2015,14,2014-02-11 18:00:00,Legia Warszawa,Ruch Chorzów,55,45,10,8,4,2,6,3,1,0,4,3,1,2,11,20,1,1,0,0,2,1,W
516,2014-2015,14,2014-03-11 18:00:00,Podbeskidzie B-B,Piast Gliwice,50,50,14,14,6,5,5,5,7,5,1,5,1,4,12,13,0,2,0,0,2,4,L
517,2014-2015,14,2014-03-11 20:30:00,Jagiellonia Białystok,GKS Bełchatów,52,48,15,17,6,6,4,9,6,5,2,1,5,6,14,14,2,3,0,0,0,1,L
518,2014-2015,14,2014-10-31 18:00:00,Górnik Łęczna,Lechia Gdańsk,52,48,14,19,2,3,6,7,3,2,3,3,2,1,14,13,0,2,1,0,1,1,D
519,2014-2015,14,2014-10-31 20:30:00,Korona Kielce,Wisła Kraków,40,60,13,11,5,4,4,4,5,8,1,0,2,2,12,11,1,3,0,1,3,2,W
520,2014-2015,15,2014-07-11 18:00:00,Piast Gliwice,Górnik Łęczna,50,50,14,15,1,5,11,9,7,4,0,0,5,1,9,13,2,0,0,0,0,0,D
521,2014-2015,15,2014-07-11 20:30:00,Lech Poznań,Podbeskidzie B-B,55,45,16,10,6,5,7,3,6,5,5,1,4,5,13,19,3,2,0,0,1,1,D
522,2014-2015,15,2014-08-11 15:30:00,Lechia Gdańsk,Korona Kielce,57,43,22,9,7,5,9,3,13,3,1,2,3,6,13,17,1,2,0,0,1,2,L
523,2014-2015,15,2014-08-11 18:00:00,GKS Bełchatów,Cracovia,51,49,9,18,1,9,6,5,2,10,2,1,8,0,5,14,0,6,0,1,1,1,D
524,2014-2015,15,2014-08-11 20:30:00,Wisła Kraków,Śląsk Wrocław,54,46,11,8,7,2,1,2,1,4,2,2,1,6,18,18,1,2,0,0,1,1,D
525,2014-2015,15,2014-09-11 15:30:00,Ruch Chorzów,Jagiellonia Białystok,42,58,16,15,6,7,6,6,4,5,3,0,5,1,13,13,0,2,0,0,5,2,W
526,2014-2015,15,2014-09-11 15:30:00,Zawisza Bydgoszcz,Górnik Zabrze,56,44,17,5,3,4,6,0,11,0,0,0,2,2,19,11,2,4,0,0,1,2,L
527,2014-2015,15,2014-09-11 18:00:00,Pogoń Szczecin,Legia Warszawa,36,64,7,22,3,6,3,9,3,12,0,3,5,1,15,16,5,5,0,1,2,1,W
528,2014-2015,16,2014-11-21 18:00:00,Ruch Chorzów,Śląsk Wrocław,42,58,9,14,3,5,3,7,7,5,1,0,5,2,15,12,0,1,0,0,1,0,W
529,2014-2015,16,2014-11-21 20:30:00,GKS Bełchatów,Legia Warszawa,41,59,13,12,3,7,7,4,1,6,1,3,4,3,16,18,0,2,0,0,0,3,L
530,2014-2015,16,2014-11-22 15:30:00,Pogoń Szczecin,Podbeskidzie B-B,58,42,13,12,5,4,6,5,3,1,1,0,2,4,17,16,2,1,0,0,1,2,L
531,2014-2015,16,2014-11-22 15:30:00,Wisła Kraków,Górnik Łęczna,54,46,11,8,3,1,4,4,6,2,2,1,1,1,10,11,1,3,0,1,2,0,W
532,2014-2015,16,2014-11-22 18:00:00,Korona Kielce,Zawisza Bydgoszcz,46,54,17,11,6,5,9,4,7,5,3,1,4,4,12,15,3,3,1,1,2,2,D
533,2014-2015,16,2014-11-23 15:30:00,Lechia Gdańsk,Jagiellonia Białystok,58,42,16,18,3,7,9,5,1,6,1,4,6,2,19,15,2,1,0,0,1,1,D
534,2014-2015,16,2014-11-23 18:00:00,Piast Gliwice,Lech Poznań,46,54,7,18,3,5,4,8,3,5,5,0,3,0,11,15,1,1,0,0,3,2,W
535,2014-2015,16,2014-11-24 18:00:00,Cracovia,Górnik Zabrze,55,45,18,8,5,3,7,3,14,2,1,1,1,4,15,9,1,2,0,0,1,2,L
536,2014-2015,17,2014-01-12 18:00:00,Legia Warszawa,Cracovia,64,36,11,13,5,6,4,5,7,6,2,2,6,3,20,13,0,2,0,0,2,0,W
537,2014-2015,17,2014-11-28 18:00:00,Górnik Łęczna,Ruch Chorzów,55,45,15,5,3,2,8,2,2,3,3,1,2,0,14,10,2,3,0,0,3,0,W
538,2014-2015,17,2014-11-28 20:30:00,Piast Gliwice,Wisła Kraków,50,50,13,15,3,4,6,4,5,8,1,2,4,3,13,14,3,5,0,0,0,0,D
539,2014-2015,17,2014-11-29 15:30:00,Jagiellonia Białystok,Zawisza Bydgoszcz,44,56,7,14,4,6,2,5,6,3,1,3,6,4,15,16,0,1,0,0,0,0,D
540,2014-2015,17,2014-11-29 15:30:00,Podbeskidzie B-B,Lechia Gdańsk,34,66,6,21,2,6,3,11,4,5,2,3,6,1,16,16,4,2,1,0,1,0,W
541,2014-2015,17,2014-11-29 18:00:00,Korona Kielce,GKS Bełchatów,41,59,12,6,8,1,1,4,4,10,2,1,1,6,16,8,1,0,0,0,2,0,W
542,2014-2015,17,2014-11-30 15:30:00,Lech Poznań,Górnik Zabrze,56,44,18,5,8,3,8,2,5,2,3,3,3,5,9,15,1,2,0,0,3,0,W
543,2014-2015,17,2014-11-30 18:00:00,Śląsk Wrocław,Pogoń Szczecin,54,46,22,12,6,4,13,7,5,2,1,0,3,5,12,22,2,4,0,0,1,1,D
544,2014-2015,18,2014-05-12 18:00:00,Zawisza Bydgoszcz,Śląsk Wrocław,49,51,7,12,1,7,4,3,2,8,1,0,6,1,22,13,7,4,1,0,0,1,L
545,2014-2015,18,2014-05-12 20:30:00,Górnik Zabrze,Legia Warszawa,45,55,13,9,0,8,9,1,3,4,1,12,4,0,18,10,2,2,0,0,0,4,L
546,2014-2015,18,2014-06-12 15:30:00,GKS Bełchatów,Górnik Łęczna,49,51,14,13,8,3,3,5,10,3,1,6,2,7,12,12,3,3,0,0,1,1,D
547,2014-2015,18,2014-06-12 15:30:00,Pogoń Szczecin,Korona Kielce,42,58,8,11,4,3,4,5,6,7,1,1,3,2,13,15,1,2,0,0,2,0,W
548,2014-2015,18,2014-06-12 18:00:00,Cracovia,Jagiellonia Białystok,55,45,12,12,6,2,3,8,8,2,3,2,1,5,15,21,3,2,0,0,1,1,D
549,2014-2015,18,2014-07-12 15:30:00,Lechia Gdańsk,Piast Gliwice,37,63,16,17,5,2,8,11,4,1,0,3,1,2,14,17,1,3,1,0,3,1,W
550,2014-2015,18,2014-07-12 18:00:00,Wisła Kraków,Lech Poznań,39,61,7,10,3,6,2,3,6,6,1,3,4,2,12,21,3,3,1,0,1,2,L
551,2014-2015,18,2014-08-12 18:00:00,Ruch Chorzów,Podbeskidzie B-B,56,44,9,15,5,1,3,8,7,7,2,2,1,3,12,18,3,3,0,0,2,0,W
552,2014-2015,19,2014-12-12 18:00:00,Korona Kielce,Cracovia,64,36,11,11,4,4,6,5,2,4,0,1,2,3,10,15,2,0,0,0,1,2,L
553,2014-2015,19,2014-12-12 20:30:00,Śląsk Wrocław,GKS Bełchatów,56,44,15,6,5,2,2,1,6,4,3,1,1,3,16,26,2,2,0,0,2,1,W
554,2014-2015,19,2014-12-13 15:30:00,Jagiellonia Białystok,Górnik Zabrze,49,51,11,10,6,3,4,4,3,4,2,3,3,5,11,12,1,2,0,1,1,0,W
555,2014-2015,19,2014-12-13 15:30:00,Ruch Chorzów,Wisła Kraków,48,52,11,12,4,4,4,6,3,3,5,6,2,3,12,15,1,2,0,0,1,2,L
556,2014-2015,19,2014-12-13 18:00:00,Lech Poznań,Lechia Gdańsk,55,45,23,8,10,0,8,5,3,5,1,0,0,9,14,10,1,2,0,0,1,0,W
557,2014-2015,19,2014-12-14 15:30:00,Podbeskidzie B-B,Zawisza Bydgoszcz,51,49,17,12,3,4,4,4,3,1,1,0,3,1,11,15,1,2,0,0,2,1,W
558,2014-2015,19,2014-12-14 18:00:00,Górnik Łęczna,Legia Warszawa,30,70,16,20,9,7,4,6,9,9,2,0,6,6,16,10,2,4,0,0,3,1,W
559,2014-2015,19,2014-12-15 18:00:00,Piast Gliwice,Pogoń Szczecin,45,55,13,19,3,5,7,11,6,7,0,0,5,2,16,12,0,4,0,0,1,0,W
560,2014-2015,20,2015-02-13 18:00:00,Zawisza Bydgoszcz,Górnik Łęczna,52,48,13,9,3,2,7,6,6,1,0,1,2,3,15,15,3,2,0,0,0,0,D
561,2014-2015,20,2015-02-13 20:30:00,Lechia Gdańsk,Wisła Kraków,56,44,18,6,3,0,7,2,7,4,2,5,0,2,13,21,2,2,0,0,1,0,W
562,2014-2015,20,2015-02-14 15:30:00,GKS Bełchatów,Podbeskidzie B-B,65,35,9,7,4,3,2,4,8,2,4,3,1,3,20,20,3,5,0,1,1,2,L
563,2014-2015,20,2015-02-14 15:30:00,Ruch Chorzów,Piast Gliwice,48,52,14,10,5,3,6,5,3,5,0,1,3,3,9,17,2,4,0,1,2,0,W
564,2014-2015,20,2015-02-14 18:00:00,Pogoń Szczecin,Lech Poznań,39,61,8,14,2,7,2,5,3,8,4,1,6,1,12,10,2,4,0,0,1,1,D
565,2014-2015,20,2015-02-15 15:30:00,Cracovia,Śląsk Wrocław,43,57,19,16,5,2,10,10,9,3,1,1,1,4,15,9,3,2,0,0,1,1,D
566,2014-2015,20,2015-02-15 18:00:00,Legia Warszawa,Jagiellonia Białystok,60,40,15,10,2,6,8,3,7,0,1,0,3,1,4,9,3,1,1,0,1,3,L
567,2014-2015,20,2015-02-16 18:00:00,Górnik Zabrze,Korona Kielce,64,36,15,9,3,1,10,4,8,5,1,0,0,2,12,22,2,6,0,1,1,1,D
568,2014-2015,21,2015-02-20 18:00:00,Podbeskidzie B-B,Cracovia,50,50,12,10,5,3,3,4,7,3,0,3,2,4,7,13,0,1,0,0,1,1,D
569,2014-2015,21,2015-02-20 20:30:00,Wisła Kraków,Pogoń Szczecin,52,48,13,15,4,4,6,8,5,5,2,0,3,3,23,15,4,1,1,0,1,1,D
570,2014-2015,21,2015-02-21 15:30:00,Górnik Łęczna,Górnik Zabrze,54,46,14,9,5,3,8,6,9,8,1,3,2,5,8,9,0,0,0,0,0,1,L
571,2014-2015,21,2015-02-21 15:30:00,Lechia Gdańsk,Zawisza Bydgoszcz,64,36,13,3,2,1,3,1,11,4,0,2,1,2,17,18,1,2,0,0,0,0,D
572,2014-2015,21,2015-02-21 18:00:00,Śląsk Wrocław,Jagiellonia Białystok,64,36,20,8,7,2,8,5,13,3,0,0,1,7,14,17,2,3,0,0,0,1,L
573,2014-2015,21,2015-02-22 15:30:00,Lech Poznań,Ruch Chorzów,56,44,11,11,4,8,4,3,3,5,2,1,7,2,12,12,0,1,0,0,2,1,W
574,2014-2015,21,2015-02-22 18:00:00,Korona Kielce,Legia Warszawa,46,54,6,8,3,3,3,1,3,7,0,2,3,3,17,10,3,0,0,0,0,0,D
575,2014-2015,21,2015-02-23 18:00:00,Piast Gliwice,GKS Bełchatów,60,40,24,12,10,4,9,5,9,7,0,2,3,7,11,15,1,2,0,1,3,1,W
576,2014-2015,22,2015-01-03 15:30:00,Jagiellonia Białystok,Korona Kielce,61,39,15,13,8,3,5,6,8,7,0,2,1,7,8,14,0,5,0,0,1,2,L
577,2014-2015,22,2015-01-03 18:00:00,Legia Warszawa,Podbeskidzie B-B,66,34,11,14,6,4,3,5,2,8,3,0,4,3,14,21,1,2,0,0,3,0,W
578,2014-2015,22,2015-02-03 18:00:00,Pogoń Szczecin,Górnik Łęczna,52,48,13,12,5,3,6,5,10,5,0,2,2,5,18,18,1,2,0,0,0,1,L
579,2014-2015,22,2015-02-27 18:00:00,Ruch Chorzów,Lechia Gdańsk,44,56,13,12,3,2,7,9,9,4,1,2,1,2,13,14,1,3,0,0,1,1,D
580,2014-2015,22,2015-02-27 20:30:00,Cracovia,Lech Poznań,48,52,9,12,2,3,6,7,4,5,2,1,3,2,15,15,4,2,0,0,0,0,D
581,2014-2015,22,2015-02-28 15:30:00,GKS Bełchatów,Wisła Kraków,36,64,5,11,3,7,1,4,3,5,3,0,6,0,12,12,1,2,0,1,3,1,W
582,2014-2015,22,2015-02-28 15:30:00,Zawisza Bydgoszcz,Piast Gliwice,56,44,13,10,4,2,5,5,5,4,2,1,2,2,12,13,1,2,0,0,2,0,W
583,2014-2015,22,2015-02-28 18:00:00,Górnik Zabrze,Śląsk Wrocław,45,55,15,12,8,5,2,5,3,5,0,2,2,5,16,13,2,2,0,0,3,3,D
584,2014-2015,23,2015-06-03 18:00:00,Ruch Chorzów,Pogoń Szczecin,47,53,6,11,4,3,2,5,5,4,2,5,2,2,13,15,3,3,0,0,2,1,W
585,2014-2015,23,2015-06-03 20:30:00,Lech Poznań,Jagiellonia Białystok,63,37,17,4,7,2,4,1,7,1,2,0,2,5,15,15,3,2,0,0,2,0,W
586,2014-2015,23,2015-07-03 15:30:00,Piast Gliwice,Górnik Zabrze,44,56,5,14,3,6,0,4,3,12,1,2,4,1,6,12,2,2,0,0,2,2,D
587,2014-2015,23,2015-07-03 15:30:00,Wisła Kraków,Zawisza Bydgoszcz,60,40,14,7,4,4,5,2,9,3,2,1,3,4,9,13,3,3,0,1,0,1,L
588,2014-2015,23,2015-07-03 18:00:00,Lechia Gdańsk,GKS Bełchatów,56,44,19,5,6,2,7,2,7,1,3,3,2,5,18,14,6,2,1,0,1,0,W
589,2014-2015,23,2015-08-03 15:30:00,Podbeskidzie B-B,Korona Kielce,54,46,14,5,4,3,7,1,3,4,1,3,1,2,11,20,2,2,0,0,2,2,D
590,2014-2015,23,2015-08-03 18:00:00,Śląsk Wrocław,Legia Warszawa,55,45,10,9,6,5,3,2,7,5,5,0,2,5,14,14,1,4,0,0,1,3,L
591,2014-2015,23,2015-09-03 18:00:00,Górnik Łęczna,Cracovia,45,55,12,14,3,9,2,4,6,5,3,0,8,1,18,10,4,4,0,0,2,1,W
592,2014-2015,24,2015-03-13 18:00:00,Cracovia,Piast Gliwice,46,54,13,14,2,5,6,4,6,8,2,0,4,0,8,11,2,1,0,0,3,1,W
593,2014-2015,24,2015-03-13 20:30:00,Pogoń Szczecin,Lechia Gdańsk,47,53,8,15,2,5,3,8,3,4,1,1,4,2,28,20,5,2,1,0,0,1,L
594,2014-2015,24,2015-03-14 15:30:00,Górnik Zabrze,Podbeskidzie B-B,56,44,9,15,5,6,4,6,4,1,2,5,3,2,18,21,2,2,0,0,3,3,D
595,2014-2015,24,2015-03-14 15:30:00,Jagiellonia Białystok,Górnik Łęczna,47,53,12,22,3,11,6,3,1,5,0,2,10,1,4,11,2,2,0,0,2,1,W
596,2014-2015,24,2015-03-14 18:00:00,Zawisza Bydgoszcz,Lech Poznań,63,37,14,10,3,5,8,5,5,2,1,1,5,2,12,16,3,3,0,1,1,0,W
597,2014-2015,24,2015-03-15 15:30:00,Korona Kielce,Śląsk Wrocław,39,61,21,9,7,2,10,5,7,8,1,2,0,5,20,15,2,4,0,0,2,2,D
598,2014-2015,24,2015-03-15 18:00:00,Legia Warszawa,Wisła Kraków,59,41,9,11,3,6,4,3,5,5,5,2,4,1,10,21,1,2,0,0,2,2,D
599,2014-2015,24,2015-03-16 18:00:00,GKS Bełchatów,Ruch Chorzów,53,47,14,10,3,3,5,4,11,1,4,3,2,3,18,14,2,2,1,0,0,1,L
600,2014-2015,25,2015-03-20 18:00:00,Pogoń Szczecin,GKS Bełchatów,43,57,17,15,6,3,6,5,5,4,4,0,3,3,21,22,2,4,0,0,3,0,W
601,2014-2015,25,2015-03-20 20:30:00,Górnik Łęczna,Śląsk Wrocław,44,56,11,15,5,4,5,4,5,12,2,1,3,4,11,11,3,2,0,0,1,1,D
602,2014-2015,25,2015-03-21 15:30:00,Ruch Chorzów,Zawisza Bydgoszcz,59,41,14,6,3,2,8,2,6,4,1,6,0,2,8,13,1,2,0,0,1,2,L
603,2014-2015,25,2015-03-21 18:00:00,Wisła Kraków,Cracovia,47,53,12,10,5,4,5,2,7,4,1,1,3,3,17,18,6,2,0,1,2,1,W
604,2014-2015,25,2015-03-21 20:30:00,Lechia Gdańsk,Górnik Zabrze,47,53,16,10,6,3,7,3,5,6,1,2,3,5,11,17,2,4,0,0,1,0,W
605,2014-2015,25,2015-03-22 15:30:00,Piast Gliwice,Korona Kielce,35,65,9,11,6,5,2,1,4,8,3,2,3,5,18,18,1,1,0,0,1,2,L
606,2014-2015,25,2015-03-22 15:30:00,Podbeskidzie B-B,Jagiellonia Białystok,56,44,21,11,9,5,7,5,6,3,4,2,5,8,14,19,1,5,0,1,1,0,W
607,2014-2015,25,2015-03-22 18:00:00,Lech Poznań,Legia Warszawa,53,47,16,8,7,3,7,3,4,7,2,2,2,5,18,6,3,3,0,1,2,1,W
608,2014-2015,26,2015-04-04 13:00:00,Cracovia,Lechia Gdańsk,35,65,13,17,7,6,5,3,2,6,6,0,4,4,17,16,4,2,0,0,3,2,W
609,2014-2015,26,2015-04-04 15:30:00,Śląsk Wrocław,Podbeskidzie B-B,58,42,7,12,3,2,1,7,5,3,4,1,2,3,19,17,5,3,1,0,0,0,D
610,2014-2015,26,2015-04-04 18:00:00,GKS Bełchatów,Lech Poznań,43,57,8,18,3,9,3,6,1,8,4,1,7,2,14,20,2,2,0,0,1,2,L
611,2014-2015,26,2015-04-04 20:30:00,Legia Warszawa,Piast Gliwice,57,43,21,14,13,3,4,6,6,3,0,3,3,11,8,17,1,2,0,0,2,0,W
612,2014-2015,26,2015-06-04 13:00:00,Korona Kielce,Górnik Łęczna,47,53,14,13,2,3,9,7,4,10,0,1,3,0,11,19,1,2,0,1,2,0,W
613,2014-2015,26,2015-06-04 15:30:00,Górnik Zabrze,Ruch Chorzów,45,55,7,7,4,4,3,1,9,3,2,5,2,2,17,10,5,2,0,1,2,2,D
614,2014-2015,26,2015-06-04 18:00:00,Jagiellonia Białystok,Wisła Kraków,47,53,10,21,3,5,4,8,3,2,2,2,3,1,9,15,4,4,0,0,2,2,D
615,2014-2015,26,2015-07-04 20:30:00,Zawisza Bydgoszcz,Pogoń Szczecin,50,50,8,10,4,5,2,3,0,3,0,1,4,2,17,13,2,4,0,0,2,1,W
616,2014-2015,27,2015-04-13 18:00:00,Górnik Łęczna,Podbeskidzie B-B,56,44,11,12,4,1,6,10,2,9,5,0,1,4,16,8,1,1,0,0,0,0,D
617,2014-2015,27,2015-10-04 18:00:00,Ruch Chorzów,Cracovia,46,54,8,17,3,5,3,8,1,1,2,6,5,0,5,14,0,1,0,0,3,0,W
618,2014-2015,27,2015-10-04 20:30:00,Wisła Kraków,Górnik Zabrze,42,58,9,16,5,6,2,5,2,6,1,2,5,4,15,9,1,1,0,0,1,1,D
619,2014-2015,27,2015-11-04 15:30:00,Lechia Gdańsk,Legia Warszawa,53,47,20,7,7,1,9,4,5,0,1,1,1,6,19,12,2,2,0,1,1,0,W
620,2014-2015,27,2015-11-04 18:00:00,Piast Gliwice,Śląsk Wrocław,51,49,11,9,2,3,4,4,3,9,0,3,3,0,19,12,2,4,0,1,2,0,W
621,2014-2015,27,2015-11-04 20:30:00,Pogoń Szczecin,Jagiellonia Białystok,41,59,20,9,5,1,13,5,10,3,0,0,1,3,22,6,0,1,0,0,2,0,W
622,2014-2015,27,2015-12-04 15:30:00,GKS Bełchatów,Zawisza Bydgoszcz,47,53,8,10,3,8,2,1,4,2,1,1,4,2,17,13,2,1,0,0,1,4,L
623,2014-2015,27,2015-12-04 18:00:00,Lech Poznań,Korona Kielce,56,44,14,9,5,4,5,4,10,1,0,1,3,4,12,11,1,2,0,0,1,1,D
624,2014-2015,28,2015-04-17 18:00:00,Korona Kielce,Ruch Chorzów,49,51,9,3,4,1,2,1,8,2,3,0,1,4,9,11,1,2,0,0,0,0,D
