,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
126,2017-2018,22,09.02.2018 20:30,Zagłębie Lubin,Legia Warszawa,49%,51%,11,7,4,5,7,2,2,9,6,1,2,2,12,18,4,3,67,76,31,36,,,,,,,2,3
127,2017-2018,22,09.02.2018 18:00,Wisła Płock,Górnik Zabrze,50%,50%,17,7,9,4,8,3,6,1,2,2,2,5,19,16,1,2,55,49,35,18,,,,,,,4,2
128,2017-2018,21,18.12.2017 18:00,Górnik Zabrze,Cracovia,54%,46%,17,11,3,6,14,5,4,2,0,1,2,7,20,17,3,3,99,86,90,59,1,0,,,,,0,4
129,2017-2018,21,17.12.2017 18:00,Wisła Kraków,Zagłębie Lubin,50%,50%,15,19,8,9,7,10,8,6,0,2,7,7,13,10,1,0,103,102,75,68,,,,,,,1,2
130,2017-2018,21,17.12.2017 15:30,Lech Poznań,Bruk-Bet T.,51%,49%,23,7,10,4,13,3,7,6,1,1,3,7,9,14,1,4,87,84,68,40,,,,,,,3,1
131,2017-2018,21,16.12.2017 20:30,Legia Warszawa,Wisła Płock,58%,42%,19,5,7,2,12,3,5,3,0,4,1,7,14,16,1,4,118,99,76,42,,,,,,,0,2
132,2017-2018,21,16.12.2017 18:00,Sandecja Nowy Sącz,Lechia Gdańsk,41%,59%,9,13,3,5,6,8,5,7,2,2,3,1,19,19,3,1,92,115,50,72,,,,,,,2,2
133,2017-2018,21,16.12.2017 15:30,Pogoń Szczecin,Arka Gdynia,62%,38%,13,6,4,1,9,5,6,4,2,2,1,3,15,29,2,5,99,76,59,35,,,,,,,1,0
134,2017-2018,21,15.12.2017 20:30,Śląsk Wrocław,Jagiellonia Białystok,49%,51%,12,10,5,1,7,9,3,10,3,0,1,4,15,14,3,1,110,110,57,52,,,,,,,1,0
135,2017-2018,21,15.12.2017 18:00,Korona Kielce,Piast Gliwice,50%,50%,13,11,5,4,8,7,7,5,2,2,3,4,18,12,1,2,118,123,71,56,,,,,,,1,1
136,2017-2018,20,13.12.2017 20:30,Cracovia,Wisła Kraków,50%,50%,13,10,5,7,8,3,7,6,1,3,3,4,11,19,2,3,41,41,26,21,,,24,15,12,5,1,4
137,2017-2018,20,13.12.2017 20:30,Wisła Płock,Sandecja Nowy Sącz,58%,42%,12,13,3,4,9,9,7,3,0,1,2,1,19,16,2,2,125,115,62,55,,,28,31,18,18,2,2
138,2017-2018,20,13.12.2017 18:00,Lechia Gdańsk,Pogoń Szczecin,55%,45%,3,11,2,5,1,6,5,1,5,3,2,1,19,21,0,2,60,37,40,26,,,,,,,1,3
139,2017-2018,20,13.12.2017 18:00,Zagłębie Lubin,Lech Poznań,48%,52%,8,14,3,3,5,11,6,3,2,0,3,3,20,16,2,4,138,126,82,65,0,1,,,,,0,0
140,2017-2018,20,12.12.2017 20:30,Arka Gdynia,Górnik Zabrze,56%,44%,16,12,3,3,13,9,5,3,3,3,3,2,19,17,1,3,43,41,34,30,,,29,19,20,0,1,0
141,2017-2018,20,12.12.2017 20:30,Bruk-Bet T.,Śląsk Wrocław,57%,43%,12,9,9,4,3,5,9,3,0,3,3,7,16,14,4,4,106,106,68,60,,,0,23,17,16,2,1
142,2017-2018,20,12.12.2017 18:00,Jagiellonia Białystok,Korona Kielce,53%,47%,15,12,10,2,5,10,3,3,1,0,1,5,18,23,2,3,153,163,90,113,,,,,,,5,1
143,2017-2018,20,12.12.2017 18:00,Piast Gliwice,Legia Warszawa,36%,64%,8,10,2,5,6,5,4,1,0,3,4,2,11,11,0,4,106,123,51,67,1,0,,,,,0,1
144,2017-2018,19,10.12.2017 18:00,Lech Poznań,Cracovia,55%,45%,21,6,6,1,15,5,10,4,1,1,1,5,15,22,2,2,129,96,95,47,,,,,,,1,0
145,2017-2018,19,10.12.2017 15:30,Pogoń Szczecin,Zagłębie Lubin,57%,43%,16,12,7,6,9,6,6,2,1,1,3,4,14,16,2,2,90,80,74,45,,,,,,,3,3
146,2017-2018,19,10.12.2017 15:30,Wisła Kraków,Wisła Płock,58%,42%,6,18,1,9,5,9,4,9,2,0,8,1,17,13,3,1,165,111,66,59,1,0,,,,,0,1
147,2017-2018,19,09.12.2017 20:30,Legia Warszawa,Bruk-Bet T.,56%,44%,15,12,6,4,9,8,6,7,1,0,4,3,12,11,0,2,110,94,55,46,,,,,,,3,0
148,2017-2018,19,09.12.2017 18:00,Korona Kielce,Arka Gdynia,61%,39%,26,13,10,10,16,3,12,7,2,4,7,10,12,16,1,1,97,82,82,53,,,,,,,0,3
149,2017-2018,19,09.12.2017 15:30,Śląsk Wrocław,Piast Gliwice,48%,52%,11,14,5,4,6,10,4,3,2,1,2,3,17,16,1,2,79,81,37,41,,,,,,,2,2
150,2017-2018,19,08.12.2017 20:30,Górnik Zabrze,Lechia Gdańsk,46%,54%,12,11,2,2,10,9,12,5,2,2,1,1,17,20,1,1,94,104,73,55,,,,,,,1,1
151,2017-2018,19,08.12.2017 18:00,Sandecja Nowy Sącz,Jagiellonia Białystok,42%,58%,7,17,3,4,4,13,0,9,2,1,3,3,11,15,2,4,121,137,62,94,,,,,,,0,1
152,2017-2018,18,04.12.2017 18:00,Cracovia,Korona Kielce,42%,58%,8,15,5,5,3,10,3,5,5,1,3,3,10,19,2,5,85,117,40,58,,,,,,,2,2
153,2017-2018,18,03.12.2017 18:00,Wisła Kraków,Górnik Zabrze,50%,50%,10,23,3,7,7,16,5,5,1,3,4,1,21,13,6,3,108,96,54,66,1,0,,,,,2,3
154,2017-2018,18,03.12.2017 15:30,Piast Gliwice,Lech Poznań,43%,57%,3,9,1,3,2,6,1,6,1,2,4,1,16,14,2,1,97,115,49,85,,,,,,,0,0
155,2017-2018,18,02.12.2017 20:30,Sandecja Nowy Sącz,Legia Warszawa,31%,69%,8,15,3,4,5,11,2,5,3,1,2,1,19,18,2,3,92,115,42,70,0,1,,,,,2,2
156,2017-2018,18,02.12.2017 18:00,Zagłębie Lubin,Bruk-Bet T.,55%,45%,24,12,13,4,11,8,5,2,3,0,2,9,8,15,0,1,117,90,111,69,,,,,,,4,2
157,2017-2018,18,02.12.2017 15:30,Wisła Płock,Arka Gdynia,51%,49%,21,11,13,7,8,4,6,6,1,2,7,11,17,20,3,3,102,100,63,52,,,,,,,2,0
158,2017-2018,18,01.12.2017 20:30,Lechia Gdańsk,Śląsk Wrocław,54%,46%,8,11,5,4,3,7,2,4,2,4,3,2,16,20,1,1,112,90,59,53,,,,,,,3,1
159,2017-2018,18,01.12.2017 18:00,Jagiellonia Białystok,Pogoń Szczecin,29%,71%,7,17,4,6,3,11,7,1,4,4,6,3,16,12,1,3,119,173,50,92,,,,,,,1,0
160,2017-2018,17,27.11.2017 18:00,Bruk-Bet T.,Wisła Kraków,58%,42%,17,6,6,5,11,1,5,4,0,2,2,3,11,8,2,1,94,100,61,36,,,,,,,3,3
161,2017-2018,17,26.11.2017 18:00,Śląsk Wrocław,Zagłębie Lubin,47%,53%,12,13,4,2,8,11,3,7,1,2,2,3,19,19,1,3,79,94,40,74,,,,,,,1,0
162,2017-2018,17,26.11.2017 15:30,Lech Poznań,Wisła Płock,51%,49%,7,5,5,2,2,3,4,4,2,3,1,3,21,20,1,2,138,105,70,72,,,,,,,2,1
163,2017-2018,17,25.11.2017 20:30,Korona Kielce,Legia Warszawa,50%,50%,12,10,8,4,4,6,6,5,3,4,2,5,16,12,2,1,40,50,32,41,,,,,,,3,2
164,2017-2018,17,25.11.2017 18:00,Arka Gdynia,Sandecja Nowy Sącz,60%,40%,13,12,9,3,4,9,3,4,0,3,3,4,22,10,,,109,106,55,59,,,,,,,5,0
165,2017-2018,17,25.11.2017 16:00,Pogoń Szczecin,Piast Gliwice,57%,43%,15,4,7,2,8,2,3,1,5,1,0,5,18,9,2,1,127,111,77,43,,,,,,,2,2
166,2017-2018,17,24.11.2017 20:30,Górnik Zabrze,Jagiellonia Białystok,59%,41%,15,9,6,4,9,5,4,0,4,2,3,3,12,16,0,1,112,104,85,65,,,,,,,3,1
167,2017-2018,17,24.11.2017 18:00,Cracovia,Lechia Gdańsk,48%,52%,15,11,9,6,6,5,6,5,0,2,5,7,14,23,4,5,78,105,53,43,0,1,,,,,2,1
168,2017-2018,16,20.11.2017 18:00,Zagłębie Lubin,Korona Kielce,37%,63%,5,8,1,3,4,5,5,4,3,3,3,1,22,15,5,0,,,,,1,0,,,,,0,0
169,2017-2018,16,19.11.2017 18:00,Legia Warszawa,Górnik Zabrze,66%,34%,17,8,8,3,9,5,14,8,1,6,3,7,12,15,1,3,99,83,75,51,,,,,,,1,0
170,2017-2018,16,19.11.2017 15:30,Śląsk Wrocław,Arka Gdynia,60%,40%,19,9,7,4,12,5,8,6,7,1,2,6,13,23,4,2,97,70,79,42,1,0,,,,,1,2
171,2017-2018,16,18.11.2017 20:30,Lechia Gdańsk,Wisła Płock,52%,48%,11,6,6,1,5,5,6,5,1,1,1,3,19,15,1,3,0,0,0,0,0,1,,,,,3,0
172,2017-2018,16,18.11.2017 18:00,Sandecja Nowy Sącz,Lech Poznań,32%,68%,7,8,1,1,6,7,2,10,1,2,1,1,20,15,4,1,72,114,33,56,,,,,,,0,0
173,2017-2018,16,18.11.2017 15:30,Piast Gliwice,Cracovia,46%,54%,11,13,5,4,6,9,0,6,2,2,4,4,12,13,1,0,,,,,,,,,,,1,0
174,2017-2018,16,17.11.2017 20:30,Wisła Kraków,Pogoń Szczecin,61%,39%,15,10,4,3,11,7,11,5,3,2,3,3,11,13,2,2,109,94,64,49,0,1,,,,,1,0
175,2017-2018,16,17.11.2017 18:00,Jagiellonia Białystok,Bruk-Bet T.,59%,41%,14,11,2,1,12,10,5,5,2,0,1,2,12,10,0,2,154,134,83,58,,,,,,,0,0
176,2017-2018,15,05.11.2017 18:00,Pogoń Szczecin,Legia Warszawa,46%,54%,14,13,6,7,8,6,9,8,11,4,4,5,6,1,4,0,109,109,78,60,,,,,,,1,3
177,2017-2018,15,05.11.2017 15:30,Bruk-Bet T.,Piast Gliwice,55%,45%,9,10,4,5,5,5,7,1,2,1,4,2,25,16,1,3,114,111,71,50,,,,,,,2,1
178,2017-2018,15,05.11.2017 15:30,Zagłębie Lubin,Cracovia,60%,40%,12,12,3,6,9,6,4,3,2,1,4,2,13,14,1,1,157,114,79,58,,,,,,,1,2
179,2017-2018,15,04.11.2017 20:30,Górnik Zabrze,Lech Poznań,34%,66%,13,16,9,4,4,12,2,7,5,1,3,6,17,13,3,0,84,132,53,75,,,,,,,3,1
180,2017-2018,15,04.11.2017 18:00,Wisła Kraków,Sandecja Nowy Sącz,57%,43%,16,16,10,3,6,13,2,4,3,1,4,7,18,13,4,2,91,85,49,67,,,,,,,3,0
181,2017-2018,15,04.11.2017 15:30,Wisła Płock,Jagiellonia Białystok,50%,50%,11,10,3,5,8,5,4,4,2,3,3,2,16,15,3,2,96,93,62,47,,,,,,,1,2
182,2017-2018,15,03.11.2017 20:30,Arka Gdynia,Lechia Gdańsk,37%,63%,7,8,1,5,6,3,1,3,2,3,4,1,20,18,4,3,102,144,58,70,,,,,,,0,1
183,2017-2018,15,03.11.2017 18:00,Korona Kielce,Śląsk Wrocław,57%,43%,15,5,7,2,8,3,9,2,2,2,2,4,13,17,1,0,120,99,76,51,,,,,,,3,0
184,2017-2018,14,30.10.2017 18:00,Lechia Gdańsk,Korona Kielce,53%,47%,10,8,1,7,9,1,8,5,5,2,2,1,13,13,2,0,100,90,71,73,,,,,,,0,5
185,2017-2018,14,29.10.2017 18:00,Legia Warszawa,Arka Gdynia,63%,37%,14,11,5,3,9,8,7,7,1,5,3,3,7,15,2,0,85,76,53,54,,,,,,,2,0
186,2017-2018,14,29.10.2017 15:30,Jagiellonia Białystok,Zagłębie Lubin,42%,58%,12,10,5,2,7,8,4,9,0,2,1,2,15,10,3,1,95,106,52,62,,,,,,,3,1
187,2017-2018,14,28.10.2017 20:30,Sandecja Nowy Sącz,Górnik Zabrze,53%,47%,8,12,5,6,3,6,8,1,3,0,4,4,23,18,4,2,97,84,54,47,1,0,,,,,1,2
188,2017-2018,14,28.10.2017 18:00,Cracovia,Bruk-Bet T.,46%,54%,12,12,4,3,8,9,7,2,3,2,2,3,10,21,1,3,93,96,62,50,,,,,,,1,1
189,2017-2018,14,28.10.2017 15:30,Piast Gliwice,Wisła Płock,42%,58%,16,9,5,2,11,7,4,4,1,0,1,3,16,12,2,3,70,79,45,53,,,,,,,2,1
190,2017-2018,14,27.10.2017 20:30,Lech Poznań,Wisła Kraków,62%,38%,26,4,9,3,17,1,12,5,3,0,2,8,7,15,1,0,148,96,121,31,,,,,,,1,1
191,2017-2018,14,27.10.2017 18:00,Śląsk Wrocław,Pogoń Szczecin,43%,57%,8,18,3,9,5,9,0,6,1,2,9,0,14,12,2,2,100,136,60,88,0,1,,,,,3,0
192,2017-2018,13,23.10.2017 18:00,Wisła Płock,Śląsk Wrocław,55%,45%,20,10,9,3,11,7,8,3,1,0,2,5,16,14,3,4,148,120,76,44,0,1,,,,,4,1
193,2017-2018,13,22.10.2017 18:00,Wisła Kraków,Legia Warszawa,58%,42%,7,11,4,2,3,9,6,4,5,0,1,4,16,16,3,3,91,85,73,45,,,,,,,0,1
194,2017-2018,13,22.10.2017 15:30,Arka Gdynia,Jagiellonia Białystok,29%,71%,15,19,5,6,10,13,7,5,3,2,5,1,23,6,0,3,58,94,43,74,,,,,,,4,1
195,2017-2018,13,21.10.2017 20:30,Lechia Gdańsk,Lech Poznań,39%,61%,7,10,3,5,4,5,3,5,1,1,2,0,9,17,0,4,98,118,50,61,1,1,,,,,3,3
196,2017-2018,13,21.10.2017 18:00,Pogoń Szczecin,Bruk-Bet T.,51%,49%,20,19,8,7,12,12,7,6,1,1,4,6,8,10,3,3,110,117,74,67,,,,,,,2,3
197,2017-2018,13,21.10.2017 15:30,Sandecja Nowy Sącz,Cracovia,53%,47%,14,12,2,4,12,8,5,4,2,1,3,1,17,12,3,2,90,74,60,67,1,0,,,,,1,1
198,2017-2018,13,20.10.2017 20:30,Górnik Zabrze,Korona Kielce,38%,62%,8,23,4,7,4,16,3,2,2,5,4,1,13,9,2,2,82,117,45,72,,,,,,,3,3
199,2017-2018,13,20.10.2017 18:00,Zagłębie Lubin,Piast Gliwice,45%,55%,13,13,4,3,9,10,6,5,0,0,1,2,7,16,1,0,91,96,55,48,,,,,,,2,2
200,2017-2018,12,16.10.2017 18:00,Cracovia,Pogoń Szczecin,46%,54%,13,18,6,5,7,13,7,3,1,5,5,3,17,9,1,1,103,135,66,87,,,,,,,3,0
201,2017-2018,12,15.10.2017 18:00,Legia Warszawa,Lechia Gdańsk,43%,57%,10,11,5,5,5,6,5,7,3,4,5,4,15,15,3,2,87,121,39,93,,,,,,,1,0
202,2017-2018,12,15.10.2017 15:30,Zagłębie Lubin,Górnik Zabrze,48%,52%,10,18,6,8,4,10,1,11,3,4,6,3,14,15,2,3,92,86,44,78,,,,,,,3,2
203,2017-2018,12,14.10.2017 20:30,Śląsk Wrocław,Wisła Kraków,56%,44%,13,13,4,5,9,8,5,5,2,3,3,4,12,14,5,1,103,89,79,49,,,,,,,0,2
204,2017-2018,12,14.10.2017 18:00,Bruk-Bet T.,Arka Gdynia,48%,52%,9,16,2,2,7,14,3,16,3,2,1,1,21,18,2,2,79,82,44,64,,,,,,,1,1
205,2017-2018,12,14.10.2017 15:30,Piast Gliwice,Sandecja Nowy Sącz,48%,52%,16,11,8,3,8,8,9,3,2,0,2,6,17,15,1,1,99,105,73,52,,,,,,,2,2
206,2017-2018,12,13.10.2017 20:30,Jagiellonia Białystok,Lech Poznań,57%,43%,14,10,8,6,6,4,6,4,0,5,5,7,14,9,1,2,63,46,40,22,,,,,,,1,1
207,2017-2018,12,13.10.2017 18:00,Korona Kielce,Wisła Płock,51%,49%,11,15,6,5,5,10,4,5,3,3,5,4,14,15,2,4,113,108,60,73,,,,,,,2,0
208,2017-2018,11,01.10.2017 18:00,Lech Poznań,Legia Warszawa,40%,60%,14,6,5,1,9,5,10,4,3,0,1,2,14,14,3,3,94,110,53,54,,,,,,,3,0
209,2017-2018,11,01.10.2017 15:30,Górnik Zabrze,Piast Gliwice,53%,47%,15,9,6,1,9,8,2,2,4,2,1,5,13,21,1,2,19,19,12,12,0,1,,,,,1,0
210,2017-2018,11,01.10.2017 15:30,Wisła Płock,Bruk-Bet T.,41%,59%,7,9,1,2,6,7,4,4,0,4,2,1,16,15,1,3,19,19,12,12,,,,,0,5,1,0
211,2017-2018,11,30.09.2017 20:30,Wisła Kraków,Jagiellonia Białystok,50%,50%,10,8,3,1,7,7,6,2,4,0,1,3,12,9,2,4,104,116,45,42,,,,,,,0,0
212,2017-2018,11,30.09.2017 18:00,Pogoń Szczecin,Korona Kielce,53%,47%,13,9,4,3,9,6,9,1,2,3,3,4,18,16,3,3,102,105,68,54,,,,,,,0,0
213,2017-2018,11,30.09.2017 15:30,Lechia Gdańsk,Zagłębie Lubin,48%,52%,9,10,3,4,6,6,2,7,0,0,4,2,19,7,0,1,93,112,42,65,,,,,,,1,0
214,2017-2018,11,29.09.2017 20:30,Arka Gdynia,Cracovia,56%,44%,19,12,5,3,14,9,9,4,0,3,2,4,23,8,4,2,85,93,72,42,,,,,,,1,1
215,2017-2018,11,29.09.2017 18:00,Sandecja Nowy Sącz,Śląsk Wrocław,47%,53%,12,10,5,5,7,5,3,6,3,7,4,4,15,24,2,1,123,111,80,61,,,,,,,1,1
216,2017-2018,10,25.09.2017 18:00,Cracovia,Wisła Płock,41%,59%,14,12,7,8,7,4,3,7,1,2,5,6,11,16,2,2,122,106,74,52,,,,,,,1,3
217,2017-2018,10,24.09.2017 18:00,Jagiellonia Białystok,Legia Warszawa,41%,59%,10,14,5,4,5,10,5,3,4,3,4,4,11,8,2,0,74,105,42,53,,,,,,,1,0
218,2017-2018,10,24.09.2017 15:30,Zagłębie Lubin,Sandecja Nowy Sącz,53%,47%,22,8,8,3,14,5,7,4,0,0,3,7,12,16,1,4,120,112,89,65,,,,,,,1,0
219,2017-2018,10,23.09.2017 20:30,Korona Kielce,Wisła Kraków,55%,45%,15,4,5,1,10,3,8,5,0,1,0,3,13,16,1,2,98,87,71,54,,,,,,,2,1
220,2017-2018,10,23.09.2017 18:00,Pogoń Szczecin,Górnik Zabrze,71%,29%,20,13,10,4,10,9,8,6,3,2,2,9,15,11,2,3,144,80,97,56,0,1,,,,,1,2
221,2017-2018,10,23.09.2017 15:30,Bruk-Bet T.,Lechia Gdańsk,44%,56%,11,9,3,6,8,3,4,3,3,3,5,1,15,18,2,1,105,129,42,54,0,1,,,,,2,1
222,2017-2018,10,22.09.2017 20:30,Śląsk Wrocław,Lech Poznań,43%,57%,16,2,6,1,10,1,3,5,2,2,1,4,11,22,4,3,11,15,9,9,,,,,,,2,0
223,2017-2018,10,22.09.2017 18:00,Piast Gliwice,Arka Gdynia,66%,34%,10,12,2,2,8,10,3,3,2,0,1,2,11,13,3,1,134,103,66,55,,,,,,,0,1
224,2017-2018, 9,18.09.2017 18:00,Lechia Gdańsk,Jagiellonia Białystok,63%,37%,10,9,5,4,5,5,5,5,2,3,1,2,19,14,3,2,129,112,93,63,,,,,,,3,3
225,2017-2018, 9,17.09.2017 18:00,Legia Warszawa,Cracovia,67%,33%,9,8,4,1,5,7,4,7,2,3,1,3,7,5,1,2,133,97,94,77,,,,,,,1,0
226,2017-2018, 9,17.09.2017 15:30,Sandecja Nowy Sącz,Bruk-Bet T.,45%,55%,12,9,7,3,5,6,7,6,1,0,3,6,14,18,3,3,112,119,80,80,0,1,,,,,1,0
227,2017-2018, 9,16.09.2017 20:30,Wisła Kraków,Piast Gliwice,51%,49%,11,13,6,5,5,8,3,5,2,1,5,4,6,16,2,3,147,103,74,59,,,,,,,2,0
228,2017-2018, 9,16.09.2017 18:00,Górnik Zabrze,Śląsk Wrocław,40%,60%,19,11,11,3,8,8,7,1,4,1,2,9,15,16,1,2,102,102,59,49,,,,,,,2,2
229,2017-2018, 9,16.09.2017 15:30,Wisła Płock,Pogoń Szczecin,43%,57%,14,6,6,1,8,5,6,3,1,1,0,3,13,18,3,4,99,114,64,55,,,,,,,3,1
230,2017-2018, 9,15.09.2017 20:30,Lech Poznań,Korona Kielce,53%,47%,11,15,2,6,9,9,6,6,1,0,6,1,16,22,2,4,109,102,46,59,,,,,,,1,0
231,2017-2018, 9,15.09.2017 18:00,Arka Gdynia,Zagłębie Lubin,36%,64%,10,11,3,5,7,6,2,5,0,2,4,2,21,16,3,1,117,119,84,75,,,,,,,1,1
232,2017-2018, 8,11.09.2017 18:00,Piast Gliwice,Lechia Gdańsk,51%,49%,10,7,5,5,5,2,5,5,4,2,3,4,20,16,1,6,94,88,76,64,0,1,,,,,1,2
233,2017-2018, 8,10.09.2017 18:00,Pogoń Szczecin,Lech Poznań,61%,39%,11,3,4,1,7,2,4,1,4,4,1,4,21,14,3,2,121,105,71,42,,,,,,,0,0
234,2017-2018, 8,10.09.2017 15:30,Bruk-Bet T.,Górnik Zabrze,66%,34%,12,15,3,8,9,7,8,11,2,4,6,2,14,6,,,91,108,59,72,,,,,,,1,2
235,2017-2018, 8,09.09.2017 20:30,Cracovia,Jagiellonia Białystok,41%,59%,7,16,3,4,4,12,7,8,5,2,3,2,9,11,1,3,116,119,57,76,,,,,,,1,1
236,2017-2018, 8,09.09.2017 18:00,Śląsk Wrocław,Legia Warszawa,60%,40%,16,7,5,2,11,5,7,1,4,3,1,3,12,13,0,1,71,64,41,38,,,,,,,2,1
237,2017-2018, 8,09.09.2017 15:30,Korona Kielce,Sandecja Nowy Sącz,61%,39%,19,5,6,1,13,4,6,3,5,3,1,5,12,18,2,1,90,71,63,34,,,,,,,1,0
238,2017-2018, 8,08.09.2017 20:30,Arka Gdynia,Wisła Kraków,43%,57%,16,12,6,7,10,5,5,5,0,3,6,3,24,13,4,2,110,102,66,52,,,,,,,3,1
239,2017-2018, 8,08.09.2017 18:00,Zagłębie Lubin,Wisła Płock,55%,45%,14,17,3,4,11,13,3,4,1,0,2,1,10,9,3,2,146,114,76,67,,,,,,,2,2
240,2017-2018, 7,27.08.2017 18:00,Legia Warszawa,Zagłębie Lubin,43%,57%,9,10,4,4,5,6,3,5,0,0,3,2,8,9,3,3,79,100,48,61,1,0,,,,,2,1
241,2017-2018, 7,27.08.2017 15:30,Lech Poznań,Arka Gdynia,48%,52%,8,13,6,3,2,10,6,4,1,1,3,3,10,11,1,2,68,58,68,62,1,0,,,,,3,0
242,2017-2018, 7,27.08.2017 15:30,Sandecja Nowy Sącz,Pogoń Szczecin,46%,54%,9,9,4,4,5,5,4,6,1,4,3,2,22,11,5,3,105,105,55,52,,,,,,,2,1
243,2017-2018, 7,26.08.2017 20:30,Wisła Kraków,Lechia Gdańsk,42%,58%,10,9,7,6,3,3,6,3,4,0,5,6,21,20,4,4,71,81,72,67,,,,,,,1,1
244,2017-2018, 7,26.08.2017 18:00,Jagiellonia Białystok,Piast Gliwice,64%,36%,20,13,5,6,15,7,5,3,4,1,5,5,7,13,1,2,101,66,51,35,,,,,,,0,1
245,2017-2018, 7,26.08.2017 15:30,Korona Kielce,Bruk-Bet T.,46%,54%,13,13,7,3,6,10,4,4,1,1,2,5,12,14,0,4,101,109,70,72,,,,,,,2,1
246,2017-2018, 7,25.08.2017 20:30,Śląsk Wrocław,Cracovia,65%,35%,17,10,8,4,9,6,5,4,1,0,3,6,16,12,1,5,120,98,63,49,,,,,,,2,1
247,2017-2018, 7,25.08.2017 18:00,Górnik Zabrze,Wisła Płock,44%,56%,15,11,7,6,8,5,8,7,3,1,6,3,17,12,0,4,97,124,61,63,0,1,,,,,4,0
248,2017-2018, 6,21.08.2017 18:00,Zagłębie Lubin,Wisła Kraków,41%,59%,13,16,6,7,7,9,4,6,1,2,7,3,15,10,1,1,103,109,46,72,,,,,,,3,0
249,2017-2018, 6,20.08.2017 18:00,Bruk-Bet T.,Lech Poznań,44%,56%,7,14,1,4,6,10,2,2,2,2,1,1,14,6,3,2,93,87,48,75,,,,,,,1,3
250,2017-2018, 6,20.08.2017 15:30,Wisła Płock,Legia Warszawa,63%,37%,9,10,3,5,6,5,8,1,1,1,4,3,19,14,0,2,90,70,41,39,,,,,,,0,1
251,2017-2018, 6,19.08.2017 20:30,Jagiellonia Białystok,Śląsk Wrocław,50%,50%,11,8,4,2,7,6,5,6,5,0,1,3,13,14,3,3,102,93,86,59,,,,,,,1,1
252,2017-2018, 6,19.08.2017 18:00,Piast Gliwice,Korona Kielce,38%,62%,11,11,6,1,5,10,4,6,4,1,1,4,18,12,4,4,86,125,42,80,,,,,,,2,0
253,2017-2018, 6,19.08.2017 15:30,Arka Gdynia,Pogoń Szczecin,39%,61%,7,8,2,3,5,5,4,3,2,1,2,2,11,13,2,3,94,102,50,48,,,,,,,0,3
254,2017-2018, 6,18.08.2017 20:30,Cracovia,Górnik Zabrze,51%,49%,17,19,7,12,10,7,3,7,0,1,9,4,15,19,3,7,0,0,0,0,0,1,,,,,3,3
255,2017-2018, 6,18.08.2017 18:00,Lechia Gdańsk,Sandecja Nowy Sącz,65%,35%,18,12,5,4,13,8,9,4,2,0,1,3,14,17,2,3,149,115,102,76,,,,,,,2,3
256,2017-2018, 5,15.08.2017 15:30,Śląsk Wrocław,Bruk-Bet T.,48%,52%,9,12,7,6,2,6,5,6,4,3,5,6,11,14,1,0,,,,,,,,,,,1,1
257,2017-2018, 5,14.08.2017 18:00,Pogoń Szczecin,Lechia Gdańsk,56%,44%,12,7,5,2,7,5,12,3,5,3,2,5,13,19,4,1,0,0,0,0,,,,,,,0,0
258,2017-2018, 5,13.08.2017 18:00,Korona Kielce,Jagiellonia Białystok,55%,45%,15,9,5,5,10,4,1,4,3,3,2,3,14,15,0,4,0,0,0,0,,,,,,,2,3
259,2017-2018, 5,13.08.2017 15:30,Górnik Zabrze,Arka Gdynia,46%,54%,12,13,6,4,6,9,6,9,2,1,3,5,15,19,1,3,0,0,0,0,,,,,,,1,1
260,2017-2018, 5,12.08.2017 20:30,Wisła Kraków,Cracovia,59%,41%,12,15,4,5,8,10,6,3,2,1,4,2,20,13,1,3,0,0,0,0,0,1,,,,,2,1
261,2017-2018, 5,12.08.2017 18:00,Lech Poznań,Zagłębie Lubin,55%,45%,12,9,4,3,8,6,6,5,0,1,2,3,10,15,2,1,0,0,0,0,,,,,,,1,1
262,2017-2018, 5,12.08.2017 15:30,Sandecja Nowy Sącz,Wisła Płock,53%,47%,10,10,1,4,9,6,7,3,0,0,3,1,16,19,3,2,0,0,0,0,,,,,,,0,1
263,2017-2018, 5,11.08.2017 20:30,Legia Warszawa,Piast Gliwice,58%,42%,10,7,5,3,5,4,7,5,1,1,2,2,19,12,2,4,0,0,0,0,,,,,,,3,1
264,2017-2018, 4,07.08.2017 18:00,Arka Gdynia,Korona Kielce,42%,58%,10,17,1,6,9,11,2,5,1,1,6,1,19,13,4,1,0,0,0,0,1,0,,,,,0,0
265,2017-2018, 4,06.08.2017 18:00,Cracovia,Lech Poznań,40%,60%,8,10,1,5,7,5,3,4,1,1,3,1,11,12,2,4,0,0,0,0,,,,,,,0,2
