,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
31,2016-2017,34,16.05.2017 18:00,Górnik Łęczna,Cracovia,47%,53%,19,10,6,2,13,8,8,5,3,3,2,3,9,12,,,3,1,,,,,,,3,0
32,2016-2017,33,14.05.2017 18:00,Legia Warszawa,Bruk-Bet T.,52%,48%,19,13,9,2,10,11,7,7,3,1,2,3,13,10,,,0,2,,,,,,,6,0
33,2016-2017,33,14.05.2017 15:30,Lech Poznań,Pogoń Szczecin,47%,53%,25,6,10,2,15,4,6,5,0,1,2,8,11,14,,,1,1,,,,,,,2,0
34,2016-2017,33,14.05.2017 15:30,Lechia Gdańsk,Korona Kielce,53%,47%,19,9,5,3,14,6,9,7,2,3,3,5,13,19,,,3,3,,,,,,,0,0
35,2016-2017,33,13.05.2017 20:30,Wisła Płock,Cracovia,47%,53%,15,15,3,6,12,9,8,2,4,0,5,2,12,15,,,1,2,,,,,,,1,1
36,2016-2017,33,13.05.2017 18:00,Śląsk Wrocław,Ruch Chorzów,61%,39%,25,8,11,3,14,5,4,3,0,0,3,5,15,5,,,1,1,,,,,,,6,0
37,2016-2017,33,13.05.2017 15:30,Jagiellonia Białystok,Wisła Kraków,41%,59%,12,5,3,0,9,5,5,3,2,3,0,1,14,16,,,1,1,,,,,,,2,0
38,2016-2017,33,12.05.2017 20:30,Arka Gdynia,Górnik Łęczna,55%,45%,13,5,5,0,8,5,2,2,0,0,0,4,21,14,,,0,3,,,,,,,1,0
39,2016-2017,33,12.05.2017 18:00,Zagłębie Lubin,Piast Gliwice,52%,48%,11,14,3,5,8,9,6,3,0,2,4,0,23,15,,,4,1,,,,,,,3,1
40,2016-2017,32,08.05.2017 18:00,Cracovia,Arka Gdynia,57%,43%,16,8,7,3,9,5,5,5,1,2,3,5,15,20,,,1,2,,,,,,,2,0
41,2016-2017,32,07.05.2017 18:00,Pogoń Szczecin,Legia Warszawa,52%,48%,12,15,3,4,9,11,2,5,1,5,2,3,13,11,1,0,0,2,,,,,,,0,2
