,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
137,2016-2017,20,18.12.2016 18:00,Legia Warszawa,Górnik Łęczna,60%,40%,14,16,5,6,9,10,2,8,2,5,6,0,8,7,,,2,1,,,,,,,5,0
138,2016-2017,20,18.12.2016 15:30,Śląsk Wrocław,Arka Gdynia,57%,43%,10,16,2,6,8,10,2,8,1,2,4,2,19,10,,,2,1,,,,,,,0,2
139,2016-2017,20,17.12.2016 20:30,Cracovia,Lech Poznań,46%,54%,11,15,6,6,5,9,5,10,1,0,5,5,12,10,,,1,1,,,,,,,1,1
140,2016-2017,20,17.12.2016 18:00,Jagiellonia Białystok,Wisła Płock,59%,41%,16,7,4,3,12,4,1,2,1,1,1,3,12,8,,,3,1,,,,,,,1,2
141,2016-2017,20,17.12.2016 15:30,Korona Kielce,Lechia Gdańsk,51%,49%,15,9,6,4,9,5,4,9,1,2,4,4,13,15,,,2,3,,,,,,,2,0
142,2016-2017,20,16.12.2016 20:30,Ruch Chorzów,Wisła Kraków,51%,49%,21,9,8,2,6,5,8,1,0,2,2,7,12,16,,,3,1,,,7,2,,,1,0
143,2016-2017,20,16.12.2016 18:00,Bruk-Bet T.,Pogoń Szczecin,40%,60%,8,15,3,3,5,12,5,3,0,1,3,1,20,12,,,1,3,,,,,,,2,0
144,2016-2017,19,12.12.2016 18:00,Arka Gdynia,Jagiellonia Białystok,50%,50%,17,7,5,3,12,4,8,1,0,0,1,3,9,15,,,1,2,,,,,,,2,3
145,2016-2017,19,11.12.2016 18:00,Piast Gliwice,Legia Warszawa,55%,45%,19,14,5,8,14,6,11,5,2,3,3,4,15,8,,,2,1,,,,,,,1,5
146,2016-2017,19,11.12.2016 15:30,Lech Poznań,Korona Kielce,59%,41%,25,16,5,5,20,11,4,7,2,1,5,4,12,18,,,3,1,,,,,,,1,0
147,2016-2017,19,10.12.2016 20:30,Wisła Kraków,Cracovia,46%,54%,7,16,2,3,5,13,7,3,3,1,2,1,17,23,,,1,4,,,,,,,1,1
148,2016-2017,19,10.12.2016 18:00,Wisła Płock,Ruch Chorzów,46%,54%,14,17,7,9,7,8,7,5,1,3,6,3,18,8,,,4,0,,,,,,,4,3
149,2016-2017,19,10.12.2016 15:30,Górnik Łęczna,Bruk-Bet T.,56%,44%,11,12,6,4,5,8,2,5,2,4,4,3,8,15,,,2,2,,,,,,,3,0
150,2016-2017,19,09.12.2016 20:30,Lechia Gdańsk,Śląsk Wrocław,63%,37%,12,7,5,3,7,4,8,2,1,1,3,2,19,19,,,2,0,,,,,,,3,0
151,2016-2017,19,09.12.2016 18:00,Pogoń Szczecin,Zagłębie Lubin,57%,43%,9,11,2,5,7,6,3,5,2,2,4,1,14,16,,,1,3,,,,,,,1,1
152,2016-2017,18,05.12.2016 18:00,Ruch Chorzów,Arka Gdynia,58%,42%,9,11,2,3,7,8,4,3,2,2,1,1,15,23,,,0,2,,,,,,,1,2
153,2016-2017,18,04.12.2016 18:00,Jagiellonia Białystok,Lech Poznań,46%,54%,17,10,4,2,13,8,3,0,2,0,1,2,14,15,,,2,2,,,,,,,2,1
154,2016-2017,18,04.12.2016 15:30,Cracovia,Górnik Łęczna,60%,40%,31,6,10,1,21,5,6,1,1,2,1,9,13,14,,,2,1,,,,,,,1,1
155,2016-2017,18,03.12.2016 20:30,Wisła Kraków,Lechia Gdańsk,39%,61%,14,14,7,4,7,10,5,6,1,2,4,4,25,16,,,0,2,,,,,,,3,0
156,2016-2017,18,03.12.2016 18:00,Śląsk Wrocław,Pogoń Szczecin,44%,56%,9,18,3,6,4,10,5,1,2,2,5,2,15,17,,,2,1,,,2,2,,,1,1
157,2016-2017,18,03.12.2016 15:30,Piast Gliwice,Korona Kielce,49%,51%,18,16,7,5,11,11,8,2,1,1,5,6,16,18,,,3,5,,,,,,,1,0
158,2016-2017,18,02.12.2016 20:30,Legia Warszawa,Wisła Płock,59%,41%,14,11,7,7,7,4,5,4,1,1,5,5,10,20,,,1,1,,,,,,,2,2
159,2016-2017,18,02.12.2016 18:00,Bruk-Bet T.,Zagłębie Lubin,58%,42%,13,13,1,6,12,7,10,6,3,1,5,1,10,17,,,2,2,,,,,,,0,1
160,2016-2017,17,28.11.2016 18:00,Lechia Gdańsk,Górnik Łęczna,55%,45%,21,10,6,3,15,7,7,5,1,1,3,3,18,15,,,0,2,,,,,,,3,0
161,2016-2017,17,27.11.2016 18:00,Śląsk Wrocław,Legia Warszawa,43%,57%,9,16,1,9,8,7,7,9,2,1,5,1,20,11,1,0,2,2,,,,,,,0,4
162,2016-2017,17,27.11.2016 15:30,Wisła Płock,Piast Gliwice,47%,53%,16,19,1,2,15,17,1,3,0,0,2,1,9,12,,,1,3,,,,,,,0,0
163,2016-2017,17,26.11.2016 20:30,Wisła Kraków,Arka Gdynia,54%,46%,15,9,9,2,6,7,1,5,0,0,1,4,17,8,,,1,1,,,,,,,5,1
164,2016-2017,17,26.11.2016 18:00,Ruch Chorzów,Jagiellonia Białystok,56%,44%,10,10,7,3,3,7,4,2,0,1,1,6,11,11,,,2,0,,,,,,,1,2
165,2016-2017,17,26.11.2016 15:30,Korona Kielce,Pogoń Szczecin,41%,59%,14,19,5,6,9,13,6,5,3,0,5,1,15,12,,,3,4,,,,,,,4,1
166,2016-2017,17,25.11.2016 20:30,Zagłębie Lubin,Lech Poznań,50%,50%,17,14,6,10,11,4,7,8,0,1,7,6,11,8,,,4,1,,,,,,,0,3
167,2016-2017,17,25.11.2016 18:00,Cracovia,Bruk-Bet T.,67%,33%,17,9,5,4,12,5,9,5,1,2,1,4,10,11,,,2,1,,,,,,,1,3
168,2016-2017,16,21.11.2016 18:00,Korona Kielce,Zagłębie Lubin,51%,49%,18,12,6,4,12,8,5,3,4,0,3,4,16,19,,,2,4,,,,,,,2,1
169,2016-2017,16,20.11.2016 18:00,Lech Poznań,Śląsk Wrocław,50%,50%,12,13,5,2,7,11,3,4,1,2,2,2,16,17,,,0,1,,,,,,,3,0
170,2016-2017,16,20.11.2016 15:30,Arka Gdynia,Bruk-Bet T.,54%,46%,8,13,3,6,5,7,4,5,0,0,3,2,14,27,1,0,1,1,,,,,,,1,3
171,2016-2017,16,19.11.2016 20:30,Lechia Gdańsk,Wisła Płock,65%,35%,26,13,9,6,17,7,6,7,1,2,5,7,14,24,,,5,5,,,,,,,2,1
172,2016-2017,16,19.11.2016 18:00,Pogoń Szczecin,Wisła Kraków,57%,43%,16,11,9,3,7,8,5,1,1,2,1,3,9,13,,,1,2,,,,,,,6,2
173,2016-2017,16,19.11.2016 15:30,Górnik Łęczna,Ruch Chorzów,46%,54%,8,11,1,8,7,3,4,6,4,0,4,1,12,13,1,0,0,2,,,,,,,0,4
174,2016-2017,16,18.11.2016 20:30,Jagiellonia Białystok,Legia Warszawa,41%,59%,8,10,2,7,6,3,5,2,2,1,3,1,16,12,,,2,1,,,,,,,1,4
175,2016-2017,16,18.11.2016 18:00,Piast Gliwice,Cracovia,48%,52%,10,16,3,10,7,6,1,8,2,1,8,1,14,18,,,0,5,,,,,,,2,2
176,2016-2017,15,06.11.2016 18:00,Legia Warszawa,Cracovia,46%,54%,11,14,6,4,5,10,7,6,6,0,4,4,11,13,,,1,2,,,,,,,2,0
177,2016-2017,15,06.11.2016 15:30,Śląsk Wrocław,Zagłębie Lubin,51%,49%,19,14,6,3,13,11,4,3,1,5,2,4,6,18,,,2,2,,,,,,,2,1
178,2016-2017,15,06.11.2016 15:30,Wisła Kraków,Górnik Łęczna,51%,49%,13,10,8,5,5,5,10,3,4,1,3,5,15,14,0,1,2,4,,,,,,,3,2
179,2016-2017,15,05.11.2016 20:30,Lechia Gdańsk,Pogoń Szczecin,54%,46%,13,7,6,3,7,4,6,2,4,3,2,5,13,15,,,2,3,,,,,,,1,1
180,2016-2017,15,05.11.2016 18:00,Jagiellonia Białystok,Piast Gliwice,50%,50%,24,8,9,1,15,7,8,2,2,2,1,7,16,14,,,0,1,,,,,,,2,0
181,2016-2017,15,05.11.2016 15:30,Bruk-Bet T.,Korona Kielce,46%,54%,11,18,3,5,8,13,3,7,0,2,2,2,11,16,1,0,0,2,,,,,,,1,3
182,2016-2017,15,04.11.2016 20:30,Ruch Chorzów,Lech Poznań,45%,55%,8,23,2,9,6,14,4,9,0,1,4,2,7,13,,,1,1,,,,,,,0,5
183,2016-2017,15,04.11.2016 18:00,Wisła Płock,Arka Gdynia,59%,41%,18,10,6,0,12,10,10,2,0,0,0,6,20,16,,,1,5,,,,,,,0,0
184,2016-2017,14,31.10.2016 18:00,Zagłębie Lubin,Wisła Kraków,55%,45%,19,14,5,4,14,10,8,5,3,2,2,3,13,12,,,2,2,,,,,,,2,2
185,2016-2017,14,30.10.2016 18:00,Arka Gdynia,Lechia Gdańsk,37%,63%,7,12,2,3,5,9,0,3,4,1,2,1,17,17,0,1,1,2,,,,,,,1,1
186,2016-2017,14,30.10.2016 15:30,Cracovia,Jagiellonia Białystok,58%,42%,13,18,5,8,8,10,4,6,3,0,5,4,14,13,1,0,3,1,,,,,,,1,3
187,2016-2017,14,29.10.2016 20:30,Lech Poznań,Wisła Płock,58%,42%,24,10,8,3,16,7,6,6,0,2,3,6,9,10,0,1,1,2,,,,,,,2,0
188,2016-2017,14,29.10.2016 18:00,Pogoń Szczecin,Ruch Chorzów,59%,41%,21,5,8,2,13,3,3,2,4,3,1,6,16,10,,,2,2,,,,,,,2,1
189,2016-2017,14,29.10.2016 15:30,Górnik Łęczna,Śląsk Wrocław,55%,45%,24,13,5,7,19,6,6,1,0,4,4,5,12,18,,,1,2,,,,,,,0,3
190,2016-2017,14,28.10.2016 20:30,Korona Kielce,Legia Warszawa,32%,68%,15,18,7,12,8,6,3,7,4,2,8,5,14,12,1,1,5,2,,,,,,,2,4
191,2016-2017,14,28.10.2016 18:00,Piast Gliwice,Bruk-Bet T.,53%,47%,13,20,3,3,10,17,5,7,2,0,2,1,24,19,,,3,2,,,,,,,2,1
192,2016-2017,13,24.10.2016 18:00,Ruch Chorzów,Korona Kielce,54%,46%,18,12,7,2,11,10,9,4,1,5,2,3,15,19,,,2,3,,,,,,,4,0
193,2016-2017,13,23.10.2016 18:00,Jagiellonia Białystok,Zagłębie Lubin,48%,52%,15,14,5,6,10,8,6,5,0,5,4,4,9,14,,,1,3,,,,,,,1,2
194,2016-2017,13,23.10.2016 15:30,Lechia Gdańsk,Piast Gliwice,60%,40%,19,10,4,5,15,5,6,2,4,2,3,1,8,27,0,1,3,5,,,,,,,3,2
195,2016-2017,13,22.10.2016 20:30,Legia Warszawa,Lech Poznań,53%,47%,14,12,6,3,8,9,2,11,3,1,2,4,16,10,0,1,3,2,,,,,,,2,1
196,2016-2017,13,22.10.2016 18:00,Śląsk Wrocław,Cracovia,40%,60%,11,25,3,11,8,14,8,6,2,1,9,1,14,18,,,3,1,,,,,,,2,2
197,2016-2017,13,22.10.2016 15:30,Wisła Płock,Górnik Łęczna,54%,46%,13,17,5,6,8,11,6,4,4,4,4,4,15,11,,,2,0,,,,,,,1,2
198,2016-2017,13,21.10.2016 20:30,Wisła Kraków,Bruk-Bet T.,54%,46%,11,10,4,3,7,7,2,4,1,1,3,2,13,13,,,3,1,,,,,,,2,0
199,2016-2017,13,21.10.2016 18:00,Arka Gdynia,Pogoń Szczecin,50%,50%,17,6,3,6,14,0,4,2,0,7,3,3,21,15,,,4,1,,,,,,,0,3
200,2016-2017,12,17.10.2016 18:00,Korona Kielce,Śląsk Wrocław,43%,57%,11,10,5,4,6,6,6,4,0,3,2,4,16,15,,,3,3,,,,,,,1,2
201,2016-2017,12,16.10.2016 18:00,Lech Poznań,Wisła Kraków,49%,51%,11,17,4,6,7,11,2,3,0,0,5,3,13,14,,,1,3,,,,,,,1,1
202,2016-2017,12,16.10.2016 15:30,Bruk-Bet T.,Jagiellonia Białystok,51%,49%,8,10,1,1,7,9,5,2,0,0,1,1,14,16,,,4,3,,,,,,,0,0
203,2016-2017,12,15.10.2016 20:30,Zagłębie Lubin,Lechia Gdańsk,45%,55%,19,17,5,6,14,11,5,4,4,2,4,4,22,15,1,0,3,1,,,,,,,1,2
204,2016-2017,12,15.10.2016 18:00,Piast Gliwice,Ruch Chorzów,52%,48%,21,11,8,3,13,8,6,3,3,3,2,6,18,9,,,3,0,,,,,,,2,1
205,2016-2017,12,15.10.2016 15:30,Górnik Łęczna,Arka Gdynia,47%,53%,19,10,5,4,14,6,5,2,1,0,4,5,22,18,,,2,0,,,,,,,0,0
206,2016-2017,12,14.10.2016 20:30,Pogoń Szczecin,Legia Warszawa,32%,68%,9,12,5,5,4,7,1,3,3,0,3,2,17,23,,,2,2,,,,,,,3,2
207,2016-2017,12,14.10.2016 18:00,Cracovia,Wisła Płock,58%,42%,20,9,8,1,12,8,5,3,3,2,1,7,19,16,,,3,3,,,,,,,1,0
208,2016-2017,11,02.10.2016 18:00,Jagiellonia Białystok,Pogoń Szczecin,47%,53%,15,8,5,2,10,6,10,5,1,1,2,5,10,16,,,0,2,,,,,,,0,0
209,2016-2017,11,02.10.2016 15:30,Cracovia,Korona Kielce,64%,36%,24,15,12,3,12,12,5,6,1,2,3,6,10,8,,,1,2,,,,,,,6,0
210,2016-2017,11,02.10.2016 15:30,Śląsk Wrocław,Bruk-Bet T.,44%,56%,4,14,2,5,2,9,4,8,3,3,3,1,15,10,1,0,2,3,,,,,,,1,2
211,2016-2017,11,01.10.2016 20:30,Legia Warszawa,Lechia Gdańsk,54%,46%,33,12,16,2,17,10,9,5,4,3,2,13,18,10,1,0,4,2,,,,,,,3,0
212,2016-2017,11,01.10.2016 18:00,Wisła Płock,Wisła Kraków,55%,45%,21,12,5,5,16,7,6,6,1,1,2,3,12,17,,,1,3,,,,,,,2,3
213,2016-2017,11,01.10.2016 15:30,Arka Gdynia,Piast Gliwice,54%,46%,20,11,3,3,17,8,7,4,1,1,1,2,13,15,,,1,3,,,,,,,1,2
214,2016-2017,11,30.09.2016 20:30,Górnik Łęczna,Lech Poznań,42%,58%,15,17,4,5,11,12,6,5,1,4,3,3,13,17,,,2,2,,,,,,,1,2
215,2016-2017,11,30.09.2016 18:00,Ruch Chorzów,Zagłębie Lubin,49%,51%,11,17,3,5,8,12,6,7,0,3,3,2,7,20,,,1,2,,,,,,,1,2
216,2016-2017,10,26.09.2016 18:00,Piast Gliwice,Śląsk Wrocław,56%,44%,17,11,3,3,14,8,3,6,4,1,2,2,15,20,,,3,2,,,,,,,1,1
217,2016-2017,10,25.09.2016 18:00,Lech Poznań,Arka Gdynia,62%,38%,14,6,3,2,11,4,2,3,3,1,2,3,17,9,,,1,2,,,,,,,0,0
218,2016-2017,10,25.09.2016 15:30,Korona Kielce,Jagiellonia Białystok,40%,60%,12,18,2,9,10,9,3,5,2,1,7,1,17,9,,,0,1,,,,,,,1,2
219,2016-2017,10,24.09.2016 20:30,Zagłębie Lubin,Cracovia,45%,55%,18,25,4,4,14,21,2,7,2,1,3,3,9,13,,,1,0,,,,,,,1,1
220,2016-2017,10,24.09.2016 18:00,Lechia Gdańsk,Ruch Chorzów,58%,42%,13,14,4,4,9,10,5,1,3,2,3,2,11,12,,,1,2,,,,,,,2,1
221,2016-2017,10,24.09.2016 15:30,Pogoń Szczecin,Górnik Łęczna,64%,36%,11,9,4,5,7,4,9,3,4,2,4,3,11,14,,,1,0,,,,,,,1,1
222,2016-2017,10,23.09.2016 20:30,Wisła Kraków,Legia Warszawa,48%,52%,17,9,3,4,14,5,9,8,3,2,4,3,15,23,,,3,4,,,,,,,0,0
223,2016-2017,10,23.09.2016 18:00,Bruk-Bet T.,Wisła Płock,43%,57%,9,13,4,1,5,12,4,5,0,0,1,4,13,9,,,1,0,,,,,,,0,0
224,2016-2017, 9,19.09.2016 18:00,Arka Gdynia,Cracovia,42%,58%,13,21,5,9,8,12,7,4,2,1,9,4,11,16,,,2,4,,,,,,,1,0
225,2016-2017, 9,18.09.2016 18:00,Legia Warszawa,Zagłębie Lubin,62%,38%,24,15,7,5,17,10,7,9,3,3,2,5,14,16,,,5,4,,,,,,,2,3
226,2016-2017, 9,18.09.2016 15:30,Lechia Gdańsk,Lech Poznań,54%,46%,13,20,4,9,9,11,5,9,2,3,8,2,11,25,,,0,2,,,,,,,2,1
227,2016-2017, 9,17.09.2016 20:30,Wisła Kraków,Piast Gliwice,51%,49%,21,7,7,2,14,5,11,1,2,2,2,6,18,15,,,3,2,,,,,,,1,0
228,2016-2017, 9,17.09.2016 18:00,Wisła Płock,Pogoń Szczecin,43%,57%,14,14,5,4,9,10,5,4,1,1,4,3,11,12,,,1,2,,,,,,,2,0
229,2016-2017, 9,17.09.2016 15:30,Górnik Łęczna,Korona Kielce,54%,46%,14,7,8,2,6,5,4,1,3,3,2,4,23,18,0,1,4,2,,,,,,,4,0
230,2016-2017, 9,16.09.2016 20:30,Śląsk Wrocław,Jagiellonia Białystok,52%,48%,4,17,0,4,4,13,6,3,0,0,1,0,14,15,,,2,1,,,,,,,0,4
231,2016-2017, 9,16.09.2016 18:00,Ruch Chorzów,Bruk-Bet T.,62%,38%,21,12,5,4,11,6,7,5,1,0,3,5,12,9,1,0,3,4,,,5,2,,,0,1
232,2016-2017, 8,12.09.2016 18:00,Śląsk Wrocław,Ruch Chorzów,53%,47%,11,11,4,3,7,8,2,6,5,4,1,3,13,16,,,2,2,,,,,,,1,2
233,2016-2017, 8,11.09.2016 18:00,Jagiellonia Białystok,Wisła Kraków,47%,53%,19,13,9,4,10,9,5,5,2,2,3,7,10,11,,,2,4,,,,,,,2,1
234,2016-2017, 8,11.09.2016 15:30,Lech Poznań,Pogoń Szczecin,52%,48%,17,11,5,5,12,6,7,2,2,1,4,2,18,13,,,3,2,,,,,,,3,1
235,2016-2017, 8,10.09.2016 20:30,Bruk-Bet T.,Legia Warszawa,25%,75%,7,15,2,6,5,9,3,7,0,2,5,1,14,14,,,1,2,,,,,,,2,1
236,2016-2017, 8,10.09.2016 18:00,Korona Kielce,Arka Gdynia,45%,55%,11,15,5,7,6,8,5,6,0,3,7,4,7,16,,,2,1,,,,,,,1,0
237,2016-2017, 8,10.09.2016 15:30,Piast Gliwice,Górnik Łęczna,48%,52%,12,21,8,8,4,13,8,7,3,2,5,5,18,10,1,0,3,2,,,,,,,3,3
238,2016-2017, 8,09.09.2016 20:30,Zagłębie Lubin,Wisła Płock,58%,42%,19,10,5,5,14,5,10,2,0,1,3,4,17,12,0,1,4,4,,,,,,,1,2
239,2016-2017, 8,09.09.2016 18:00,Cracovia,Lechia Gdańsk,55%,45%,15,10,3,5,12,5,5,9,2,3,4,3,22,14,,,0,4,,,,,,,0,1
240,2016-2017, 7,28.08.2016 18:00,Lechia Gdańsk,Bruk-Bet T.,70%,30%,20,9,8,5,12,4,4,3,0,1,3,7,10,13,,,1,4,,,,,,,1,2
241,2016-2017, 7,28.08.2016 18:00,Ruch Chorzów,Legia Warszawa,47%,53%,5,9,0,4,5,5,11,3,2,4,2,0,16,16,,,3,2,,,,,,,0,2
242,2016-2017, 7,28.08.2016 15:30,Lech Poznań,Piast Gliwice,52%,48%,25,11,8,2,17,9,12,1,1,2,2,6,7,10,,,2,1,,,,,,,2,0
243,2016-2017, 7,27.08.2016 20:30,Arka Gdynia,Zagłębie Lubin,43%,57%,22,6,6,3,16,3,10,4,1,2,2,5,15,19,,,2,1,,,,,,,1,1
244,2016-2017, 7,27.08.2016 18:00,Górnik Łęczna,Jagiellonia Białystok,54%,46%,9,14,2,7,7,7,3,2,2,1,5,2,16,18,1,0,2,2,,,,,,,0,2
245,2016-2017, 7,27.08.2016 15:30,Pogoń Szczecin,Cracovia,55%,45%,6,7,1,3,5,4,2,2,2,2,2,0,16,17,,,3,4,,,,,,,1,1
246,2016-2017, 7,26.08.2016 20:30,Wisła Kraków,Śląsk Wrocław,55%,45%,9,12,2,7,7,5,1,2,4,4,2,1,11,14,,,3,1,,,,,,,1,5
247,2016-2017, 7,26.08.2016 18:00,Wisła Płock,Korona Kielce,55%,45%,17,17,3,6,14,11,12,5,0,1,4,2,16,18,,,2,3,,,,,,,1,2
248,2016-2017, 6,22.08.2016 18:00,Korona Kielce,Wisła Kraków,39%,61%,7,9,4,4,3,5,4,10,1,3,4,3,13,13,,,4,2,,,,,,,1,0
249,2016-2017, 6,21.08.2016 18:00,Jagiellonia Białystok,Lechia Gdańsk,47%,53%,13,2,3,1,10,1,6,1,2,0,0,3,17,17,,,3,5,,,,,,,0,1
250,2016-2017, 6,21.08.2016 15:30,Zagłębie Lubin,Górnik Łęczna,60%,40%,17,5,8,1,9,4,11,3,1,2,1,8,13,17,,,0,1,,,,,,,0,0
251,2016-2017, 6,20.08.2016 20:30,Legia Warszawa,Arka Gdynia,57%,43%,14,11,6,6,8,5,9,5,1,1,3,5,13,9,,,1,0,,,,,,,1,3
252,2016-2017, 6,20.08.2016 18:00,Piast Gliwice,Pogoń Szczecin,51%,49%,3,13,0,3,3,10,1,8,3,2,1,0,18,15,,,2,2,,,,,,,0,2
253,2016-2017, 6,20.08.2016 15:30,Cracovia,Ruch Chorzów,62%,38%,14,7,3,5,11,2,7,7,0,0,4,2,16,16,,,1,3,,,,,,,1,1
254,2016-2017, 6,19.08.2016 20:30,Bruk-Bet T.,Lech Poznań,36%,64%,6,9,1,5,5,4,4,5,1,3,5,1,12,18,,,2,2,,,,,,,0,0
255,2016-2017, 6,19.08.2016 18:00,Śląsk Wrocław,Wisła Płock,54%,46%,10,10,3,3,7,7,5,8,0,0,3,3,18,13,,,3,0,,,,,,,0,0
256,2016-2017, 5,15.08.2016 18:00,Wisła Płock,Jagiellonia Białystok,43%,57%,7,11,4,1,3,10,7,5,0,2,1,3,13,17,,,1,2,,,,,,,1,0
257,2016-2017, 5,14.08.2016 18:00,Wisła Kraków,Ruch Chorzów,50%,50%,13,12,6,5,7,7,4,6,6,1,3,5,22,13,,,3,1,21,25,,,14,28,1,2
258,2016-2017, 5,14.08.2016 15:30,Piast Gliwice,Zagłębie Lubin,53%,47%,21,11,5,2,16,9,8,6,2,1,2,5,9,12,,,2,4,24,30,,,12,12,0,0
259,2016-2017, 5,13.08.2016 20:30,Pogoń Szczecin,Bruk-Bet T.,64%,36%,15,8,7,2,8,6,5,3,2,2,2,2,11,20,,,1,2,25,30,,,20,12,5,0
260,2016-2017, 5,13.08.2016 18:00,Górnik Łęczna,Legia Warszawa,57%,43%,15,5,6,2,9,3,6,2,1,0,2,5,7,21,,,1,3,23,21,,,21,10,1,0
261,2016-2017, 5,13.08.2016 15:30,Arka Gdynia,Śląsk Wrocław,39%,61%,13,5,3,1,10,4,7,3,3,0,1,2,27,19,,,2,5,25,18,,,17,30,2,0
262,2016-2017, 5,12.08.2016 20:30,Lech Poznań,Cracovia,48%,52%,17,15,5,1,8,10,7,2,1,1,0,3,16,11,,,1,0,20,38,4,4,13,16,2,1
263,2016-2017, 5,12.08.2016 18:00,Lechia Gdańsk,Korona Kielce,64%,36%,7,16,3,5,2,9,3,6,3,3,3,0,11,15,,,4,2,23,21,2,2,19,14,3,2
264,2016-2017, 4,08.08.2016 18:00,Ruch Chorzów,Wisła Płock,48%,52%,10,17,4,8,3,5,6,8,1,1,6,2,8,16,,,1,4,5,14,3,4,17,9,2,2
265,2016-2017, 4,07.08.2016 18:00,Legia Warszawa,Piast Gliwice,63%,37%,29,8,7,3,16,4,16,1,3,2,3,7,15,11,,,0,2,27,26,6,1,13,18,0,0
266,2016-2017, 4,07.08.2016 15:30,Zagłębie Lubin,Pogoń Szczecin,49%,51%,14,20,2,5,8,6,4,6,1,0,4,1,7,11,,,,,24,23,4,9,11,10,1,1
267,2016-2017, 4,06.08.2016 20:30,Korona Kielce,Lech Poznań,49%,51%,15,12,5,2,6,7,4,5,0,0,1,1,20,13,0,1,4,5,22,29,4,3,15,20,4,1
268,2016-2017, 4,06.08.2016 18:00,Śląsk Wrocław,Lechia Gdańsk,51%,49%,7,9,3,3,3,6,4,10,1,0,3,3,22,14,,,3,2,32,17,1,0,14,23,0,0
269,2016-2017, 4,06.08.2016 15:30,Bruk-Bet T.,Górnik Łęczna,43%,57%,14,18,7,6,2,7,5,5,2,1,5,5,9,16,,,2,3,14,28,5,5,13,9,2,1
270,2016-2017, 4,05.08.2016 20:30,Cracovia,Wisła Kraków,43%,57%,6,13,2,4,2,7,3,6,1,3,3,0,20,17,,,2,3,27,49,2,2,20,20,2,1
271,2016-2017, 4,05.08.2016 18:00,Jagiellonia Białystok,Arka Gdynia,46%,54%,11,11,5,5,5,4,3,8,0,1,4,1,14,10,,,1,2,20,30,1,2,12,14,4,1
272,2016-2017, 3,01.08.2016 18:00,Pogoń Szczecin,Śląsk Wrocław,57%,43%,22,5,5,2,10,1,8,5,2,3,0,5,12,17,,,1,0,35,20,7,2,20,14,0,2
273,2016-2017, 3,31.07.2016 18:00,Korona Kielce,Piast Gliwice,43%,57%,11,9,1,2,5,5,4,1,1,0,1,0,10,10,,,1,2,27,31,5,2,10,11,1,1
274,2016-2017, 3,31.07.2016 15:30,Górnik Łęczna,Cracovia,45%,55%,9,8,3,2,3,5,8,5,1,2,2,3,16,14,,,2,3,30,23,3,1,15,19,0,0
275,2016-2017, 3,31.07.2016 15:30,Zagłębie Lubin,Bruk-Bet T.,55%,45%,14,16,5,4,5,10,4,5,1,0,4,3,14,13,,,,,17,25,4,2,13,15,2,0
276,2016-2017, 3,30.07.2016 20:30,Wisła Płock,Legia Warszawa,40%,60%,10,10,3,3,4,4,5,6,1,4,1,1,14,8,,,0,1,21,31,3,3,11,14,2,3
277,2016-2017, 3,30.07.2016 18:00,Lechia Gdańsk,Wisła Kraków,48%,52%,11,5,7,1,3,1,4,7,2,5,0,4,18,17,,,4,3,30,28,1,3,21,20,3,1
278,2016-2017, 3,29.07.2016 20:30,Lech Poznań,Jagiellonia Białystok,60%,40%,18,12,4,8,9,2,9,1,3,0,6,4,8,12,,,2,1,31,27,5,2,12,10,0,2
279,2016-2017, 3,29.07.2016 18:00,Arka Gdynia,Ruch Chorzów,52%,48%,9,8,4,2,4,3,7,1,2,0,2,1,15,14,,,1,0,27,18,1,3,15,17,3,0
280,2016-2017, 2,25.07.2016 18:00,Górnik Łęczna,Lechia Gdańsk,32%,68%,13,21,2,11,10,8,1,6,3,3,9,1,7,12,1,0,2,4,27,22,1,2,15,10,1,2
281,2016-2017, 2,24.07.2016 18:00,Lech Poznań,Zagłębie Lubin,56%,44%,21,9,4,2,13,5,14,3,2,2,0,4,12,17,,,0,3,18,22,4,2,19,14,0,2
282,2016-2017, 2,24.07.2016 15:30,Bruk-Bet T.,Cracovia,30%,70%,7,20,4,9,0,8,3,9,1,0,7,1,14,10,,,,,15,29,3,3,10,14,3,2
283,2016-2017, 2,24.07.2016 15:30,Piast Gliwice,Wisła Płock,46%,54%,9,13,5,5,4,7,3,5,0,0,4,3,16,10,,,2,3,14,15,0,1,10,16,2,1
284,2016-2017, 2,23.07.2016 20:30,Legia Warszawa,Śląsk Wrocław,53%,47%,16,13,2,4,6,6,6,5,2,0,4,2,12,16,,,1,1,36,30,8,3,15,14,0,0
