,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
176,2018-2019,15,11.11.2018 18:00,Jagiellonia Białystok,Lech Poznań,52%,48%,19,10,7,6,12,4,9,5,5,3,4,5,19,8,2,1,,,98,94,66,60,,,,,2,2
177,2018-2019,15,11.11.2018 15:30,Korona Kielce,Piast Gliwice,48%,52%,14,8,7,3,7,5,7,4,1,1,3,6,21,15,1,5,,,72,107,68,91,,,,,1,0
178,2018-2019,15,11.11.2018 15:30,Miedź Legnica,Arka Gdynia,50%,50%,9,9,5,7,4,2,2,3,1,0,3,5,14,13,4,1,,,121,126,74,59,,,,,0,4
179,2018-2019,15,10.11.2018 20:30,Wisła Kraków,Zagłębie Lubin,69%,31%,16,8,11,3,5,5,5,1,2,2,2,8,17,14,1,2,,,107,104,78,69,,,,,3,2
180,2018-2019,15,10.11.2018 18:00,Lechia Gdańsk,Cracovia,46%,54%,10,13,3,5,7,8,4,6,1,1,5,2,18,17,3,0,,,87,87,63,70,,,,,1,0
181,2018-2019,15,10.11.2018 15:30,Wisła Płock,Zagłębie Sosnowiec,54%,46%,15,11,9,4,6,7,8,6,2,0,4,7,13,22,1,3,,,88,96,76,66,,,,,2,0
182,2018-2019,15,09.11.2018 20:30,Pogoń Szczecin,Legia Warszawa,51%,49%,10,11,3,5,7,6,5,4,1,3,4,1,12,12,4,2,,,99,92,49,41,,,,,2,1
183,2018-2019,15,09.11.2018 18:00,Górnik Zabrze,Śląsk Wrocław,49%,51%,15,13,5,4,10,9,6,6,0,8,2,3,14,14,4,2,,,91,92,73,77,,,,,2,2
184,2018-2019,14,05.11.2018 18:00,Zagłębie Sosnowiec,Jagiellonia Białystok,57%,43%,8,14,3,11,5,3,2,5,3,1,7,2,16,7,2,0,,,99,120,75,70,,,,,1,4
185,2018-2019,14,04.11.2018 18:00,Lech Poznań,Lechia Gdańsk,69%,31%,19,13,3,7,16,6,5,3,1,3,6,3,18,19,2,2,,,113,87,67,60,,,,,0,1
186,2018-2019,14,04.11.2018 15:30,Zagłębie Lubin,Korona Kielce,57%,43%,5,18,3,9,2,9,1,3,4,0,8,3,14,16,5,4,,,147,110,90,73,,,,,0,1
187,2018-2019,14,03.11.2018 20:30,Legia Warszawa,Górnik Zabrze,51%,49%,20,5,9,3,11,2,8,3,3,1,3,5,22,12,1,2,,,98,107,80,68,,,,,4,0
188,2018-2019,14,03.11.2018 18:00,Śląsk Wrocław,Wisła Płock,68%,32%,8,13,1,7,7,6,2,6,1,0,4,1,17,20,1,2,,,129,86,78,58,0,1,,,0,3
189,2018-2019,14,03.11.2018 15:30,Cracovia,Miedź Legnica,50%,50%,15,8,7,4,8,4,6,2,3,0,4,7,17,26,1,2,,,93,84,98,65,,,,,0,0
190,2018-2019,14,02.11.2018 20:30,Piast Gliwice,Wisła Kraków,39%,61%,22,8,6,4,16,4,11,2,2,0,4,4,14,13,1,3,,,100,105,85,66,,,,,2,0
191,2018-2019,14,02.11.2018 18:00,Arka Gdynia,Pogoń Szczecin,54%,46%,15,18,6,7,9,11,5,5,0,1,4,4,18,12,1,3,,,93,106,67,88,,,,,2,3
192,2018-2019,13,29.10.2018 18:00,Wisła Kraków,Zagłębie Sosnowiec,66%,34%,13,20,9,6,4,14,5,6,2,2,4,7,13,15,0,1,,,121,77,104,63,,,,,2,2
193,2018-2019,13,28.10.2018 18:00,Górnik Zabrze,Zagłębie Lubin,53%,47%,16,6,6,4,10,2,3,3,2,0,4,4,19,20,3,3,,,106,111,81,56,0,1,,,2,0
194,2018-2019,13,28.10.2018 15:30,Korona Kielce,Cracovia,57%,43%,14,9,2,7,12,2,7,6,2,1,6,2,16,17,3,2,,,128,105,96,69,,,,,0,1
195,2018-2019,13,27.10.2018 20:30,Pogoń Szczecin,Lech Poznań,50%,50%,13,10,5,3,8,7,8,6,5,0,3,2,14,17,1,2,,,97,99,71,58,,,,,3,0
196,2018-2019,13,27.10.2018 18:00,Lechia Gdańsk,Arka Gdynia,59%,41%,17,9,5,3,12,6,10,4,4,1,2,3,12,11,3,3,,,93,91,98,74,0,1,,,2,1
197,2018-2019,13,27.10.2018 15:30,Wisła Płock,Piast Gliwice,59%,41%,9,14,4,6,5,8,3,9,1,1,5,3,6,19,2,1,,,157,115,100,84,,,,,1,1
198,2018-2019,13,26.10.2018 20:30,Jagiellonia Białystok,Legia Warszawa,33%,67%,16,15,3,4,13,11,4,4,0,2,3,2,17,16,3,2,,,69,121,49,83,,,,,1,1
199,2018-2019,13,26.10.2018 18:00,Miedź Legnica,Śląsk Wrocław,49%,51%,10,11,4,9,6,2,7,5,1,2,4,4,17,8,1,0,,,129,99,87,60,,,,,0,5
200,2018-2019,12,22.10.2018 18:00,Cracovia,Górnik Zabrze,50%,50%,12,9,4,2,8,7,4,4,2,3,2,2,18,21,5,3,,,101,107,78,85,,,,,2,0
201,2018-2019,12,21.10.2018 18:00,Legia Warszawa,Wisła Kraków,47%,53%,13,10,6,5,7,5,6,4,2,0,2,3,19,15,4,4,,,106,115,70,59,,,,,3,3
202,2018-2019,12,21.10.2018 15:30,Zagłębie Lubin,Wisła Płock,45%,55%,11,11,7,5,4,6,3,7,2,1,3,4,20,17,3,2,,,128,104,87,69,1,0,,,3,3
203,2018-2019,12,20.10.2018 20:30,Lech Poznań,Korona Kielce,41%,59%,12,11,3,3,9,8,3,3,0,3,2,1,18,10,,,,,105,131,51,66,,,,,2,1
204,2018-2019,12,20.10.2018 18:00,Śląsk Wrocław,Arka Gdynia,58%,42%,19,7,3,6,16,1,4,2,3,1,4,2,12,16,3,1,,,132,102,93,48,,,,,1,2
205,2018-2019,12,20.10.2018 15:30,Zagłębie Sosnowiec,Miedź Legnica,38%,62%,18,18,9,10,9,8,3,6,3,0,9,6,14,13,3,2,,,64,96,64,89,,,,,3,1
206,2018-2019,12,19.10.2018 20:30,Jagiellonia Białystok,Pogoń Szczecin,47%,53%,13,13,5,4,8,9,4,3,3,3,3,3,14,14,2,4,,,107,108,62,51,,,,,2,1
207,2018-2019,12,19.10.2018 18:00,Piast Gliwice,Lechia Gdańsk,49%,51%,7,11,2,3,5,8,1,1,2,1,2,1,10,14,1,3,,,94,92,54,81,,,,,1,1
208,2018-2019,11,07.10.2018 18:00,Cracovia,Wisła Kraków,48%,52%,12,7,4,3,8,4,9,6,2,1,1,4,18,12,4,1,,,87,85,62,40,,,,,0,2
209,2018-2019,11,07.10.2018 15:30,Arka Gdynia,Zagłębie Lubin,61%,39%,13,13,9,6,4,7,4,11,0,3,5,6,14,13,1,7,,,71,62,61,69,0,1,,,3,1
210,2018-2019,11,07.10.2018 15:30,Korona Kielce,Jagiellonia Białystok,58%,42%,13,5,6,4,7,1,9,6,1,1,3,5,17,16,5,5,,,94,79,63,41,,,,,1,1
211,2018-2019,11,06.10.2018 20:30,Śląsk Wrocław,Legia Warszawa,41%,59%,11,16,4,5,7,11,2,4,3,2,4,4,8,11,1,2,,,105,155,52,80,1,0,,,0,1
212,2018-2019,11,06.10.2018 18:00,Lechia Gdańsk,Zagłębie Sosnowiec,56%,44%,20,10,8,3,12,7,11,4,3,2,2,4,11,17,1,1,,,84,70,79,63,,,,,4,1
213,2018-2019,11,06.10.2018 15:30,Pogoń Szczecin,Wisła Płock,50%,50%,15,8,7,2,8,6,5,3,1,2,2,3,16,20,4,5,,,96,118,71,59,,,,,4,0
214,2018-2019,11,05.10.2018 20:30,Górnik Zabrze,Lech Poznań,39%,61%,13,17,6,5,7,12,6,5,4,1,3,4,18,16,2,4,,,92,93,79,80,,,,,2,2
215,2018-2019,11,05.10.2018 18:00,Miedź Legnica,Piast Gliwice,51%,49%,10,8,3,5,7,3,4,8,0,2,3,1,14,13,1,2,,,111,124,69,77,,,,,2,2
216,2018-2019,10,01.10.2018 18:00,Jagiellonia Białystok,Śląsk Wrocław,41%,59%,10,12,2,7,8,5,3,4,0,4,3,2,11,13,0,1,,,88,90,65,62,,,,,0,4
217,2018-2019,10,30.09.2018 18:00,Lech Poznań,Miedź Legnica,55%,45%,18,12,4,3,14,9,4,4,1,4,2,2,7,13,0,1,,,105,84,56,53,,,,,2,1
218,2018-2019,10,30.09.2018 15:30,Zagłębie Sosnowiec,Cracovia,41%,59%,12,11,4,5,8,6,4,2,1,1,4,3,16,17,3,2,,,84,102,75,87,1,0,,,1,1
219,2018-2019,10,29.09.2018 20:30,Wisła Kraków,Korona Kielce,61%,39%,8,11,4,4,4,7,4,1,2,2,3,4,8,15,3,2,,,119,105,106,67,,,,,0,1
220,2018-2019,10,29.09.2018 18:00,Zagłębie Lubin,Pogoń Szczecin,54%,46%,9,14,2,4,7,10,3,3,0,2,2,2,17,18,5,4,,,118,107,76,73,,,,,0,2
221,2018-2019,10,29.09.2018 15:30,Piast Gliwice,Górnik Zabrze,58%,42%,10,10,2,3,8,7,8,5,3,1,3,2,12,23,2,2,,,107,100,92,70,,,,,1,0
222,2018-2019,10,28.09.2018 20:30,Legia Warszawa,Arka Gdynia,57%,43%,11,8,2,2,9,6,5,4,0,1,1,1,12,17,1,3,,,153,112,118,80,,,,,1,1
223,2018-2019,10,28.09.2018 18:00,Wisła Płock,Lechia Gdańsk,37%,63%,14,13,4,2,10,11,3,5,1,0,2,3,13,17,3,3,,,105,141,64,94,,,,,1,0
224,2018-2019, 9,24.09.2018 18:00,Korona Kielce,Zagłębie Sosnowiec,63%,37%,14,6,8,3,6,3,5,2,6,3,2,5,9,20,3,2,,,137,100,64,36,,,,,3,1
225,2018-2019, 9,23.09.2018 18:00,Górnik Zabrze,Jagiellonia Białystok,49%,51%,10,11,4,6,6,5,6,6,5,4,3,3,11,14,3,3,,,95,88,63,58,,,,,1,3
226,2018-2019, 9,23.09.2018 15:30,Śląsk Wrocław,Piast Gliwice,46%,54%,14,15,4,3,10,12,3,3,2,0,2,0,10,15,2,2,,,107,130,63,67,,,,,4,1
227,2018-2019, 9,22.09.2018 20:30,Miedź Legnica,Legia Warszawa,44%,56%,8,14,4,9,4,5,6,7,3,2,5,3,12,10,3,1,,,86,113,66,74,,,,,1,4
228,2018-2019, 9,22.09.2018 18:00,Lechia Gdańsk,Zagłębie Lubin,39%,61%,12,6,5,5,7,1,3,6,1,2,2,2,16,11,2,3,,,81,104,58,90,,,,,3,3
229,2018-2019, 9,22.09.2018 15:30,Cracovia,Wisła Płock,48%,52%,10,15,5,7,5,8,1,3,2,0,6,2,19,18,0,2,,,86,100,37,51,,,,,3,1
230,2018-2019, 9,21.09.2018 20:30,Arka Gdynia,Lech Poznań,46%,54%,5,15,2,5,3,10,6,12,3,1,5,1,14,17,0,2,,,112,87,90,84,,,,,1,0
231,2018-2019, 9,21.09.2018 18:00,Pogoń Szczecin,Wisła Kraków,48%,52%,19,6,4,1,15,5,8,1,1,1,0,2,18,15,3,5,,,85,105,72,46,,,,,2,1
232,2018-2019, 8,17.09.2018 18:00,Zagłębie Sosnowiec,Górnik Zabrze,55%,45%,11,9,5,4,6,5,6,1,4,1,3,4,13,11,4,1,,,49,48,78,70,,,,,1,1
233,2018-2019, 8,16.09.2018 18:00,Legia Warszawa,Lech Poznań,47%,53%,12,6,3,2,9,4,3,5,5,1,2,2,15,12,3,1,,,117,122,79,84,,,,,1,0
234,2018-2019, 8,16.09.2018 15:30,Pogoń Szczecin,Korona Kielce,47%,53%,8,15,0,4,8,11,1,10,0,1,3,0,8,12,0,2,,,78,94,28,67,,,,,1,1
235,2018-2019, 8,15.09.2018 20:30,Wisła Kraków,Lechia Gdańsk,47%,53%,11,12,7,5,4,7,3,6,1,0,3,2,13,11,2,2,,,104,97,51,70,,,,,5,2
236,2018-2019, 8,15.09.2018 18:00,Piast Gliwice,Arka Gdynia,61%,39%,21,6,7,2,14,4,5,5,5,2,2,6,10,19,0,3,,,85,56,63,29,0,1,,,1,0
237,2018-2019, 8,15.09.2018 15:30,Wisła Płock,Miedź Legnica,54%,46%,11,11,6,4,5,7,8,7,0,0,2,4,10,15,1,0,,,120,108,101,73,,,,,2,2
238,2018-2019, 8,14.09.2018 20:30,Jagiellonia Białystok,Cracovia,56%,44%,10,12,6,2,4,10,4,4,0,1,1,3,15,14,3,3,,,41,55,23,35,,,,,3,1
239,2018-2019, 8,14.09.2018 18:00,Zagłębie Lubin,Śląsk Wrocław,49%,51%,15,11,5,6,10,5,5,9,1,3,6,1,11,15,2,4,,,82,77,44,43,0,1,,,4,0
240,2018-2019, 7,02.09.2018 18:00,Cracovia,Legia Warszawa,64%,36%,15,7,2,3,13,4,5,3,1,0,3,2,20,14,3,3,,,79,53,55,30,0,1,,,0,0
241,2018-2019, 7,02.09.2018 15:30,Miedź Legnica,Zagłębie Lubin,46%,54%,20,12,8,5,12,7,5,4,0,4,5,6,13,12,2,2,,,96,116,69,93,,,,,2,0
242,2018-2019, 7,02.09.2018 15:30,Wisła Płock,Jagiellonia Białystok,64%,36%,9,12,4,5,5,7,6,3,3,2,4,3,8,18,1,4,,,129,115,80,79,,,,,1,1
243,2018-2019, 7,01.09.2018 20:30,Lech Poznań,Piast Gliwice,62%,38%,15,10,7,3,8,7,4,2,0,4,2,6,17,11,4,1,,,130,111,88,66,,,,,1,1
244,2018-2019, 7,01.09.2018 18:00,Śląsk Wrocław,Wisła Kraków,39%,61%,21,12,8,2,13,10,6,6,2,0,1,8,20,9,4,3,,,96,116,79,76,,,,,0,1
245,2018-2019, 7,01.09.2018 15:30,Arka Gdynia,Zagłębie Sosnowiec,57%,43%,13,9,7,6,6,3,2,5,2,1,4,5,17,13,3,4,,,84,87,84,64,,,,,2,2
246,2018-2019, 7,31.08.2018 20:30,Lechia Gdańsk,Korona Kielce,52%,48%,6,14,3,5,3,9,1,6,0,0,5,1,22,18,5,4,,,72,121,52,113,,,,,2,0
247,2018-2019, 7,31.08.2018 18:00,Górnik Zabrze,Pogoń Szczecin,38%,62%,11,12,3,5,8,7,2,8,4,3,4,2,16,16,3,2,,,57,63,33,37,1,0,,,1,1
248,2018-2019, 6,27.08.2018 18:00,Zagłębie Sosnowiec,Śląsk Wrocław,64%,36%,17,13,9,8,8,5,11,3,0,0,5,6,14,13,3,2,,,66,59,103,84,,,,,3,3
249,2018-2019, 6,26.08.2018 18:00,Zagłębie Lubin,Lech Poznań,30%,70%,13,14,8,2,5,12,5,6,9,2,1,6,11,14,0,2,,,87,141,74,120,,,,,2,1
250,2018-2019, 6,26.08.2018 15:30,Jagiellonia Białystok,Miedź Legnica,55%,45%,12,13,4,6,8,7,4,5,1,2,3,2,12,16,2,1,,,99,81,66,57,,,,,2,3
251,2018-2019, 6,26.08.2018 15:30,Legia Warszawa,Wisła Płock,59%,41%,6,14,4,6,2,8,5,4,1,3,2,3,20,20,4,2,,,132,92,60,43,1,0,,,1,4
252,2018-2019, 6,25.08.2018 20:30,Wisła Kraków,Górnik Zabrze,58%,42%,16,13,7,4,9,9,9,11,5,1,4,4,12,12,2,1,,,96,91,82,90,,,,,3,0
253,2018-2019, 6,25.08.2018 18:00,Pogoń Szczecin,Lechia Gdańsk,51%,49%,16,9,6,4,10,5,12,3,0,2,2,4,17,12,0,2,,,112,85,100,42,,,,,2,3
254,2018-2019, 6,24.08.2018 20:30,Korona Kielce,Arka Gdynia,53%,47%,27,9,10,5,17,4,5,5,1,3,4,8,11,9,2,3,,,90,95,53,56,,,,,2,1
255,2018-2019, 6,24.08.2018 18:00,Piast Gliwice,Cracovia,48%,52%,14,6,6,4,8,2,6,4,0,1,3,3,19,17,3,3,,,70,54,43,28,0,1,,,3,1
256,2018-2019, 5,20.08.2018 18:00,Śląsk Wrocław,Pogoń Szczecin,43%,57%,11,13,2,4,9,9,7,3,2,1,4,2,13,11,1,0,,,105,102,84,73,,,,,0,0
257,2018-2019, 5,19.08.2018 18:00,Jagiellonia Białystok,Piast Gliwice,44%,56%,10,7,3,2,7,5,8,5,0,1,1,1,11,17,2,1,,,109,96,90,58,,,,,2,1
258,2018-2019, 5,19.08.2018 18:00,Lech Poznań,Wisła Kraków,53%,47%,13,12,5,9,8,3,5,2,0,2,4,3,14,13,4,3,,,106,91,60,48,,,,,2,5
259,2018-2019, 5,19.08.2018 15:30,Legia Warszawa,Zagłębie Sosnowiec,55%,45%,8,3,4,2,4,1,2,4,3,3,1,2,13,13,2,2,,,107,100,71,64,,,,,2,1
260,2018-2019, 5,18.08.2018 20:30,Górnik Zabrze,Lechia Gdańsk,56%,44%,12,9,4,5,8,4,2,5,2,1,3,4,15,13,0,8,,,97,97,87,85,,,,,0,2
261,2018-2019, 5,18.08.2018 18:00,Wisła Płock,Arka Gdynia,53%,47%,14,7,5,5,9,2,8,3,0,2,2,4,10,17,0,2,,,122,90,109,61,,,,,1,3
262,2018-2019, 5,17.08.2018 20:30,Miedź Legnica,Korona Kielce,53%,47%,13,10,6,2,7,8,6,7,0,0,1,5,15,15,0,1,,,95,105,50,58,,,,,1,1
263,2018-2019, 5,17.08.2018 18:00,Cracovia,Zagłębie Lubin,51%,49%,19,10,6,3,13,7,9,5,2,2,2,6,14,26,0,5,,,129,116,78,63,,,,,0,1
264,2018-2019, 4,13.08.2018 18:00,Korona Kielce,Śląsk Wrocław,47%,53%,7,9,3,4,4,5,2,5,2,1,3,2,15,18,1,4,,,115,130,60,72,,,,,2,1
265,2018-2019, 4,12.08.2018 18:00,Lech Poznań,Zagłębie Sosnowiec,67%,33%,15,15,7,4,8,11,4,3,0,3,4,3,8,16,2,3,,,104,79,53,39,,,,,4,0
266,2018-2019, 4,12.08.2018 18:00,Zagłębie Lubin,Jagiellonia Białystok,56%,44%,15,9,4,4,11,5,8,2,3,0,2,4,14,17,1,2,,,113,77,88,39,,,,,0,2
267,2018-2019, 4,12.08.2018 15:30,Piast Gliwice,Legia Warszawa,48%,52%,12,13,4,6,8,7,9,6,2,5,3,3,14,12,2,1,,,94,104,77,81,1,0,,,1,3
268,2018-2019, 4,11.08.2018 20:30,Arka Gdynia,Górnik Zabrze,48%,52%,13,14,4,5,9,9,7,2,0,2,4,3,16,17,2,3,,,113,84,93,66,0,1,,,1,1
269,2018-2019, 4,11.08.2018 18:00,Pogoń Szczecin,Cracovia,52%,48%,5,6,1,4,4,2,6,6,2,0,3,1,15,11,4,5,,,68,76,50,64,,,,,1,1
270,2018-2019, 4,10.08.2018 20:30,Wisła Kraków,Wisła Płock,59%,41%,18,7,6,3,12,4,4,3,2,4,2,5,15,18,2,5,,,101,69,73,44,0,1,,,1,1
271,2018-2019, 4,10.08.2018 18:00,Lechia Gdańsk,Miedź Legnica,49%,51%,9,17,5,5,4,12,2,6,2,2,5,3,14,14,2,1,,,140,138,97,110,,,,,2,0
272,2018-2019, 3,06.08.2018 18:00,Cracovia,Arka Gdynia,45%,55%,16,8,3,2,13,6,8,5,1,1,2,3,11,13,1,2,,,127,160,69,94,,,,,0,0
273,2018-2019, 3,05.08.2018 18:00,Jagiellonia Białystok,Wisła Kraków,47%,53%,11,10,6,4,5,6,8,6,3,2,4,5,13,13,1,1,,,99,100,75,62,0,1,,,1,0
274,2018-2019, 3,05.08.2018 18:00,Miedź Legnica,Górnik Zabrze,55%,45%,12,10,5,8,7,2,4,4,1,3,5,4,16,8,1,2,,,103,68,76,46,,,,,1,3
275,2018-2019, 3,05.08.2018 15:30,Śląsk Wrocław,Lech Poznań,51%,49%,5,7,1,3,4,4,5,3,15,2,2,1,19,24,2,2,,,109,85,77,56,,,,,0,1
276,2018-2019, 3,04.08.2018 20:30,Legia Warszawa,Lechia Gdańsk,50%,50%,9,6,4,3,5,3,7,7,4,7,3,4,12,20,0,3,,,105,101,61,56,,,,,0,0
277,2018-2019, 3,04.08.2018 18:00,Piast Gliwice,Zagłębie Lubin,60%,40%,8,8,5,3,3,5,10,2,2,2,2,3,10,15,0,2,,,120,102,81,63,,,,,2,1
278,2018-2019, 3,03.08.2018 20:30,Zagłębie Sosnowiec,Pogoń Szczecin,59%,41%,9,10,5,2,4,8,2,12,1,6,2,2,21,20,2,3,,,100,119,48,88,,,,,3,0
279,2018-2019, 3,03.08.2018 18:00,Wisła Płock,Korona Kielce,55%,45%,2,11,1,4,1,7,2,5,4,1,2,0,16,16,6,3,,,98,126,54,53,1,0,,,1,2
280,2018-2019, 2,30.07.2018 18:00,Pogoń Szczecin,Piast Gliwice,52%,48%,17,6,3,3,14,3,8,4,0,2,1,3,15,14,2,1,,,96,100,68,41,,,,,0,2
281,2018-2019, 2,29.07.2018 18:00,Arka Gdynia,Jagiellonia Białystok,64%,36%,9,18,2,4,7,14,9,2,3,0,2,2,10,10,3,2,,,120,91,51,41,,,,,0,2
282,2018-2019, 2,29.07.2018 18:00,Lech Poznań,Cracovia,54%,46%,9,4,5,0,4,4,4,3,3,2,0,3,17,10,1,1,,,85,75,59,49,,,,,2,0
283,2018-2019, 2,29.07.2018 15:30,Górnik Zabrze,Wisła Płock,40%,60%,9,17,3,4,6,13,3,9,1,3,3,2,13,12,,,,,89,116,36,73,,,,,1,1
284,2018-2019, 2,28.07.2018 20:30,Korona Kielce,Legia Warszawa,50%,50%,13,11,3,7,10,4,5,6,1,2,5,2,20,10,4,2,,,90,81,59,50,,,,,1,2
285,2018-2019, 2,28.07.2018 18:00,Zagłębie Lubin,Zagłębie Sosnowiec,61%,39%,21,10,7,3,14,7,5,4,3,2,2,5,14,23,3,3,,,110,79,86,54,,,,,2,1
286,2018-2019, 2,27.07.2018 20:30,Wisła Kraków,Miedź Legnica,57%,43%,15,9,5,6,10,3,6,7,0,2,5,3,21,15,4,3,,,102,93,63,46,,,,,2,1
287,2018-2019, 2,27.07.2018 18:00,Lechia Gdańsk,Śląsk Wrocław,51%,49%,14,12,2,4,12,8,4,9,0,3,3,1,20,8,4,0,,,126,148,74,106,,,,,1,1
288,2018-2019, 1,23.07.2018 18:00,Zagłębie Sosnowiec,Piast Gliwice,49%,51%,13,18,4,2,9,16,4,4,1,2,0,3,14,12,,,,,87,94,80,92,,,,,1,2
289,2018-2019, 1,22.07.2018 18:00,Wisła Płock,Lech Poznań,52%,48%,15,7,6,3,9,4,5,2,4,1,1,5,13,14,1,2,,,78,82,68,33,,,,,1,2
290,2018-2019, 1,22.07.2018 15:30,Górnik Zabrze,Korona Kielce,45%,55%,11,21,4,8,7,13,3,5,2,1,7,3,15,16,2,3,,,75,88,42,64,,,,,1,1
291,2018-2019, 1,21.07.2018 20:30,Legia Warszawa,Zagłębie Lubin,60%,40%,15,7,5,5,10,2,4,5,1,3,2,4,13,11,2,1,,,107,90,66,51,,,,,1,3
292,2018-2019, 1,21.07.2018 18:00,Wisła Kraków,Arka Gdynia,60%,40%,23,6,3,1,20,5,7,1,2,1,1,3,11,22,0,1,,,97,82,92,36,,,,,0,0
293,2018-2019, 1,21.07.2018 15:30,Śląsk Wrocław,Cracovia,50%,50%,18,14,6,4,12,10,5,1,1,0,4,3,11,19,1,3,,,65,69,25,29,,,,,3,1
294,2018-2019, 1,20.07.2018 20:30,Jagiellonia Białystok,Lechia Gdańsk,55%,45%,18,8,7,2,11,6,3,2,1,1,1,7,12,18,2,5,,,65,47,36,25,1,1,,,0,1
295,2018-2019, 1,20.07.2018 18:00,Miedź Legnica,Pogoń Szczecin,52%,48%,14,15,3,3,11,12,2,4,2,4,3,6,9,15,1,1,,,65,69,29,44,,,,,1,0
