,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
93,2021-2022,24,06.03.2022 15:00,Górnik Zabrze,Cracovia,57%,43%,13,5,4,1,7,1,2,3,,,6,5,2,6,,,1,1,11,11,2,3,485,407,376,297,13,16,109,89,75,56,,,,,3,0
94,2021-2022,24,06.03.2022 12:30,Wisła Płock,Górnik Łęczna,45%,55%,12,17,8,3,1,8,3,6,,,6,5,0,2,,,2,5,22,15,2,2,347,368,253,275,22,14,91,95,48,60,1,0,,,3,1
95,2021-2022,24,05.03.2022 20:00,Lechia Gdańsk,Wisła Kraków,59%,41%,12,8,3,5,9,3,,,,,9,4,3,4,,,4,2,14,11,3,1,,,441,317,,,121,103,66,56,,,,,1,1
96,2021-2022,24,05.03.2022 17:30,Zagłębie Lubin,Piast Gliwice,49%,51%,8,9,3,3,4,6,1,0,,,3,7,0,3,,,3,3,15,7,1,1,500,472,433,422,12,12,124,114,63,72,,,,,0,0
97,2021-2022,24,05.03.2022 15:00,Bruk-Bet T.,Warta Poznań,53%,47%,9,9,2,5,4,4,3,0,,,5,4,1,2,,,5,1,13,19,2,1,392,383,347,312,9,16,89,64,50,55,,,,,1,0
98,2021-2022,24,04.03.2022 20:30,Pogoń Szczecin,Radomiak Radom,57%,43%,14,3,7,0,7,3,,,,,6,4,0,0,,,0,3,11,9,1,3,,,390,273,,,69,53,65,31,0,1,,,4,0
99,2021-2022,24,04.03.2022 18:00,Stal Mielec,Jagiellonia Białystok,60%,40%,12,11,3,2,9,9,,,,,7,5,1,1,,,1,2,15,21,1,4,,,439,277,,,58,55,49,38,,,,,1,1
100,2021-2022,23,28.02.2022 18:00,Cracovia,Bruk-Bet T.,58%,42%,12,7,3,2,9,5,,,,,5,3,2,0,,,0,2,20,15,1,4,,,419,279,,,98,74,74,57,,,,,1,2
101,2021-2022,23,27.02.2022 17:30,Śląsk Wrocław,Zagłębie Lubin,52%,48%,19,9,5,1,14,8,,,,,8,4,0,4,,,1,5,7,14,0,1,,,413,375,,,139,104,100,64,,,,,0,0
102,2021-2022,23,27.02.2022 15:00,Radomiak Radom,Lechia Gdańsk,37%,63%,10,11,6,2,4,9,,,,,1,6,5,1,,,2,4,17,13,1,0,,,178,413,,,83,104,37,61,,,,,2,0
103,2021-2022,23,27.02.2022 12:30,Jagiellonia Białystok,Warta Poznań,38%,62%,3,8,1,3,2,5,,,,,1,2,0,3,,,2,0,16,17,2,3,,,296,501,,,100,145,42,72,1,0,,,1,1
104,2021-2022,23,26.02.2022 20:00,Piast Gliwice,Górnik Zabrze,48%,52%,5,4,2,1,3,3,,,,,4,4,5,3,,,1,2,13,15,1,1,,,354,380,,,98,100,80,57,,,,,0,0
105,2021-2022,23,26.02.2022 17:30,Górnik Łęczna,Stal Mielec,43%,57%,7,18,4,3,3,15,,,,,1,8,1,3,,,3,2,19,13,3,1,,,266,479,,,59,73,53,91,,,,,2,0
106,2021-2022,23,26.02.2022 15:00,Pogoń Szczecin,Lech Poznań,44%,56%,6,7,1,5,5,2,,,,,2,2,0,2,,,2,1,18,13,3,4,,,333,426,,,70,99,49,57,,,,,0,3
107,2021-2022,23,25.02.2022 20:30,Legia Warszawa,Wisła Kraków,52%,48%,17,5,5,1,12,4,,,,,3,0,0,0,,,0,3,19,22,1,3,,,352,396,,,93,95,52,43,0,1,,,2,1
108,2021-2022,23,25.02.2022 18:00,Raków Częstochowa,Wisła Płock,47%,53%,17,7,9,1,8,6,,,,,4,4,0,0,,,1,7,23,19,3,3,,,292,369,,,82,70,78,55,,,,,2,0
109,2021-2022,22,21.02.2022 18:00,Wisła Kraków,Górnik Łęczna,53%,47%,14,8,3,1,11,7,,,,,10,7,2,1,,,1,3,13,9,1,1,,,425,288,,,92,106,81,77,,,,,0,0
110,2021-2022,22,20.02.2022 17:30,Lechia Gdańsk,Lech Poznań,46%,54%,8,20,2,7,6,13,,,,,5,9,2,4,,,7,1,10,8,2,0,,,316,425,,,104,116,61,88,,,,,1,0
111,2021-2022,22,20.02.2022 15:00,Górnik Zabrze,Raków Częstochowa,44%,56%,13,14,4,8,9,6,,,,,5,7,2,2,,,7,3,17,6,1,1,,,293,415,,,79,99,55,72,,,,,1,1
112,2021-2022,22,20.02.2022 12:30,Warta Poznań,Radomiak Radom,47%,53%,12,12,6,5,6,7,,,,,5,3,3,1,,,4,3,20,13,1,2,,,297,370,,,89,90,43,47,,,,,3,1
113,2021-2022,22,19.02.2022 20:00,Bruk-Bet T.,Legia Warszawa,62%,38%,7,12,2,3,5,9,,,,,6,8,1,1,,,3,2,18,23,2,7,,,428,253,,,89,73,69,60,0,1,,,0,0
114,2021-2022,22,19.02.2022 17:30,Śląsk Wrocław,Piast Gliwice,59%,41%,9,7,3,2,6,5,,,,,4,1,3,7,,,0,2,8,12,2,3,,,471,328,,,127,98,84,50,,,,,1,3
115,2021-2022,22,19.02.2022 15:00,Jagiellonia Białystok,Cracovia,52%,48%,11,17,2,1,9,16,,,,,7,2,3,2,,,1,2,14,10,1,2,445,414,367,340,,,129,108,79,56,,,,,0,0
116,2021-2022,22,18.02.2022 20:30,Stal Mielec,Pogoń Szczecin,39%,61%,5,13,3,7,2,6,,,,,3,10,0,3,,,6,3,13,11,1,4,,,275,480,,,43,62,37,68,,,,,0,1
117,2021-2022,22,18.02.2022 18:00,Zagłębie Lubin,Wisła Płock,44%,56%,16,16,7,6,9,10,,,,,9,9,0,1,,,5,4,15,10,2,2,,,335,448,,,79,84,59,66,,,,,3,1
118,2021-2022,21,14.02.2022 18:00,Górnik Zabrze,Jagiellonia Białystok,53%,47%,19,8,10,5,9,3,,,,,7,6,2,4,,,3,9,9,20,1,1,0,0,411,377,,,113,103,77,73,,,,,1,2
119,2021-2022,21,13.02.2022 17:30,Legia Warszawa,Warta Poznań,57%,43%,6,8,4,2,2,6,,,,,5,3,0,1,,,1,4,17,17,5,2,,,494,353,,,143,87,72,39,1,0,,,0,1
120,2021-2022,21,13.02.2022 15:00,Pogoń Szczecin,Zagłębie Lubin,52%,48%,17,8,8,3,9,5,,,,,7,4,1,5,,,2,6,11,10,1,3,485,428,383,318,,,74,79,74,64,,,,,2,1
121,2021-2022,21,13.02.2022 12:30,Wisła Płock,Piast Gliwice,46%,54%,11,16,5,9,6,7,,,,,7,6,1,0,,,7,5,14,19,3,2,396,407,300,323,,,95,92,64,54,,,,,0,2
122,2021-2022,21,12.02.2022 20:00,Lech Poznań,Bruk-Bet T.,55%,45%,18,8,11,1,7,7,,,,,10,4,4,1,,,1,6,8,16,1,1,460,381,381,306,,,100,74,71,45,,,,,5,0
123,2021-2022,21,12.02.2022 17:30,Radomiak Radom,Raków Częstochowa,56%,44%,12,10,1,4,11,6,,,,,3,4,2,0,,,3,1,19,20,3,6,423,347,324,261,,,99,90,58,53,,,,,0,1
124,2021-2022,21,12.02.2022 15:00,Wisła Kraków,Stal Mielec,57%,43%,7,16,0,6,7,10,,,,,3,4,4,4,,,5,0,17,13,2,2,,,465,320,,,107,87,74,78,,,,,0,1
125,2021-2022,21,11.02.2022 20:30,Cracovia,Lechia Gdańsk,44%,56%,19,10,6,1,13,9,,,,,11,5,4,0,,,1,4,22,15,0,2,,,250,313,,,,,,,,,,,2,0
126,2021-2022,21,11.02.2022 18:00,Górnik Łęczna,Śląsk Wrocław,43%,57%,12,22,6,8,6,14,,,,,5,10,2,3,,,7,5,7,14,5,3,,,175,305,,,81,100,56,80,1,0,,,1,1
127,2021-2022,20,07.02.2022 18:00,Radomiak Radom,Wisła Płock,49%,51%,17,12,7,5,10,7,,,,,10,9,1,0,,,4,6,15,15,1,5,,,298,348,,,99,90,68,59,0,1,,,1,1
128,2021-2022,20,06.02.2022 17:30,Cracovia,Lech Poznań,45%,55%,7,15,4,8,3,7,,,,,2,5,5,3,,,5,1,15,10,4,1,,,322,410,,,82,88,55,70,1,0,,,3,3
129,2021-2022,20,06.02.2022 15:00,Raków Częstochowa,Wisła Kraków,56%,44%,27,6,11,1,16,5,,,,,5,4,1,1,,,1,9,11,18,0,2,447,416,351,323,,,100,73,77,42,,,,,2,0
130,2021-2022,20,06.02.2022 12:30,Warta Poznań,Górnik Łęczna,53%,47%,15,3,4,1,11,2,,,,,8,3,3,3,,,0,3,9,15,4,2,,,347,318,,,98,102,66,30,,,,,1,1
131,2021-2022,20,05.02.2022 20:00,Lechia Gdańsk,Śląsk Wrocław,47%,53%,18,8,7,4,11,4,,,,,14,1,2,4,,,4,5,13,16,1,2,424,474,334,380,,,107,90,98,54,,,,,2,0
132,2021-2022,20,05.02.2022 17:30,Piast Gliwice,Pogoń Szczecin,40%,60%,11,9,3,3,8,6,,,,,2,4,1,0,,,1,3,7,8,0,2,361,570,276,485,,,94,123,74,68,,,,,0,2
133,2021-2022,20,05.02.2022 15:00,Stal Mielec,Górnik Zabrze,46%,54%,11,19,5,8,6,11,,,,,9,4,3,1,,,6,4,7,21,2,5,,,351,411,,,94,119,76,76,,,,,1,2
134,2021-2022,20,04.02.2022 20:30,Zagłębie Lubin,Legia Warszawa,52%,48%,12,6,6,2,6,4,,,,,7,1,1,2,,,0,5,15,12,2,3,481,464,398,374,,,100,103,79,61,,,,,1,3
135,2021-2022,20,04.02.2022 18:00,Bruk-Bet T.,Jagiellonia Białystok,39%,61%,5,14,2,9,3,5,,,,,4,7,2,7,,,8,0,17,18,3,6,287,513,197,428,,,88,93,50,75,,,,,2,1
136,2021-2022,19,19.12.2021 17:30,Legia Warszawa,Radomiak Radom,62%,38%,13,13,3,9,10,4,,,,,4,5,1,1,,,6,3,13,13,1,3,615,335,510,271,,,123,87,77,54,,,,,0,3
137,2021-2022,19,19.12.2021 15:00,Lech Poznań,Górnik Zabrze,56%,44%,20,7,7,3,13,4,,,,,11,6,1,1,,,2,5,13,5,2,2,521,420,419,324,,,107,70,80,35,,,,,2,1
138,2021-2022,19,19.12.2021 12:30,Górnik Łęczna,Zagłębie Lubin,56%,44%,14,6,7,3,7,3,,,,,3,3,0,2,,,2,5,14,22,3,3,494,390,411,305,,,112,99,70,50,,,,,2,1
139,2021-2022,19,18.12.2021 20:00,Raków Częstochowa,Jagiellonia Białystok,61%,39%,17,10,10,2,7,8,,,,,7,4,4,0,,,2,5,22,19,2,2,435,317,358,246,,,92,63,78,41,,,,,5,0
140,2021-2022,19,18.12.2021 17:30,Śląsk Wrocław,Cracovia,58%,42%,11,13,1,7,10,6,,,,,5,7,1,4,,,5,1,11,16,3,2,497,403,405,314,,,93,88,86,68,,,,,0,2
141,2021-2022,19,18.12.2021 15:00,Pogoń Szczecin,Warta Poznań,66%,34%,6,5,2,3,4,2,,,,,11,2,0,2,,,2,1,12,19,1,1,608,321,506,240,,,100,73,97,52,,,,,1,1
142,2021-2022,19,18.12.2021 12:30,Piast Gliwice,Stal Mielec,56%,44%,17,8,6,4,11,4,,,,,5,2,1,1,,,3,5,20,16,5,4,543,444,469,369,,,110,80,91,50,,,,,1,1
143,2021-2022,19,17.12.2021 20:30,Wisła Płock,Lechia Gdańsk,41%,59%,10,14,5,2,5,12,,,,,9,8,4,2,,,2,4,13,18,4,3,316,474,222,389,,,80,111,70,78,,,,,1,0
144,2021-2022,19,17.12.2021 18:00,Wisła Kraków,Bruk-Bet T.,51%,49%,21,15,10,4,11,11,,,,,9,4,2,0,,,4,7,17,8,2,2,449,447,369,370,,,75,71,74,61,,,,,3,0
145,2021-2022, 3,15.12.2021 20:30,Legia Warszawa,Zagłębie Lubin,55%,45%,14,9,8,3,6,6,,,,,9,5,1,2,,,3,4,17,13,2,0,532,425,449,348,,,88,78,71,51,,,,,4,0
146,2021-2022, 5,15.12.2021 18:00,Raków Częstochowa,Górnik Zabrze,52%,48%,9,13,5,5,4,8,,,,,7,3,1,2,,,3,4,18,17,2,0,438,440,344,322,,,110,110,68,62,,,,,1,2
147,2021-2022,17,14.12.2021 18:45,Radomiak Radom,Piast Gliwice,54%,46%,14,9,7,2,7,7,,,,,7,4,1,1,,,0,5,18,16,1,2,,,380,321,,,95,92,80,57,,,,,2,2
148,2021-2022,18,13.12.2021 18:00,Warta Poznań,Śląsk Wrocław,27%,73%,10,12,5,3,5,9,,,,,1,4,2,1,,,2,3,22,14,5,1,,,193,733,,,79,132,33,72,,,,,2,1
149,2021-2022,18,12.12.2021 17:30,Górnik Zabrze,Pogoń Szczecin,53%,47%,16,7,4,2,12,5,,,,,6,3,2,3,,,0,2,13,15,3,4,,,375,315,,,129,79,93,55,,,,,2,2
150,2021-2022,18,12.12.2021 15:00,Wisła Płock,Legia Warszawa,42%,58%,11,12,3,6,8,6,,,,,2,5,2,3,,,6,2,18,15,3,4,,,308,439,,,96,118,57,76,,,,,1,0
151,2021-2022,18,12.12.2021 12:30,Cracovia,Górnik Łęczna,48%,52%,12,11,5,6,7,5,,,,,2,5,1,1,,,4,5,21,10,2,3,,,239,206,,,94,116,77,79,,,,,0,2
152,2021-2022,18,11.12.2021 20:00,Lechia Gdańsk,Jagiellonia Białystok,64%,36%,15,13,7,4,8,9,,,,,8,5,1,3,,,2,6,15,11,3,2,,,539,235,,,139,102,107,64,,,,,1,2
153,2021-2022,18,11.12.2021 17:30,Zagłębie Lubin,Wisła Kraków,53%,47%,26,16,7,8,19,8,,,,,5,5,1,1,,,7,5,10,16,5,3,,,389,285,,,99,82,85,82,0,1,,,2,1
154,2021-2022,18,11.12.2021 15:00,Radomiak Radom,Lech Poznań,47%,53%,8,9,4,5,4,4,,,,,0,6,1,0,,,4,2,14,23,3,1,,,265,344,,,65,66,26,64,,,,,2,1
155,2021-2022,18,10.12.2021 20:30,Raków Częstochowa,Piast Gliwice,55%,45%,12,9,4,5,8,4,,,,,5,3,1,3,,,5,3,11,15,1,1,,,446,366,,,110,98,78,53,,,,,1,0
156,2021-2022,18,10.12.2021 18:00,Stal Mielec,Bruk-Bet T.,37%,63%,11,17,5,5,6,12,,,,,5,9,0,0,,,5,4,15,14,2,2,,,262,442,,,63,95,37,85,1,0,,,1,0
157,2021-2022,17,06.12.2021 18:00,Warta Poznań,Wisła Kraków,37%,63%,12,9,3,6,9,3,,,,,5,4,2,2,,,5,2,10,7,,,,,246,563,,,101,145,70,100,,,,,1,1
158,2021-2022,17,05.12.2021 20:00,Cracovia,Legia Warszawa,40%,60%,10,12,3,5,7,7,,,,,7,7,2,2,,,5,2,27,15,3,3,,,249,486,,,62,122,58,111,,,,,1,0
159,2021-2022,17,05.12.2021 17:30,Zagłębie Lubin,Lech Poznań,43%,57%,7,29,2,9,5,20,,,,,5,6,1,4,,,6,0,14,13,1,2,,,309,426,,,82,109,36,60,,,,,2,3
160,2021-2022,17,04.12.2021 20:00,Lechia Gdańsk,Raków Częstochowa,55%,45%,14,15,7,7,7,8,,,,,3,4,0,1,,,6,4,23,7,3,1,,,420,346,,,72,84,65,72,1,0,,,3,1
161,2021-2022,17,04.12.2021 17:30,Jagiellonia Białystok,Górnik Łęczna,56%,44%,12,11,3,3,9,8,,,,,4,6,2,2,,,1,2,15,17,2,1,,,465,248,,,123,101,92,47,,,,,1,2
162,2021-2022,17,04.12.2021 15:00,Bruk-Bet T.,Pogoń Szczecin,51%,49%,10,12,5,7,5,5,,,,,5,5,2,4,,,4,4,16,19,2,3,,,324,290,,,89,89,79,69,,,,,1,3
163,2021-2022,17,03.12.2021 20:30,Górnik Zabrze,Śląsk Wrocław,55%,45%,21,12,10,3,11,9,,,,,1,6,1,1,,,2,7,15,12,2,2,,,468,396,,,111,99,68,80,,,,,3,1
164,2021-2022,17,03.12.2021 18:00,Stal Mielec,Wisła Płock,40%,60%,6,16,3,6,3,10,,,,,0,6,1,3,,,5,1,12,25,3,7,,,277,517,,,73,92,31,59,0,1,,,2,1
165,2021-2022,16,28.11.2021 17:30,Legia Warszawa,Jagiellonia Białystok,59%,41%,14,8,4,4,10,4,,,,,12,3,1,8,,,4,3,12,15,1,3,,,440,291,,,119,87,84,51,,,,,1,0
166,2021-2022,16,28.11.2021 15:00,Lech Poznań,Warta Poznań,68%,32%,18,10,7,5,11,5,,,,,8,4,0,0,,,5,5,8,14,1,4,,,586,253,,,115,65,92,38,,,,,2,0
167,2021-2022,16,28.11.2021 12:30,Wisła Płock,Cracovia,55%,45%,16,12,4,7,12,5,,,,,2,5,0,3,,,6,2,21,17,6,2,,,385,317,,,103,120,54,64,,,,,2,1
168,2021-2022,16,27.11.2021 20:00,Raków Częstochowa,Zagłębie Lubin,57%,43%,15,7,7,0,8,7,,,,,6,2,2,1,,,0,3,8,10,2,4,,,418,332,,,98,76,84,49,0,1,,,4,0
169,2021-2022,16,27.11.2021 17:30,Pogoń Szczecin,Lechia Gdańsk,50%,50%,16,9,7,3,9,6,,,,,6,1,0,1,,,2,2,11,17,4,0,,,333,381,,,74,75,64,58,,,,,5,1
170,2021-2022,16,27.11.2021 15:00,Śląsk Wrocław,Stal Mielec,52%,48%,15,10,4,3,11,7,,,,,5,2,1,4,,,2,2,19,12,2,2,,,431,403,,,90,89,63,60,1,0,,,2,1
171,2021-2022,16,27.11.2021 12:30,Górnik Łęczna,Górnik Zabrze,49%,51%,6,18,2,7,4,11,,,,,2,8,0,2,,,5,1,9,20,1,3,,,389,441,,,122,101,63,65,,,,,1,2
172,2021-2022,16,26.11.2021 20:30,Wisła Kraków,Radomiak Radom,57%,43%,16,18,4,6,12,12,,,,,6,6,3,2,,,5,4,11,9,1,2,,,447,252,,,99,88,68,60,,,,,0,1
173,2021-2022,16,26.11.2021 18:00,Piast Gliwice,Bruk-Bet T.,46%,54%,18,9,6,1,12,8,,,,,7,2,2,0,,,0,4,10,18,3,4,,,276,322,,,94,95,77,68,,,,,2,1
174,2021-2022,15,22.11.2021 20:30,Cracovia,Raków Częstochowa,42%,58%,10,16,4,6,6,10,,,,,0,3,1,0,,,6,3,21,11,3,2,,,334,441,,,90,116,37,86,,,,,1,0
175,2021-2022,15,22.11.2021 18:00,Zagłębie Lubin,Radomiak Radom,62%,38%,21,9,3,5,18,4,,,,,8,1,2,4,,,3,3,12,10,4,4,,,526,259,,,124,94,104,52,1,1,,,0,2
176,2021-2022,15,21.11.2021 17:30,Górnik Zabrze,Legia Warszawa,38%,62%,15,9,9,3,6,6,,,,,3,6,4,2,,,1,6,18,13,2,4,,,240,446,,,71,98,52,79,,,,,3,2
177,2021-2022,15,21.11.2021 15:00,Pogoń Szczecin,Śląsk Wrocław,61%,39%,20,4,8,2,12,2,,,,,9,2,2,1,,,1,6,10,11,0,2,,,516,318,,,94,58,101,33,,,,,2,1
178,2021-2022,15,21.11.2021 12:30,Bruk-Bet T.,Górnik Łęczna,58%,42%,13,18,2,8,11,10,,,,,5,5,1,1,,,7,1,10,15,2,2,,,394,274,,,64,62,43,60,1,1,,,1,1
179,2021-2022,15,20.11.2021 20:00,Lech Poznań,Piast Gliwice,58%,42%,24,3,5,0,19,3,,,,,8,1,0,2,,,0,4,20,10,,,,,499,321,,,105,90,88,40,,,,,1,0
180,2021-2022,15,20.11.2021 17:30,Stal Mielec,Lechia Gdańsk,44%,56%,14,22,7,6,7,16,,,,,4,9,4,1,,,3,4,6,9,3,2,,,331,433,,,59,80,53,77,,,,,3,3
181,2021-2022,15,20.11.2021 15:00,Jagiellonia Białystok,Wisła Kraków,59%,41%,17,5,10,3,7,2,,,,,8,2,3,1,,,2,7,14,13,5,3,,,440,348,,,114,91,88,49,0,1,,,3,1
182,2021-2022,15,20.11.2021 12:30,Warta Poznań,Wisła Płock,51%,49%,18,5,4,3,14,2,,,,,7,1,3,0,,,1,4,12,18,1,5,,,374,381,,,100,79,88,25,,,,,1,2
183,2021-2022,14,07.11.2021 20:00,Wisła Kraków,Cracovia,53%,47%,9,11,2,7,7,4,,,,,3,3,3,1,,,7,2,12,17,3,3,,,318,251,,,90,86,55,59,,,,,1,0
184,2021-2022,14,07.11.2021 17:30,Legia Warszawa,Stal Mielec,66%,34%,29,7,8,4,21,3,,,,,10,1,0,1,,,1,7,13,11,4,2,,,578,234,,,96,71,120,37,,,,,1,3
185,2021-2022,14,07.11.2021 15:00,Raków Częstochowa,Pogoń Szczecin,44%,56%,8,11,2,5,6,6,,,,,4,1,4,0,,,5,2,14,19,2,2,,,300,470,,,100,89,92,69,,,,,0,0
186,2021-2022,14,06.11.2021 20:00,Górnik Łęczna,Lech Poznań,43%,57%,4,25,1,10,3,15,,,,,4,8,0,0,,,9,0,5,9,0,1,,,315,506,,,97,132,46,87,,,,,1,1
187,2021-2022,14,06.11.2021 17:30,Lechia Gdańsk,Zagłębie Lubin,61%,39%,17,16,7,5,10,11,,,,,10,5,1,1,,,4,5,12,20,1,3,,,459,252,,,109,80,89,65,,,,,2,1
188,2021-2022,14,06.11.2021 15:00,Radomiak Radom,Górnik Zabrze,43%,57%,14,12,3,1,11,11,,,,,7,8,1,0,,,1,2,11,13,1,1,,,318,453,,,123,127,74,84,,,,,1,0
189,2021-2022,14,06.11.2021 12:30,Piast Gliwice,Warta Poznań,65%,35%,9,5,1,2,8,3,,,,,5,7,2,2,,,1,1,12,12,1,2,,,575,229,,,133,77,93,62,,,,,0,1
190,2021-2022,14,05.11.2021 20:30,Śląsk Wrocław,Jagiellonia Białystok,52%,48%,7,15,3,7,4,8,,,,,5,6,1,2,,,5,1,10,20,1,3,,,384,362,,,119,106,83,70,,,,,2,2
191,2021-2022,14,05.11.2021 18:00,Wisła Płock,Bruk-Bet T.,43%,57%,7,12,3,3,4,9,,,,,2,6,2,2,,,2,2,20,12,1,0,,,399,513,,,97,112,64,77,,,,,1,1
192,2021-2022,13,31.10.2021 17:30,Legia Warszawa,Pogoń Szczecin,57%,43%,20,10,8,7,12,3,,,,,8,2,1,0,,,5,8,20,18,1,1,,,520,300,,,105,81,72,42,,,,,0,2
193,2021-2022,13,31.10.2021 15:00,Górnik Łęczna,Raków Częstochowa,43%,57%,6,21,2,5,4,16,,,,,1,12,2,0,,,5,2,25,10,5,2,,,287,416,,,99,123,42,107,,,,,0,0
194,2021-2022,13,31.10.2021 12:30,Wisła Płock,Wisła Kraków,47%,53%,12,14,7,2,5,12,,,,,6,1,2,3,,,2,5,19,17,3,3,,,235,302,,,114,122,50,60,,,,,2,0
195,2021-2022,13,30.10.2021 20:00,Jagiellonia Białystok,Piast Gliwice,52%,48%,19,12,8,4,11,8,,,,,11,1,4,0,,,1,5,20,9,4,2,,,384,348,,,102,96,86,68,1,0,,,3,3
196,2021-2022,13,30.10.2021 17:30,Górnik Zabrze,Zagłębie Lubin,49%,51%,10,13,4,4,6,9,,,,,1,5,2,1,,,4,4,13,17,1,2,,,386,406,,,128,90,83,75,,,,,0,0
197,2021-2022,13,30.10.2021 15:00,Warta Poznań,Lechia Gdańsk,37%,63%,6,24,1,9,5,15,,,,,2,8,1,1,,,7,1,25,14,5,2,,,181,392,,,72,92,40,76,1,0,,,0,2
198,2021-2022,13,30.10.2021 12:30,Bruk-Bet T.,Śląsk Wrocław,50%,50%,12,16,6,8,6,8,,,,,5,3,4,4,,,5,2,17,10,3,1,,,352,377,,,71,62,55,55,,,,,4,3
199,2021-2022,13,29.10.2021 20:30,Stal Mielec,Lech Poznań,29%,71%,5,30,1,9,4,21,,,,,0,11,0,4,,,9,1,8,13,3,1,,,214,580,,,57,122,20,104,,,,,0,0
200,2021-2022,13,29.10.2021 18:00,Cracovia,Radomiak Radom,57%,43%,12,14,5,8,7,6,,,,,9,4,4,1,,,6,4,12,11,2,3,,,397,278,,,87,84,100,70,,,,,1,2
201,2021-2022,12,24.10.2021 20:00,Piast Gliwice,Legia Warszawa,40%,60%,15,20,7,5,8,15,,,,,1,14,2,1,,,4,3,17,17,2,2,,,293,475,,,82,103,56,109,,,,,4,1
202,2021-2022,12,24.10.2021 17:30,Warta Poznań,Stal Mielec,55%,45%,8,8,2,3,6,5,,,,,8,3,3,0,,,3,2,16,11,1,1,,,374,314,,,101,82,78,37,,,,,0,0
203,2021-2022,12,24.10.2021 15:00,Zagłębie Lubin,Cracovia,51%,49%,14,7,4,4,10,3,,,,,5,4,0,1,,,3,3,16,8,4,0,,,335,374,,,112,109,97,79,,,,,1,1
204,2021-2022,12,23.10.2021 20:00,Wisła Kraków,Śląsk Wrocław,56%,44%,7,22,1,13,6,9,,,,,5,5,1,0,,,8,1,18,9,3,1,,,422,330,,,96,77,72,75,,,,,0,5
205,2021-2022,12,23.10.2021 17:30,Pogoń Szczecin,Jagiellonia Białystok,62%,38%,21,6,10,4,11,2,,,,,11,6,0,0,,,3,6,5,14,0,1,,,423,277,,,98,51,95,40,0,1,,,4,1
206,2021-2022,12,23.10.2021 15:00,Lechia Gdańsk,Górnik Zabrze,58%,42%,11,11,2,6,9,5,,,,,7,6,0,3,,,5,1,10,10,2,2,,,471,364,,,144,131,87,73,,,,,1,1
207,2021-2022,12,23.10.2021 12:30,Raków Częstochowa,Bruk-Bet T.,43%,57%,15,12,9,4,6,8,,,,,4,5,11,0,,,2,6,14,11,1,3,,,291,437,,,84,99,88,75,,,,,3,2
208,2021-2022,12,22.10.2021 20:30,Lech Poznań,Wisła Płock,58%,42%,26,6,13,2,13,4,,,,,4,1,1,1,,,1,9,12,15,2,2,,,451,335,,,103,66,82,37,,,,,4,1
209,2021-2022,12,22.10.2021 18:00,Radomiak Radom,Górnik Łęczna,52%,48%,15,11,8,1,7,10,,,,,6,1,0,2,,,0,5,11,13,0,2,,,435,399,,,82,78,48,37,,,,,3,1
210,2021-2022,11,18.10.2021 20:30,Jagiellonia Białystok,Radomiak Radom,50%,50%,17,10,8,3,9,7,,,,,7,7,0,0,,,2,7,23,11,3,1,,,412,336,,,109,105,82,67,,,,,1,1
211,2021-2022,11,18.10.2021 18:00,Stal Mielec,Zagłębie Lubin,42%,58%,15,13,8,5,7,8,,,,,7,3,3,2,,,3,4,8,17,0,4,,,323,452,,,78,96,44,61,0,1,,,4,2
212,2021-2022,11,17.10.2021 17:30,Legia Warszawa,Lech Poznań,57%,43%,10,16,1,5,9,11,,,,,7,4,0,1,,,4,1,14,18,4,2,,,399,284,,,138,90,71,44,,,,,0,1
213,2021-2022,11,17.10.2021 15:00,Cracovia,Warta Poznań,58%,42%,15,10,9,4,6,6,,,,,6,4,4,0,,,4,7,15,13,2,4,,,414,244,,,101,81,70,57,,,,,2,0
214,2021-2022,11,17.10.2021 12:30,Wisła Płock,Pogoń Szczecin,42%,58%,6,11,3,2,3,9,,,,,3,5,1,2,,,2,2,17,13,8,2,,,260,396,,,91,106,57,69,1,0,,,1,0
215,2021-2022,11,16.10.2021 20:00,Śląsk Wrocław,Raków Częstochowa,54%,46%,14,9,4,6,10,3,,,,,4,2,1,0,,,4,3,12,16,2,4,,,492,402,,,110,102,85,64,,,,,1,2
216,2021-2022,11,16.10.2021 17:30,Górnik Zabrze,Wisła Kraków,58%,42%,16,16,3,4,13,12,,,,,7,6,2,1,,,3,3,11,14,1,0,,,436,315,,,114,93,92,66,,,,,0,1
