,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
41,2015-2016,32,20.04.2016 20:30,Śląsk Wrocław,Jagiellonia Białystok,57%,43%,16,18,8,12,5,2,3,4,18,20,9,6,3,7,25,19,11,5,17,11,0,3,,,3,1
42,2015-2016,32,20.04.2016 18:00,Bruk-Bet T.,Korona Kielce,56%,44%,11,11,3,4,6,3,2,4,17,17,5,2,3,0,31,25,4,3,14,19,0,2,,,0,0
43,2015-2016,32,20.04.2016 18:00,Górnik Łęczna,Wisła Kraków,39%,61%,5,16,0,9,2,5,3,2,17,15,4,5,2,1,28,13,6,0,14,15,2,1,,,0,3
44,2015-2016,32,19.04.2016 20:30,Lechia Gdańsk,Pogoń Szczecin,52%,48%,18,11,4,3,11,2,3,6,12,12,8,4,1,1,23,24,3,2,10,11,1,1,,,2,0
45,2015-2016,32,19.04.2016 20:30,Ruch Chorzów,Legia Warszawa,47%,53%,10,12,4,6,6,3,0,3,18,12,6,7,2,1,15,11,6,4,11,17,1,1,,,0,0
46,2015-2016,32,19.04.2016 18:00,Cracovia,Zagłębie Lubin,45%,55%,19,11,7,3,8,5,4,3,18,9,5,7,0,5,32,30,3,6,8,15,2,1,,,1,0
47,2015-2016,32,19.04.2016 18:00,Lech Poznań,Piast Gliwice,51%,49%,16,16,5,7,8,6,3,3,11,14,5,4,2,1,23,26,5,3,12,10,3,0,0,1,2,2
48,2015-2016,31,17.04.2016 18:00,Wisła Kraków,Górnik Zabrze,54%,46%,15,11,8,1,3,8,4,2,14,14,11,5,0,0,26,29,0,5,14,14,0,2,,,3,1
49,2015-2016,31,17.04.2016 15:30,Jagiellonia Białystok,Górnik Łęczna,36%,64%,15,9,7,3,5,3,3,3,12,17,4,9,2,4,18,31,3,5,15,8,1,2,,,2,0
50,2015-2016,31,17.04.2016 15:30,Podbeskidzie B-B,Bruk-Bet T.,52%,48%,12,14,2,5,5,4,5,5,14,21,8,8,4,0,9,12,4,2,20,16,2,1,,,0,1
51,2015-2016,31,16.04.2016 20:30,Piast Gliwice,Cracovia,54%,46%,15,15,2,2,8,8,5,5,12,21,5,7,4,1,17,33,1,1,16,10,2,3,,,1,1
52,2015-2016,31,16.04.2016 18:00,Zagłębie Lubin,Lechia Gdańsk,45%,55%,13,11,6,5,3,2,4,4,16,22,4,3,2,0,23,22,3,5,19,16,2,1,,,1,2
53,2015-2016,31,16.04.2016 15:30,Korona Kielce,Śląsk Wrocław,52%,48%,18,10,4,4,8,2,6,4,8,17,8,2,3,0,27,22,3,3,13,8,3,2,0,1,1,1
54,2015-2016,31,15.04.2016 20:30,Legia Warszawa,Lech Poznań,54%,46%,11,9,5,2,2,4,4,3,11,18,3,5,3,2,30,32,2,4,15,10,5,2,,,1,0
55,2015-2016,31,15.04.2016 18:00,Pogoń Szczecin,Ruch Chorzów,55%,45%,19,3,4,2,11,1,4,0,11,19,7,4,6,3,28,21,1,3,14,8,1,0,,,1,1
56,2015-2016,30,09.04.2016 18:00,Górnik Łęczna,Lech Poznań,48%,52%,13,13,7,4,4,5,2,4,23,13,5,5,3,1,26,25,3,7,11,17,2,0,,,0,1
57,2015-2016,30,09.04.2016 18:00,Korona Kielce,Górnik Zabrze,44%,56%,12,10,3,6,6,2,3,2,15,11,0,5,1,1,27,38,5,1,9,14,1,4,,,2,1
58,2015-2016,30,09.04.2016 18:00,Lechia Gdańsk,Ruch Chorzów,52%,48%,14,9,8,3,4,3,2,3,12,19,4,6,3,2,23,30,3,6,16,11,2,0,,,2,0
59,2015-2016,30,09.04.2016 18:00,Piast Gliwice,Jagiellonia Białystok,55%,45%,15,18,4,9,11,9,,,11,16,5,11,3,2,22,40,9,2,12,7,2,3,,,2,0
60,2015-2016,30,09.04.2016 18:00,Podbeskidzie B-B,Bruk-Bet T.,46%,54%,7,16,3,7,2,6,2,3,13,15,7,6,0,1,25,36,7,1,8,12,5,4,1,0,2,0
61,2015-2016,30,09.04.2016 18:00,Pogoń Szczecin,Legia Warszawa,42%,58%,5,9,0,3,4,5,1,1,19,12,0,10,0,2,33,31,3,0,10,17,2,2,,,0,0
62,2015-2016,30,09.04.2016 18:00,Śląsk Wrocław,Cracovia,54%,46%,8,12,4,4,3,4,1,4,14,25,4,2,0,1,28,30,3,2,23,13,5,1,,,2,1
63,2015-2016,30,09.04.2016 18:00,Wisła Kraków,Zagłębie Lubin,58%,42%,11,8,4,3,4,2,3,3,19,19,10,1,1,0,38,23,2,3,17,18,3,4,,,1,1
64,2015-2016,29,04.04.2016 18:00,Jagiellonia Białystok,Podbeskidzie B-B,51%,49%,23,5,11,2,6,1,6,2,16,10,13,1,0,5,22,31,1,11,11,11,2,1,,,0,3
65,2015-2016,29,03.04.2016 18:00,Ruch Chorzów,Wisła Kraków,46%,54%,8,19,4,9,4,7,0,3,16,15,1,6,3,4,10,7,6,2,13,15,3,1,,,2,3
66,2015-2016,29,03.04.2016 15:30,Zagłębie Lubin,Piast Gliwice,52%,48%,19,15,9,4,6,7,4,4,9,13,11,7,1,0,22,29,3,5,12,10,1,2,,,4,1
67,2015-2016,29,02.04.2016 20:30,Legia Warszawa,Lechia Gdańsk,50%,50%,11,12,3,7,3,3,5,2,13,18,4,7,2,3,38,30,6,2,16,10,4,2,1,0,1,1
68,2015-2016,29,02.04.2016 18:00,Cracovia,Górnik Łęczna,51%,49%,11,11,2,3,4,6,5,2,21,15,6,4,1,5,28,39,3,2,14,16,1,3,,,0,0
69,2015-2016,29,02.04.2016 15:30,Bruk-Bet T.,Korona Kielce,67%,33%,7,10,1,2,5,3,1,5,12,21,4,4,1,1,26,25,1,1,19,11,4,1,,,0,1
70,2015-2016,29,01.04.2016 20:30,Lech Poznań,Śląsk Wrocław,54%,46%,14,14,5,7,5,6,4,1,12,13,8,2,0,2,29,29,6,5,13,10,2,1,,,0,1
71,2015-2016,29,01.04.2016 18:00,Górnik Zabrze,Pogoń Szczecin,52%,48%,10,20,5,5,5,7,0,8,18,11,7,4,4,0,25,28,4,4,7,18,2,1,,,1,1
72,2015-2016,28,20.03.2016 18:00,Pogoń Szczecin,Cracovia,50%,50%,15,11,5,5,8,4,2,2,12,14,1,5,4,2,27,22,3,3,7,8,2,2,,,2,2
73,2015-2016,28,20.03.2016 15:30,Górnik Łęczna,Zagłębie Lubin,48%,52%,18,7,2,3,9,2,7,2,23,13,3,3,0,1,31,26,1,2,12,19,1,1,,,0,2
74,2015-2016,28,20.03.2016 15:30,Lechia Gdańsk,Bruk-Bet T.,53%,47%,6,4,2,1,1,3,3,0,22,17,10,2,0,3,19,23,0,1,18,22,3,5,,,1,1
75,2015-2016,28,19.03.2016 20:30,Lech Poznań,Legia Warszawa,58%,42%,8,11,3,6,1,2,4,3,19,14,5,11,1,4,38,35,4,3,13,15,2,3,,,0,2
76,2015-2016,28,19.03.2016 18:00,Śląsk Wrocław,Ruch Chorzów,43%,57%,11,11,3,5,6,3,2,3,6,9,6,5,1,0,25,32,5,3,9,6,1,0,,,0,0
77,2015-2016,28,19.03.2016 15:30,Podbeskidzie B-B,Górnik Zabrze,61%,39%,22,15,4,4,13,8,5,3,18,11,8,3,3,0,30,24,4,4,10,18,2,2,,,0,0
78,2015-2016,28,18.03.2016 20:30,Wisła Kraków,Jagiellonia Białystok,75%,25%,16,3,9,2,4,1,3,0,7,8,4,2,1,0,24,18,1,4,7,7,1,1,0,1,5,1
79,2015-2016,28,18.03.2016 18:00,Korona Kielce,Piast Gliwice,39%,61%,16,16,8,5,7,5,1,6,19,15,4,5,0,7,21,15,4,7,14,12,1,4,,,1,1
80,2015-2016,27,14.03.2016 18:00,Bruk-Bet T.,Wisła Kraków,50%,50%,17,11,7,7,7,3,3,1,30,12,5,4,2,2,29,19,3,5,11,28,2,2,,,2,4
81,2015-2016,27,13.03.2016 18:00,Górnik Zabrze,Lechia Gdańsk,42%,58%,4,19,1,7,2,6,1,6,13,14,4,7,2,2,29,30,6,0,12,11,3,0,1,0,1,1
82,2015-2016,27,13.03.2016 15:30,Zagłębie Lubin,Pogoń Szczecin,55%,45%,29,9,13,2,10,5,6,2,14,19,8,3,2,2,18,23,1,12,17,12,2,1,,,1,1
83,2015-2016,27,12.03.2016 20:30,Ruch Chorzów,Lech Poznań,61%,39%,7,11,2,4,4,6,1,1,15,12,6,2,3,1,31,24,1,1,8,15,1,1,,,1,3
84,2015-2016,27,12.03.2016 18:00,Cracovia,Legia Warszawa,49%,51%,13,6,6,2,5,3,2,1,23,10,5,3,2,6,28,25,0,5,12,16,3,3,,,1,2
85,2015-2016,27,12.03.2016 15:30,Jagiellonia Białystok,Górnik Łęczna,59%,41%,16,7,3,2,11,3,2,2,19,10,8,4,0,2,25,14,2,2,10,17,1,4,0,1,1,0
86,2015-2016,27,11.03.2016 20:30,Piast Gliwice,Podbeskidzie B-B,56%,44%,15,15,7,3,3,5,5,7,9,11,8,6,3,1,21,27,1,4,7,9,3,3,,,3,2
87,2015-2016,27,11.03.2016 18:00,Korona Kielce,Śląsk Wrocław,54%,46%,16,14,6,6,8,4,2,4,21,17,1,4,1,0,43,24,4,4,16,22,2,4,,,2,2
88,2015-2016,25,08.03.2016 18:00,Korona Kielce,Wisła Kraków,48%,52%,21,19,9,4,5,8,7,7,15,16,6,3,2,3,26,24,3,8,15,13,1,2,,,1,1
89,2015-2016,25,08.03.2016 18:00,Piast Gliwice,Śląsk Wrocław,48%,52%,9,13,2,2,3,6,4,5,21,18,5,6,5,1,23,26,2,1,14,20,1,2,,,1,0
90,2015-2016,26,07.03.2016 18:00,Pogoń Szczecin,Ruch Chorzów,45%,55%,11,14,5,7,3,6,3,1,15,17,7,4,2,2,24,20,4,3,18,13,2,1,1,0,2,3
91,2015-2016,26,06.03.2016 18:00,Lech Poznań,Cracovia,49%,51%,14,12,5,4,7,6,2,2,5,10,6,7,1,1,29,30,3,3,9,3,1,0,,,2,1
92,2015-2016,26,06.03.2016 15:30,Lechia Gdańsk,Jagiellonia Białystok,65%,35%,18,7,10,2,6,4,2,1,19,14,2,3,3,3,28,24,1,5,11,16,1,4,0,1,5,1
93,2015-2016,26,05.03.2016 20:30,Legia Warszawa,Górnik Zabrze,74%,26%,20,5,10,1,4,2,6,2,9,12,14,2,0,2,31,31,0,7,12,7,1,1,,,3,1
94,2015-2016,26,05.03.2016 18:00,Śląsk Wrocław,Zagłębie Lubin,58%,42%,6,9,0,4,4,4,2,1,15,18,4,2,0,3,32,27,2,0,17,12,3,2,,,0,2
95,2015-2016,26,05.03.2016 15:30,Górnik Łęczna,Bruk-Bet T.,48%,52%,16,7,7,4,5,2,4,1,20,16,7,1,1,1,20,20,2,6,14,18,2,2,,,1,2
96,2015-2016,26,04.03.2016 20:30,Wisła Kraków,Piast Gliwice,59%,41%,25,13,6,3,8,4,11,6,18,14,9,3,2,3,44,22,2,5,10,17,0,1,,,1,1
97,2015-2016,26,04.03.2016 18:00,Podbeskidzie B-B,Korona Kielce,50%,50%,17,22,9,7,2,11,6,4,14,17,4,6,4,1,24,29,6,8,13,15,1,2,,,1,1
98,2015-2016,25,02.03.2016 20:30,Górnik Zabrze,Lech Poznań,45%,55%,6,15,1,4,3,7,2,4,16,17,5,3,0,2,23,24,2,1,15,14,2,3,,,0,2
99,2015-2016,25,02.03.2016 20:30,Jagiellonia Białystok,Pogoń Szczecin,57%,43%,15,4,2,1,7,0,6,3,24,15,7,1,1,3,28,28,1,2,14,20,1,1,,,0,0
100,2015-2016,25,02.03.2016 18:00,Bruk-Bet T.,Legia Warszawa,39%,61%,9,18,5,6,3,8,1,4,15,12,4,10,2,3,28,39,6,2,10,12,1,0,,,3,0
101,2015-2016,25,02.03.2016 18:00,Ruch Chorzów,Cracovia,45%,55%,14,13,8,6,6,2,0,5,12,14,11,5,2,2,15,14,3,6,12,10,0,3,,,2,3
102,2015-2016,25,01.03.2016 20:30,Zagłębie Lubin,Lechia Gdańsk,36%,64%,9,11,5,3,2,6,2,2,11,18,5,5,1,2,16,35,3,4,17,9,3,1,,,1,0
103,2015-2016,25,01.03.2016 18:00,Podbeskidzie B-B,Górnik Łęczna,56%,44%,12,18,4,5,4,6,4,7,18,20,3,8,1,0,35,23,5,2,18,19,0,2,,,2,0
104,2015-2016,24,28.02.2016 18:00,Legia Warszawa,Ruch Chorzów,60%,40%,17,6,6,1,9,3,2,2,15,25,9,2,2,3,36,29,1,4,24,11,3,1,,,2,0
105,2015-2016,24,28.02.2016 15:30,Lech Poznań,Jagiellonia Białystok,72%,28%,18,7,1,7,13,0,4,0,24,11,11,7,0,3,34,14,5,1,13,21,2,3,,,0,2
106,2015-2016,24,28.02.2016 15:30,Pogoń Szczecin,Bruk-Bet T.,37%,63%,12,13,5,6,7,7,0,0,14,24,3,2,0,1,19,22,5,4,24,14,3,4,,,1,1
107,2015-2016,24,27.02.2016 20:30,Wisła Kraków,Podbeskidzie B-B,56%,44%,15,16,6,7,4,6,5,3,23,19,8,1,0,0,21,24,5,5,19,22,2,3,,,1,2
108,2015-2016,24,27.02.2016 18:00,Lechia Gdańsk,Piast Gliwice,46%,54%,17,9,9,3,6,4,2,2,24,13,4,2,3,3,25,27,2,6,10,21,4,5,1,1,3,1
109,2015-2016,24,27.02.2016 15:30,Górnik Łęczna,Korona Kielce,50%,50%,16,14,8,4,5,4,3,6,22,18,8,2,2,0,32,25,2,5,14,22,1,4,,,3,2
110,2015-2016,24,26.02.2016 20:30,Cracovia,Zagłębie Lubin,66%,34%,17,7,2,2,7,3,8,2,19,13,8,4,1,3,37,18,0,1,14,15,3,4,,,1,2
111,2015-2016,24,26.02.2016 18:00,Śląsk Wrocław,Górnik Zabrze,53%,47%,13,18,2,2,9,12,2,4,15,18,6,4,4,0,21,15,2,2,16,15,3,4,0,1,0,0
112,2015-2016,23,22.02.2016 18:00,Wisła Kraków,Górnik Łęczna,51%,49%,11,18,3,3,6,12,2,3,13,19,3,4,0,2,19,21,2,2,18,10,2,1,,,1,1
113,2015-2016,23,21.02.2016 18:00,Górnik Zabrze,Ruch Chorzów,49%,51%,10,17,5,8,3,6,2,3,11,24,4,8,1,2,29,24,6,5,21,10,3,1,,,0,2
114,2015-2016,23,21.02.2016 15:30,Zagłębie Lubin,Legia Warszawa,48%,52%,14,17,3,9,11,2,0,6,15,24,1,4,4,0,32,36,7,2,18,15,3,2,,,1,2
115,2015-2016,23,20.02.2016 18:00,Bruk-Bet T.,Cracovia,48%,52%,12,21,3,5,7,6,2,10,11,16,7,5,1,1,23,24,4,2,15,9,2,3,,,1,1
116,2015-2016,23,20.02.2016 18:00,Podbeskidzie B-B,Lech Poznań,39%,61%,17,17,7,7,4,6,6,4,11,11,4,4,1,0,35,24,6,3,11,12,1,3,,,4,1
117,2015-2016,23,20.02.2016 15:30,Korona Kielce,Lechia Gdańsk,45%,55%,13,18,6,7,5,5,2,6,12,24,3,4,2,0,26,23,5,2,21,14,1,4,0,1,4,2
118,2015-2016,23,19.02.2016 20:30,Piast Gliwice,Pogoń Szczecin,55%,45%,13,6,6,2,7,4,,,25,18,7,4,3,2,28,34,2,6,15,22,1,1,,,0,0
119,2015-2016,23,19.02.2016 18:00,Jagiellonia Białystok,Śląsk Wrocław,37%,63%,17,11,7,3,6,3,4,5,19,18,4,6,3,4,13,28,2,5,15,17,3,4,,,2,1
120,2015-2016,22,15.02.2016 18:00,Pogoń Szczecin,Korona Kielce,65%,35%,14,9,6,4,5,4,3,1,20,18,4,4,3,2,34,28,2,3,16,17,1,1,,,3,2
121,2015-2016,22,14.02.2016 18:00,Legia Warszawa,Jagiellonia Białystok,58%,42%,16,7,5,2,8,3,3,2,17,18,6,4,3,3,44,24,2,1,15,14,1,2,,,4,0
122,2015-2016,22,14.02.2016 15:30,Lech Poznań,Bruk-Bet T.,41%,59%,15,13,7,8,6,4,2,1,14,32,1,3,3,2,21,24,6,2,26,12,2,0,,,5,2
123,2015-2016,22,13.02.2016 18:00,Cracovia,Górnik Zabrze,56%,44%,25,10,11,5,7,3,7,2,11,10,4,6,0,2,31,30,5,8,10,9,,,,,3,0
124,2015-2016,22,13.02.2016 18:00,Lechia Gdańsk,Podbeskidzie B-B,66%,34%,25,4,12,1,10,2,3,1,14,13,8,2,4,2,32,14,1,7,9,14,2,5,0,2,5,0
125,2015-2016,22,13.02.2016 15:30,Górnik Łęczna,Piast Gliwice,48%,52%,13,7,5,2,7,1,1,4,18,17,7,9,2,2,21,25,2,5,15,16,3,1,,,0,0
126,2015-2016,22,12.02.2016 20:30,Śląsk Wrocław,Wisła Kraków,56%,44%,13,12,7,4,4,5,2,3,19,17,2,7,1,2,26,24,4,6,16,16,4,3,,,1,0
127,2015-2016,22,12.02.2016 18:00,Ruch Chorzów,Zagłębie Lubin,46%,54%,9,21,1,7,5,7,3,7,13,4,5,8,0,0,6,11,7,1,5,14,0,3,,,0,0
128,2015-2016,21,21.12.2015 18:00,Podbeskidzie B-B,Śląsk Wrocław,62%,38%,26,17,3,6,12,7,11,4,19,14,12,3,4,0,33,20,5,3,9,21,2,4,0,1,0,1
129,2015-2016,21,20.12.2015 18:00,Piast Gliwice,Lech Poznań,47%,53%,18,16,4,4,11,9,3,3,17,11,7,6,0,2,18,28,4,2,11,15,2,3,,,2,0
130,2015-2016,21,20.12.2015 15:30,Korona Kielce,Legia Warszawa,42%,58%,11,13,4,5,4,5,3,3,13,21,6,7,1,4,29,27,2,3,20,9,2,1,,,1,3
131,2015-2016,21,19.12.2015 18:00,Górnik Łęczna,Lechia Gdańsk,32%,68%,14,13,6,3,7,5,1,5,11,19,4,7,3,1,13,20,2,3,17,11,3,3,,,3,1
132,2015-2016,21,19.12.2015 18:00,Jagiellonia Białystok,Cracovia,35%,65%,17,14,7,6,8,3,2,5,15,13,7,8,1,3,24,29,4,5,11,12,2,5,,,2,2
133,2015-2016,21,19.12.2015 15:30,Bruk-Bet T.,Ruch Chorzów,55%,45%,14,6,1,2,7,3,6,1,10,11,12,2,1,1,23,21,1,1,9,9,3,2,,,0,1
134,2015-2016,21,18.12.2015 20:30,Wisła Kraków,Pogoń Szczecin,47%,53%,14,14,3,4,5,5,6,5,21,14,2,4,0,1,30,22,3,3,14,20,3,2,,,0,1
135,2015-2016,21,18.12.2015 18:00,Zagłębie Lubin,Górnik Zabrze,65%,35%,16,8,6,6,6,2,4,0,12,17,6,5,4,0,32,24,2,4,12,13,,,,,2,4
136,2015-2016,17,16.12.2015 18:00,Bruk-Bet T.,Jagiellonia Białystok,52%,48%,14,6,8,1,6,5,,,22,11,3,6,0,3,26,24,1,6,10,21,1,4,,,2,0
