,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
0,2015-2016,37,15.05.2016 18:00,Cracovia,Lechia Gdańsk,47%,53%,19,11,9,5,8,4,2,2,24,18,5,5,1,2,25,29,5,7,16,19,4,5,,,2,0
1,2015-2016,37,15.05.2016 18:00,Lech Poznań,Ruch Chorzów,48%,52%,16,9,7,3,8,5,1,1,10,17,5,6,3,1,16,25,3,4,14,9,1,0,,,3,0
2,2015-2016,37,15.05.2016 18:00,Legia Warszawa,Pogoń Szczecin,48%,52%,11,8,4,1,6,2,1,5,18,16,5,2,3,4,23,19,1,1,13,13,2,1,,,3,0
3,2015-2016,37,15.05.2016 18:00,Piast Gliwice,Zagłębie Lubin,62%,38%,21,9,5,4,8,4,8,1,15,13,14,8,0,0,23,19,3,5,13,14,2,2,0,1,0,1
4,2015-2016,37,14.05.2016 15:30,Bruk-Bet T.,Górnik Zabrze,45%,55%,8,8,4,1,4,6,0,1,15,19,4,9,1,1,29,31,0,3,18,18,3,2,,,1,1
5,2015-2016,37,14.05.2016 15:30,Korona Kielce,Jagiellonia Białystok,65%,35%,16,10,6,6,8,3,2,1,,,8,2,3,1,,,3,5,15,18,2,4,0,1,1,3
6,2015-2016,37,14.05.2016 15:30,Podbeskidzie B-B,Wisła Kraków,52%,48%,17,15,6,6,10,3,1,6,13,15,7,4,2,2,19,21,2,3,13,11,1,1,,,3,4
7,2015-2016,37,14.05.2016 15:30,Śląsk Wrocław,Górnik Łęczna,57%,43%,26,7,8,4,11,3,7,0,11,9,6,3,1,3,25,26,2,5,8,8,2,0,,,3,2
8,2015-2016,36,11.05.2016 20:30,Lechia Gdańsk,Legia Warszawa,57%,43%,12,6,4,1,4,5,4,0,16,23,5,3,4,2,26,29,1,2,18,13,4,3,0,1,2,0
9,2015-2016,36,11.05.2016 20:30,Pogoń Szczecin,Cracovia,46%,54%,10,20,7,5,3,7,0,8,10,19,5,9,4,1,22,20,3,4,15,10,1,4,0,1,3,2
10,2015-2016,36,11.05.2016 20:30,Ruch Chorzów,Piast Gliwice,59%,41%,15,12,6,7,8,4,1,1,23,11,6,5,0,3,6,12,4,6,12,20,0,1,,,0,3
11,2015-2016,36,11.05.2016 20:30,Zagłębie Lubin,Lech Poznań,48%,52%,14,7,10,4,2,1,2,2,11,15,7,5,5,0,24,27,4,7,11,11,1,2,,,3,0
12,2015-2016,36,10.05.2016 20:30,Górnik Łęczna,Podbeskidzie B-B,42%,58%,19,15,10,4,3,6,6,5,15,22,5,3,2,2,21,33,3,5,19,13,0,2,,,5,1
13,2015-2016,36,10.05.2016 20:30,Górnik Zabrze,Korona Kielce,55%,45%,16,8,1,0,8,5,7,3,18,20,2,3,1,0,28,24,0,1,19,17,2,0,,,0,0
14,2015-2016,36,10.05.2016 20:30,Jagiellonia Białystok,Bruk-Bet T.,61%,39%,14,4,4,0,5,3,5,1,12,16,11,2,2,2,41,33,0,4,15,6,0,3,,,0,1
15,2015-2016,36,10.05.2016 20:30,Wisła Kraków,Śląsk Wrocław,52%,48%,19,17,7,5,11,7,1,5,15,14,6,8,1,1,17,32,4,6,13,14,0,3,,,1,1
16,2015-2016,35,08.05.2016 18:00,Legia Warszawa,Piast Gliwice,50%,50%,15,6,8,3,2,2,5,1,12,15,10,6,3,3,18,27,3,4,12,9,0,2,,,4,0
17,2015-2016,35,08.05.2016 15:30,Cracovia,Lech Poznań,42%,58%,9,16,2,3,5,9,2,4,18,15,4,10,1,4,25,28,3,0,14,14,2,2,,,2,0
18,2015-2016,35,08.05.2016 15:30,Pogoń Szczecin,Zagłębie Lubin,53%,47%,15,14,1,5,9,5,5,4,12,17,6,6,1,1,26,25,2,0,15,10,2,0,,,1,3
19,2015-2016,35,07.05.2016 20:30,Lechia Gdańsk,Ruch Chorzów,49%,51%,12,9,5,3,4,4,3,2,11,21,3,4,4,1,24,24,2,3,17,10,1,3,0,1,2,1
20,2015-2016,35,07.05.2016 18:00,Górnik Łęczna,Górnik Zabrze,36%,64%,12,8,1,5,5,2,6,1,18,11,4,7,2,3,29,31,5,1,8,16,2,2,,,0,0
21,2015-2016,35,07.05.2016 15:30,Śląsk Wrocław,Bruk-Bet T.,53%,47%,11,14,3,5,6,3,2,6,15,20,5,6,1,0,25,26,4,2,12,14,2,2,,,2,1
22,2015-2016,35,06.05.2016 20:30,Wisła Kraków,Jagiellonia Białystok,58%,42%,12,15,4,5,6,6,2,4,15,15,7,10,1,1,38,27,5,3,14,14,2,3,,,1,0
23,2015-2016,35,06.05.2016 18:00,Podbeskidzie B-B,Korona Kielce,62%,38%,10,17,2,4,4,8,4,5,12,16,7,6,1,2,33,18,3,1,17,11,3,1,1,0,1,1
24,2015-2016,34,01.05.2016 18:00,Piast Gliwice,Pogoń Szczecin,51%,49%,13,17,5,4,7,9,1,4,21,17,2,9,4,3,26,24,3,3,13,18,1,1,,,2,1
25,2015-2016,34,01.05.2016 15:30,Jagiellonia Białystok,Podbeskidzie B-B,52%,48%,22,10,7,4,10,4,5,2,15,15,8,5,1,0,31,35,2,4,13,13,1,3,,,3,2
26,2015-2016,34,30.04.2016 20:30,Korona Kielce,Wisła Kraków,35%,65%,11,13,4,5,3,4,4,4,15,23,8,7,0,0,25,31,3,1,23,15,3,3,,,3,2
27,2015-2016,34,30.04.2016 18:00,Bruk-Bet T.,Górnik Łęczna,68%,32%,20,6,3,3,9,1,8,2,25,11,8,5,0,3,27,17,1,3,12,22,2,5,,,0,2
28,2015-2016,34,29.04.2016 20:30,Ruch Chorzów,Cracovia,60%,40%,7,11,1,2,4,8,2,1,16,14,3,2,1,0,11,12,1,1,13,18,1,4,,,0,1
29,2015-2016,34,29.04.2016 18:00,Górnik Zabrze,Śląsk Wrocław,38%,62%,11,18,3,7,2,4,6,7,13,11,2,8,1,1,25,35,6,1,10,12,4,1,,,2,1
30,2015-2016,34,28.04.2016 18:00,Lech Poznań,Lechia Gdańsk,57%,43%,18,9,5,3,8,3,5,3,15,20,13,3,5,5,28,27,3,5,16,10,3,1,,,0,0
31,2015-2016,34,28.04.2016 18:00,Zagłębie Lubin,Legia Warszawa,46%,54%,7,11,3,2,3,4,1,5,13,23,4,4,8,2,37,33,2,1,14,11,1,4,,,2,0
32,2015-2016,33,25.04.2016 18:00,Wisła Kraków,Bruk-Bet T.,65%,35%,10,10,2,5,4,1,4,4,14,19,1,3,1,1,24,22,3,0,17,15,5,1,,,2,2
33,2015-2016,33,24.04.2016 18:00,Piast Gliwice,Lechia Gdańsk,47%,53%,12,14,6,6,5,6,1,2,15,26,3,9,1,1,21,30,6,3,27,15,2,1,,,3,0
34,2015-2016,33,24.04.2016 15:30,Jagiellonia Białystok,Górnik Zabrze,46%,54%,10,13,1,3,3,6,6,4,19,14,9,8,1,0,30,30,3,1,14,18,0,1,,,0,0
35,2015-2016,33,23.04.2016 20:30,Pogoń Szczecin,Lech Poznań,48%,52%,15,17,5,5,9,12,1,0,14,10,4,6,0,0,17,30,5,4,10,14,3,3,,,1,0
36,2015-2016,33,23.04.2016 18:00,Podbeskidzie B-B,Śląsk Wrocław,50%,50%,14,24,3,10,6,8,5,6,13,16,6,7,2,1,32,30,8,2,14,12,2,2,,,1,2
37,2015-2016,33,23.04.2016 15:30,Korona Kielce,Górnik Łęczna,46%,54%,23,15,9,5,10,5,4,5,22,11,8,6,1,3,21,28,4,8,10,19,1,2,,,1,1
38,2015-2016,33,22.04.2016 20:30,Legia Warszawa,Cracovia,58%,42%,15,3,7,1,5,2,3,0,13,19,9,5,6,1,44,33,1,3,13,10,1,2,,,4,0
39,2015-2016,33,22.04.2016 18:00,Zagłębie Lubin,Ruch Chorzów,60%,40%,16,7,5,4,7,3,4,0,10,13,6,3,2,0,23,28,3,2,12,10,2,1,,,4,1
40,2015-2016,32,20.04.2016 20:30,Górnik Zabrze,Podbeskidzie B-B,45%,55%,10,12,3,3,3,6,4,3,19,25,8,5,0,0,22,27,3,2,23,18,1,2,,,1,0
